关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,stock_code
000002,162股今日获机构买入评级,1.2014.99纺织服饰300628亿联网络1-1.9317.25通信300633开立医疗1-0.87277.26医药生物000002,2025-11-04 17:35:39,证券时报网,http://finance.eastmoney.com/a/202511043554747048.html,000002
000002,万科获深铁集团220亿元借款额度，三季度亏损160亿,11月2日晚，万科A（000002.SZ）发布公告称，公司与主要股东深圳地铁集团（以下简称“深铁集团”）订立贷款框架协议,2025-11-03 10:08:11,界面新闻,http://finance.eastmoney.com/a/202511033553249714.html,000002
000002,深铁集团向万科提供不超220亿元借款额度,11月2日，万科A（000002）宣布与第一大股东深圳市地铁集团有限公司（简称“深铁集团”）签署《关于股东借款及资产担保的框架协议,2025-11-03 02:00:51,证券时报,http://finance.eastmoney.com/a/202511033552814538.html,000002
000002,万科与深铁集团就220亿股东借款签资产担保框架协议：要求提供增信安排,11月2日，万科企业股份有限公司（000002.SZ）发布公告称，当日，万科已与第一大股东深圳市地铁集团有限公司（简称,2025-11-02 23:05:05,澎湃新闻,http://finance.eastmoney.com/a/202511023552770673.html,000002
000002,万科A获第一大股东深铁集团鼎力支持 提供不超过220亿元借款额度,万科A（000002/02202）发布公告，公司与第一大股东深铁集团于2025年11月2日签署了《关于股东借款及资产担保的框架协议,2025-11-02 19:05:28,财中社,http://finance.eastmoney.com/a/202511023552716749.html,000002
000002,万科A：深铁集团拟向公司提供不超过220亿元借款额度,人民财讯11月2日电，万科A00000211月2日公告，公司于11月2日与第一大股东深铁集团签署《关于股东借款及资产担保的框架协议,2025-11-02 17:06:56,人民财讯,http://finance.eastmoney.com/a/202511023552703927.html,000002
000002,万科最新公告！事关深铁集团借款，本金不超过220亿！,万科A（000002）11月2日公告，公司于11月2日与第一大股东深铁集团签署《关于股东借款及资产担保的框架协议》。,2025-11-02 18:10:06,证券时报,http://finance.eastmoney.com/a/202511023552711549.html,000002
000002,万科第三季度亏损160亿元，第十次获深铁借款，22亿元！,10月30日，万科A（000002）公告称，公司第一大股东深圳市地铁集团有限公司（以下简称“深铁集团”）向公司提供不超过,2025-10-31 14:03:17,红星资本局,http://finance.eastmoney.com/a/202510313551789883.html,000002
000002,万科前三季度营收1613.9亿元 再获深铁集团22亿元借款,10月30日，万科（000002.SZ）披露2025年三季报。前三季度，,2025-10-31 06:48:37,中国经营报,http://finance.eastmoney.com/a/202510313550990267.html,000002
000002,10月31日国内四大证券报纸、重要财经媒体头版头条内容精华摘要,10月30日，万科（000002.SZ）发布的三季报显示，第三季度实现营业收入560.7亿元，同比下降27.3%；归母净利润为,2025-10-31 06:03:19,东方财富研究中心,http://finance.eastmoney.com/a/202510313550971925.html,000002
