date,000001.SZ,000002.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000011.SZ,000012.SZ
2025-01-21,,,,,,,,
2025-01-22,,,,,,,,
2025-01-23,,,,,,,,
2025-01-24,,,,,,,,
2025-01-27,,,,,,,,
2025-02-05,,,,,,,,
2025-02-06,,,,,,,,
2025-02-07,,,,,,,,
2025-02-10,,,,,,,,
2025-02-11,,,,,,,,
2025-02-12,,,,,,,,
2025-02-13,,,,,,,,
2025-02-14,,,,,,,,
2025-02-17,,,,,,,,
2025-02-18,,,,,,,,
2025-02-19,,,,,,,,
2025-02-20,,,,,,,,
2025-02-21,,,,,,,,
2025-02-24,,,,,,,,
2025-02-25,,,,,,,,
2025-02-26,,,,,,,,
2025-02-27,,,,,,,,
2025-02-28,,,,,,,,
2025-03-03,,,,,,,,
2025-03-04,,,,,,,,
2025-03-05,,,,,,,,
2025-03-06,,,,,,,,
2025-03-07,,,,,,,,
2025-03-10,,,,,,,,
2025-03-11,,,,,,,,
2025-03-12,,,,,,,,
2025-03-13,,,,,,,,
2025-03-14,,,,,,,,
2025-03-17,,,,,,,,
2025-03-18,,,,,,,,
2025-03-19,,,,,,,,
2025-03-20,,,,,,,,
2025-03-21,,,,,,,,
2025-03-24,,,,,,,,
2025-03-25,,,,,,,,
2025-03-26,,,,,,,,
2025-03-27,,,,,,,,
2025-03-28,,,,,,,,
2025-03-31,,,,,,,,
2025-04-01,,,,,,,,
2025-04-02,,,,,,,,
2025-04-03,,,,,,,,
2025-04-07,,,,,,,,
2025-04-08,,,,,,,,
2025-04-09,,,,,,,,
2025-04-10,,,,,,,,
2025-04-11,,,,,,,,
2025-04-14,,,,,,,,
2025-04-15,,,,,,,,
2025-04-16,,,,,,,,
2025-04-17,,,,,,,,
2025-04-18,,,,,,,,
2025-04-21,,,,,,,,
2025-04-22,,,,,,,,
2025-04-23,,,,,,,,
2025-04-24,-0.0264783930057374,-0.038043506077308886,-0.16358836195237014,-0.08695650429280499,0.030651404344863575,-0.1215277950244914,-0.014117633595186141,-0.020366579987833422
2025-04-25,-0.007213699062698975,0.004273534172344773,-0.11095308485483157,0.02725969339164558,0.05078129583853408,-0.11565422890477528,0.006002423912702559,-0.01632651472429325
