date,000001.SZ,000002.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000011.SZ,000012.SZ
2025-01-21,0.46,6.02,6.88,1.13,1.9,0.34,1.22,0.65
2025-01-22,0.69,3.55,4.14,1.05,1.49,0.41,0.75,0.45
2025-01-23,0.78,4.55,3.36,1.11,2.16,0.51,1.42,0.83
2025-01-24,0.49,2.63,2.99,1.37,1.67,0.46,0.76,0.67
2025-01-27,0.59,2.21,2.25,1.34,1.7,0.77,0.69,0.62
2025-02-05,0.43,2.85,2.72,1.1,2.09,0.49,0.42,0.56
2025-02-06,0.49,1.92,1.9,1.59,3.77,0.76,0.95,0.47
2025-02-07,0.73,3.36,2.45,2.41,3.97,1.05,1.11,1.0
2025-02-10,0.53,1.92,3.02,1.94,3.67,1.07,1.03,0.73
2025-02-11,0.44,1.79,2.25,1.92,2.26,0.9,0.61,0.55
2025-02-12,0.51,3.91,2.54,1.65,2.26,2.05,0.76,0.58
2025-02-13,0.7,5.91,3.33,1.18,2.1,2.03,1.1,0.72
2025-02-14,0.5,2.71,1.9,1.31,2.05,1.72,0.92,0.95
2025-02-17,1.06,2.31,2.33,1.18,3.72,1.21,1.01,0.72
2025-02-18,1.03,2.07,2.5,1.31,2.49,1.49,0.82,0.69
2025-02-19,0.61,1.86,2.1,0.99,6.16,1.03,0.62,0.54
2025-02-20,0.4,1.41,2.63,1.12,9.1,0.87,0.54,0.58
2025-02-21,0.5,1.99,2.78,1.21,4.96,1.22,0.72,0.59
2025-02-24,0.49,3.27,2.36,2.14,4.17,1.2,0.76,0.68
2025-02-25,0.47,1.82,1.97,1.5,2.62,0.83,0.66,0.56
2025-02-26,0.43,2.0,3.52,1.1,4.41,1.05,1.53,0.83
2025-02-27,0.5,1.77,3.61,1.12,3.52,1.34,0.85,0.72
2025-02-28,0.49,2.81,3.05,1.69,3.21,1.24,1.09,0.73
2025-03-03,0.43,1.95,2.51,1.67,2.45,1.73,1.03,0.81
2025-03-04,0.35,1.5,2.98,1.17,1.83,0.88,0.76,0.62
2025-03-05,0.56,1.4,2.45,1.21,2.15,0.88,0.81,0.51
2025-03-06,0.45,2.18,3.52,0.99,2.3,0.9,0.84,0.72
2025-03-07,0.43,1.64,2.91,0.98,2.26,0.95,0.77,0.55
2025-03-10,0.34,1.01,1.79,0.87,1.57,0.59,0.44,0.47
2025-03-11,0.31,0.9,4.3,0.92,1.83,0.69,1.21,0.45
2025-03-12,0.97,0.68,2.81,1.37,2.96,0.54,1.81,0.5
2025-03-13,0.68,0.78,2.07,1.74,2.53,0.61,0.92,0.54
2025-03-14,0.89,1.5,1.76,1.91,2.05,0.91,0.97,0.92
2025-03-17,2.37,1.33,1.82,1.54,2.4,0.67,1.14,0.8
2025-03-18,0.83,0.92,1.53,1.18,1.7,0.72,0.68,0.46
2025-03-19,0.7,0.73,2.0,0.98,1.58,0.67,0.54,0.52
2025-03-20,0.57,0.63,1.2,0.96,2.12,0.52,0.62,0.64
2025-03-21,0.71,1.34,3.74,1.51,2.57,0.83,0.9,1.2
2025-03-24,0.6,1.08,2.31,2.07,3.3,0.71,1.07,0.8
2025-03-25,0.38,0.67,1.42,1.58,1.46,0.73,0.51,0.88
2025-03-26,0.38,0.73,3.56,3.35,1.42,0.41,0.61,0.71
2025-03-27,0.29,0.58,7.88,1.37,1.35,0.51,2.18,0.5
2025-03-28,0.33,0.51,11.3,0.98,1.5,0.49,1.68,0.55
2025-03-31,0.58,0.75,9.36,0.94,1.33,0.65,1.2,0.65
2025-04-01,0.35,0.73,5.58,1.02,0.94,0.37,1.06,0.44
2025-04-02,0.48,0.52,4.13,0.72,0.91,0.35,0.47,0.32
2025-04-03,0.33,0.94,2.94,0.9,5.27,0.32,0.81,0.62
2025-04-07,1.31,2.02,2.39,2.01,6.07,1.73,1.51,1.85
2025-04-08,0.75,1.47,5.63,1.9,8.4,1.24,1.23,1.51
2025-04-09,0.55,1.91,5.08,1.78,9.85,1.03,1.33,0.84
2025-04-10,0.45,2.13,3.86,1.97,14.75,1.02,1.01,0.73
2025-04-11,0.3,1.41,3.37,1.46,12.61,0.64,0.62,0.41
2025-04-14,0.41,0.88,2.61,5.94,10.0,0.82,0.69,0.52
2025-04-15,0.37,0.78,2.51,3.98,7.35,0.5,0.41,0.41
2025-04-16,0.43,0.85,1.85,2.07,4.75,0.58,0.41,0.37
2025-04-17,0.42,2.52,2.04,2.25,3.51,0.5,0.91,0.42
2025-04-18,0.37,1.68,2.56,2.18,4.27,0.3,0.76,0.27
2025-04-21,0.57,1.34,2.33,3.55,2.62,0.29,0.66,0.28
