date,000001.SZ,000002.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000011.SZ,000012.SZ
2025-01-21,,,,,,,,
2025-01-22,,,,,,,,
2025-01-23,,,,,,,,
2025-01-24,,,,,,,,
2025-01-27,,,,,,,,
2025-02-05,,,,,,,,
2025-02-06,,,,,,,,
2025-02-07,,,,,,,,
2025-02-10,,,,,,,,
2025-02-11,,,,,,,,
2025-02-12,,,,,,,,
2025-02-13,,,,,,,,
2025-02-14,,,,,,,,
2025-02-17,,,,,,,,
2025-02-18,,,,,,,,
2025-02-19,,,,,,,,
2025-02-20,,,,,,,,
2025-02-21,,,,,,,,
2025-02-24,,,,,,,,
2025-02-25,1330156614.4,2112912627.2,267334606.4,33586365.5,242908665.2,226935689.6,37033562.9,64044100.8
2025-02-26,1327444716.8,1973909548.8,247046804.8,33433765.2,253845342.0,234967019.2,37693088.3,64974578.0
2025-02-27,1308723123.2,1917996985.6,243618641.6,33421262.2,262676599.2,245571223.2,37958964.9,66360980.8
2025-02-28,1277981254.4,1862097913.6,240881028.8,33914472.5,267368294.4,253647874.0,37305724.1,65903042.8
2025-03-03,1272249619.2,1841965043.2,237860769.6,34106009.1,270791470.8,268048664.0,37967015.4,66598511.2
2025-03-04,1245308489.6,1818451865.6,240637570.4,33772282.4,271820371.2,269509151.2,38139511.8,66580672.4
2025-03-05,1259993411.2,1773253324.8,239090400.0,33784858.3,272709288.0,273932636.0,38973751.7,66319993.4
2025-03-06,1256842780.8,1788635865.6,246192078.4,32955845.3,267945432.8,275671376.0,38791692.3,67525028.4
2025-03-07,1225423513.6,1728029305.6,247287522.4,31128224.2,261872836.8,274572470.4,38036609.7,65265453.6
2025-03-10,1205184348.8,1696087798.4,240469622.4,29763933.7,254154716.4,269303063.2,36705644.5,63925474.4
2025-03-11,1192203091.2,1664917155.2,248945922.4,28528226.3,252622069.2,267185304.0,38010591.1,63412016.0
2025-03-12,1246482137.6,1546370977.6,249592240.0,28107918.1,255590584.4,250469012.0,40378875.4,63000033.6
2025-03-13,1246202822.4,1345891844.8,242617746.4,28617378.1,257246199.6,234108066.0,39950353.6,62086099.4
2025-03-14,1293183545.6,1297748139.2,241339500.0,29181781.3,257449017.2,224618234.8,40037244.4,61799155.4
