market,code,close,open,high,low,pre_close,server_time,neg_price,vol,cur_vol,amount,in_vol,out_vol,s_amount,open_amount,handicap,unknown,rise_speed,short_turnover,min2_amount,opening_rush,active_flag,decimal,extra_meta,vol_rise_speed,depth,active,turnover,ts_code,market_cap_yi,name,drop_reason
MARKET.SZ,000007,12.46,11.62,12.78,11.62,11.62,15:33:10.530,-12.46,30977900,109500,389559808.0,21550400,9427600,0,110.85,"{'bid': [{'price': 12.45, 'vol': 116}], 'ask': [{'price': 12.46, 'vol': 230}]}",0001011010010110,-0.07%,0.13%,1364416.0,0.00%,0,0,000000000000000000000000000000000000000000000000,0.46%,23.41%,3434,8.94,000007.SZ,43.175014988814326,全新好,
MARKET.SZ,000008,2.62,2.61,2.62,2.59,2.61,15:33:16.434,-2.62,28896900,957400,75248336.0,15236600,13660300,0,90.91,"{'bid': [{'price': 2.61, 'vol': 13385}], 'ask': [{'price': 2.62, 'vol': 1734}]}",0000100000010110,0.00%,0.12%,2508400.0,0.00%,0,0,000000000000000000000000000000000000000000000000,3.54%,38.61%,2140,1.06,000008.SZ,71.42441320754718,神州高铁,
MARKET.SZ,000011,7.56,7.47,7.62,7.37,7.46,15:33:13.470,-7.56,3920500,43600,29355056.0,1852600,2067900,0,8.96,"{'bid': [{'price': 7.56, 'vol': 74}], 'ask': [{'price': 7.57, 'vol': 201}]}",0000000000010110,0.13%,0.04%,329624.0,-0.12%,0,0,000000000000000000000000000000000000000000000000,1.00%,-61.22%,1287,0.74,000011.SZ,40.05267567567567,深物业A,
MARKET.SZ,000012,4.4,4.0,4.4,3.86,4.0,15:33:15.366,-4.4,125772500,1126600,518235456.0,65994100,59778500,0,1186.08,"{'bid': [{'price': 4.4, 'vol': 105348}], 'ask': [{'price': 0.0, 'vol': 0}]}",0000111001010110,0.00%,0.24%,4956832.0,-0.73%,0,0,000000000000000000000000000000000000000000000000,1.22%,0.00%,3769,6.42,000012.SZ,86.19922118380065,南 玻Ａ,
MARKET.SZ,000014,11.37,11.21,11.46,11.04,11.19,15:33:11.184,-11.37,5300800,36100,59726688.0,2406600,2894300,0,26.46,"{'bid': [{'price': 11.37, 'vol': 318}], 'ask': [{'price': 11.38, 'vol': 15}]}",0001010000010110,-0.25%,0.07%,410432.0,0.00%,0,0,000000000000000000000000000000000000000000000000,1.00%,21.81%,2321,2.19,000014.SZ,27.520591780821913,沙河股份,
MARKET.SZ,000017,5.71,5.61,5.72,5.56,5.6,15:33:14.580,-5.71,6396200,63500,36136412.0,2882700,3513600,0,11.67,"{'bid': [{'price': 5.7, 'vol': 531}], 'ask': [{'price': 5.71, 'vol': 396}]}",0001010101010110,0.35%,0.07%,362588.0,0.72%,0,0,000000000000000000000000000000000000000000000000,1.21%,-2.06%,1792,1.45,000017.SZ,25.187794482758623,深中华A,
MARKET.SZ,000019,6.73,6.81,6.84,6.65,6.75,15:33:13.968,-6.73,10275300,132100,69166728.0,5410200,4865100,0,143.08,"{'bid': [{'price': 6.73, 'vol': 1071}], 'ask': [{'price': 6.74, 'vol': 760}]}",0000000100010110,0.15%,0.10%,889032.0,0.74%,0,0,000000000000000000000000000000000000000000000000,1.25%,30.81%,1959,2.47,000019.SZ,27.997072469635626,深粮控股,
MARKET.SZ,000020,13.21,13.0,13.37,12.67,12.8,15:33:10.080,-13.21,7684000,180800,100542104.0,3610400,4073600,0,170.04,"{'bid': [{'price': 13.21, 'vol': 82}], 'ask': [{'price': 13.23, 'vol': 7}]}",0000000000010110,-0.59%,0.55%,2388328.0,3.42%,0,0,000000000000000000000000000000000000000000000000,2.17%,12.70%,2661,4.24,000020.SZ,23.940009433962263,深华发Ａ,
MARKET.SZ,000025,14.88,14.75,14.96,14.64,14.62,15:33:09.078,-14.88,3029800,68900,44918604.0,1432100,1597800,0,73.46,"{'bid': [{'price': 14.87, 'vol': 387}], 'ask': [{'price': 14.88, 'vol': 115}]}",0001100000010110,0.07%,0.08%,1025312.0,0.68%,0,0,000000000000000000000000000000000000000000000000,2.49%,25.91%,1634,0.77,000025.SZ,58.54990129870131,特 力Ａ,
MARKET.SZ,000030,4.71,4.71,4.75,4.64,4.69,15:33:15.180,-4.71,10543700,167900,49446120.0,5072800,5470900,0,17.29,"{'bid': [{'price': 4.71, 'vol': 543}], 'ask': [{'price': 4.72, 'vol': 2071}]}",0000011110010110,-0.20%,0.07%,790804.0,0.00%,0,0,000000000000000000000000000000000000000000000000,1.55%,-30.53%,1682,0.63,000030.SZ,78.82670952380953,富奥股份,
MARKET.SZ,000031,2.64,2.63,2.69,2.6,2.64,15:33:16.422,-2.64,34756200,165800,91716536.0,20546200,14210000,0,14.94,"{'bid': [{'price': 2.63, 'vol': 4441}], 'ask': [{'price': 2.64, 'vol': 7481}]}",0000000000010110,0.00%,0.03%,437712.0,-0.37%,0,0,000000000000000000000000000000000000000000000000,0.51%,-9.60%,3019,0.81,000031.SZ,113.27946666666666,大悦城,
