,alpha101__alpha001,alpha101__alpha002,alpha101__alpha003,alpha101__alpha004,alpha101__alpha005,alpha101__alpha006,alpha101__alpha007,alpha101__alpha008,alpha101__alpha009,alpha101__alpha010,alpha101__alpha011,alpha101__alpha012,alpha101__alpha013,alpha101__alpha014,alpha101__alpha015,alpha101__alpha016,alpha101__alpha017,alpha101__alpha018,alpha101__alpha019,alpha101__alpha020,alpha101__alpha021,alpha101__alpha022,alpha101__alpha023,alpha101__alpha024,alpha101__alpha025,alpha101__alpha026,alpha101__alpha027,alpha101__alpha028,alpha101__alpha029,alpha101__alpha030,alpha101__alpha031,alpha101__alpha032,alpha101__alpha033,alpha101__alpha034,alpha101__alpha035,alpha101__alpha036,alpha101__alpha037,alpha101__alpha038,alpha101__alpha039,alpha101__alpha040,alpha101__alpha041,alpha101__alpha042,alpha101__alpha043,alpha101__alpha044,alpha101__alpha045,alpha101__alpha046,alpha101__alpha047,alpha101__alpha048,alpha101__alpha049,alpha101__alpha050,alpha101__alpha051,alpha101__alpha052,alpha101__alpha053,alpha101__alpha054,alpha101__alpha055,alpha101__alpha056,alpha101__alpha057,alpha101__alpha058,alpha101__alpha059,alpha101__alpha060,alpha101__alpha061,alpha101__alpha062,alpha101__alpha063,alpha101__alpha064,alpha101__alpha065,alpha101__alpha066,alpha101__alpha067,alpha101__alpha068,alpha101__alpha069,alpha101__alpha070,alpha101__alpha071,alpha101__alpha072,alpha101__alpha073,alpha101__alpha074,alpha101__alpha075,alpha101__alpha076,alpha101__alpha077,alpha101__alpha078,alpha101__alpha079,alpha101__alpha080,alpha101__alpha081,alpha101__alpha082,alpha101__alpha083,alpha101__alpha084,alpha101__alpha085,alpha101__alpha086,alpha101__alpha087,alpha101__alpha088,alpha101__alpha089,alpha101__alpha090,alpha101__alpha091,alpha101__alpha092,alpha101__alpha093,alpha101__alpha094,alpha101__alpha095,alpha101__alpha096,alpha101__alpha097,alpha101__alpha098,alpha101__alpha099,alpha101__alpha100,alpha101__alpha101
alpha101__alpha001,1.0,-0.1324140418718826,0.01909711806347843,-0.33854539056708244,-0.29961980895019086,-0.04213161880626007,0.023895128621052274,-0.2362751225461242,-0.25488638640120465,0.27164280932200124,0.12305797142942672,-0.17619436266766048,-0.08529839376046479,-0.08583116203629956,-0.05522380804182256,-0.09121173956103917,-0.1695345432937707,-0.13543586719846146,-0.28179626505769917,-0.019236617096528456,0.0,-0.05391360791683895,-0.43626360209715637,-0.08443686109292896,-0.27908362494403255,-0.04657815209967923,0.0,-0.0023645059463110055,-0.22956069933315834,-0.4018074036964221,-0.4034729260691107,-0.2017016307074729,-0.3062481937829879,-0.3485780426493792,-0.2704918189332919,-0.05099836623005587,-0.23025382506893746,-0.4828207475408301,-0.36498382394485124,-0.06010354251584158,-0.004031971250853715,0.0033555566529564866,-0.06676159535458508,-0.08121323829120385,-0.08703293272334316,-0.21655201527007265,-0.1691273916787102,0.03855925195541908,0.0,-0.043281253500119354,-0.18034797960600352,0.28974489230902223,0.00937889262368569,-0.01362224732977698,-0.3550854690073005,-0.15775889520775305,0.29351995324168617,0.0073990318534579574,-0.018754574432223406,-0.38480269777604337,-0.168686755767015,0.37142070042632475,-0.014521284526469573,-0.05494154134542381,-0.36473251025412673,-0.16305327176164527,0.3085085326182953,0.0071746436921372655,-0.018062464945825488,-0.29523004081330345,-0.17240943985514842,0.29624597967686916,0.006757585959189728,-0.017415535603937996,-0.3606130370484713,-0.16588837399920733,0.3040929209578423,0.004884098611053813,-0.023438987917013047,-0.3757068165189455,-0.1668744249180195,0.3714623659808992,0.0037691754881187625,-0.05564699466975902,-0.3173689970869685,-0.18500184922516014,0.31264918934061303,0.005252621072543284,-0.02067610697627981,-0.36631463705761513,-0.16030529684957895,0.3036819142095774,0.0040153936757956945,-0.022406639413056224,-0.36523096072743355,-0.16122645556232762,0.26282350775825986,0.002663794941918976,-0.027258522827971608,-0.3022051914700152,-0.16504227049680303
alpha101__alpha002,-0.1324140418718826,1.0,-0.06608577013428817,0.23932718218387505,0.17580064879759696,-0.04667809760004772,0.05117807040317047,0.17292708715953342,0.08016615750701452,-0.07430826955776851,0.05463434928769585,0.17763010408916063,0.3159800859755757,-0.03466640082155476,0.15042429623766715,0.18668835757096583,0.14104032599232005,-0.012112660292835916,0.25785029154431616,-0.04564161119522879,0.0,0.05946145355104347,0.10535643443390744,0.06638475838463472,0.06732517855881366,0.22889480433097456,0.0,-0.040736132025602695,0.2233980006463596,-0.00034877509728631465,0.2351032888243913,0.11426947339474686,0.11591408149312135,0.06108399558365166,0.14403857983123394,0.050537011199669954,0.11177360715078166,0.22244116323031587,0.28022712989857573,0.10669139362954658,-0.004812830494708388,0.008836457939402879,0.04813022699443195,0.18029345971370317,0.1191708326428071,0.14531189300266642,0.1703872100104774,-0.006906685102688938,0.0,0.22347154861251695,-0.16445588045130785,-0.14106298418838564,-0.01495512593702836,0.08786466400972495,0.140196088738922,-0.21897632662516697,-0.13025802348450982,-0.02611479596650394,0.1045280399453615,0.01921559833784636,-0.07596963012198775,-0.15147130600312447,-0.10009964775743828,0.13011586487936821,0.01593356520645747,-0.12931190924887095,-0.15016790356701223,-0.015069483855754361,0.08340086879968515,-0.014966878372288765,-0.20267924707668192,-0.13809859549477813,-0.021022423373550116,0.09583769957972083,0.1245331368065586,-0.047457498883228554,-0.12388233027900199,-0.04270074285855752,0.116014357749164,0.0030344329883486556,-0.09458598693786646,-0.14629039942962166,-0.017771484290926873,0.12021158034760343,-0.009666771820086385,-0.1647240376226743,-0.14631879474316514,-0.020203383965363225,0.08995459034720218,0.13019627622788646,-0.21884992924975588,-0.13233981891369972,-0.031103052640289834,0.10590172435526997,0.10278857781005714,-0.06553895514745368,-0.13764834512237514,-0.060406654702578964,0.11762603993398067,-0.0053577659508308745,-0.13248004401310504
alpha101__alpha003,0.01909711806347843,-0.06608577013428817,1.0,-0.006643661335007972,-0.03435032946360673,0.6423162916998002,0.24449382725366076,-0.04068852038618477,-0.030239225803546724,0.017131163537021103,0.09254846377926051,0.031920047333461925,0.23319061615374567,0.5148845719886657,0.20895253896550794,0.26486475610528515,-0.05700224171789217,0.18130212355280054,-0.03000932211315673,0.022074518330233314,0.0,-0.05400792776583121,-0.013847082048828839,0.08386839166611043,-0.024977900927008315,0.16729291197077967,0.0,-0.11072748983133796,0.0026557984818127343,-0.009170593234155465,-0.00014358618515539432,0.047391879542634845,-0.01724932992165583,-0.04187621104594614,0.04341042986354971,0.010780905704924616,0.04409998616335838,-0.05801661835354645,-0.11951805863451462,0.519495627536257,0.012271586902325634,0.02993358980198233,0.15626834624132538,0.22289456274452818,0.009711694867224993,-0.11904457650111112,-0.06462347879467077,-0.0012278626531231278,0.0,0.42096292402107593,-0.27549812382214733,0.06371374912952248,0.3256750311308831,0.6676196248593768,-0.11007260083659133,-0.1777564550078571,0.048230254224159164,0.32693900053404873,0.6322203022523897,-0.021694636719500598,-0.4435653944794671,0.044689813911232834,0.360506173757168,0.5197552207779186,-0.003894600106456694,-0.3305320108545417,0.08491063712868473,0.33424179299768775,0.6376074974212027,-0.019893830497888475,-0.225499436710516,0.06451665439216174,0.34113050970331993,0.695585037573512,-0.10448294970675197,-0.4355608034124032,0.048374776585066545,0.32727183779787966,0.5614541973038149,-0.02733591536528708,-0.39220892605107105,0.03885160411635469,0.3478974522880961,0.4423816281845045,0.005328895503042025,-0.2758494812440615,0.08409125217727341,0.3580773391778387,0.6764928218173092,-0.0904908426442788,-0.17923001956232532,0.06463461232986493,0.3489432033427098,0.6411394281669054,-0.09730579378792917,-0.42918970607011053,0.040865228105670955,0.31755060688619685,0.4853279912644175,-0.029260231239189017,-0.3319445989097673
alpha101__alpha004,-0.33854539056708244,0.23932718218387505,-0.006643661335007972,1.0,0.481240729343038,0.04097231247202395,0.17193986999213895,0.48160663993467745,0.10832739385004982,-0.131644617919865,0.008773586523464813,0.16081339176212298,0.257007020439749,0.014680356160732959,0.16091117726202406,0.25820924368606896,0.32995753665277855,0.16271200647163803,0.5988923436117717,-0.045684313806295826,0.0,0.07142201450606057,0.3723971145812695,0.20367815172646697,0.1657998654653465,0.1829813743102908,0.0,-0.11802871801788205,0.5872819043781561,0.14368609829010065,0.644456510315348,0.27756461917978714,0.1819289767038637,0.16195817471285953,0.42382298267062074,0.05195010380309966,0.18524478686940937,0.45347403182988905,0.6113455608779712,0.16680817050852348,-0.05446919365094458,0.05903527482535373,0.12244383087921705,0.15636590843977582,0.10647192746943812,0.3287206011019392,0.4144129637380056,-0.03877317716828968,0.0,0.14216759694123182,0.1220284307071799,-0.26897253514362807,-0.05356607085223698,0.09155368674859007,0.33434482415492855,0.01088598481811891,-0.24866971347959724,-0.06830345140587811,0.08733438862539422,0.019589695725199176,0.15080396147997369,-0.3091195660290108,-0.07755196024034071,0.15506762645452504,0.008678019246916805,0.14696827012292146,-0.2921133677878548,-0.04154480819917008,0.10749338055303953,-0.08104581554822168,0.07173329371929599,-0.26431322243933775,-0.056769274547609494,0.0938132292942619,0.300567460271104,0.218373645611845,-0.2381944623486005,-0.0748010932877483,0.09068472637007217,-0.03058710765105373,0.1361088907963636,-0.29863324746030123,-0.029823034609339064,0.1531551605481397,-0.08251766918763227,0.11097344137121387,-0.28578558305122365,-0.04444311855996798,0.10998636541531255,0.30527430394349914,0.007106882170019779,-0.25667403941219596,-0.06214613818214999,0.0954453655103024,0.2589754244865792,0.210081533433175,-0.2559000662134387,-0.08367746859137398,0.09481273301994975,-0.08315471039699646,0.11184787370836097
alpha101__alpha005,-0.29961980895019086,0.17580064879759696,-0.03435032946360673,0.481240729343038,1.0,-0.003659993255315547,0.1343060783941199,0.4427723783479807,0.3023912108704815,-0.3333164667202902,0.190239882773213,0.103997202308983,0.16066461381728134,0.04841538202660441,0.08509048913152605,0.10791410216287092,0.16094992017876542,0.16971406132300323,0.4914625754654184,0.005739975373616952,0.0,0.05913600011501804,0.26476081348638686,0.09926234333056025,0.30305892840646326,0.11165905252838124,0.0,-0.04688125181806281,0.4636106818081372,0.1906366301459377,0.5498995069970836,0.3170208466894063,0.37619763350444124,0.27824349208477306,0.2680102736713262,0.10223367843270147,0.3285349892990729,0.5717684478860529,0.6172170340553249,0.01941903770884425,0.06677573438350226,-0.04440225496123641,0.11836444852712266,0.08264714963613225,0.047822536072523,0.394803924763676,0.4681282531082834,-0.06430002501689601,0.0,0.07992861814622237,0.16326724882929422,-0.526575351343338,0.004072094209292426,-0.007475475408464994,0.29367791429767237,0.09287428115224806,-0.5239236404736446,-0.005510333029784785,-0.008411308920716227,0.0148390278354354,0.20202729658693244,-0.537322937383925,-0.007561234493133524,0.0425144155151553,0.009606969093358836,0.1877100202054869,-0.5390679893288784,0.011673412102121227,-0.00036952663128213774,-0.044654049842483466,0.1276063684265057,-0.5251328105052803,0.0007394634745606104,-0.0048823915079121635,0.26561497649413,0.2469145756288292,-0.5219537664822035,-0.008902495463525764,-0.0027390049406634813,-0.01727681157902516,0.18585312123080175,-0.5256983785379783,0.0224350927730013,0.047018017419574065,-0.06052263360845191,0.1563123056433338,-0.5330781936189154,0.008385084054527004,0.0027826599921245104,0.2632302971201527,0.09059361626486566,-0.5224000250178669,-0.002886446915099733,-0.002099455220444176,0.23186139446413606,0.2377207616359613,-0.5180749782550449,-0.013393928012531732,0.005097892866553504,-0.045860457872510085,0.16328692070765463
alpha101__alpha006,-0.04213161880626007,-0.04667809760004772,0.6423162916998002,0.04097231247202395,-0.003659993255315547,1.0,0.2393875615734159,0.02021236415075204,-0.015853503040080225,-0.010195787168967399,0.041819420600644884,0.052562473635767715,0.17574641502198754,0.7999180149893773,0.15296835013329507,0.33148487086062883,-0.027278758780001633,0.30607441130373103,-0.00044875845068172247,0.023206956430228753,0.0,-0.04877023694374739,0.09839126853600928,0.10153489700619045,0.0038246338634675796,0.23150775345241728,0.0,-0.1296645706058968,0.06096899866114463,0.014340542382001527,0.016103674557250286,0.04687047534894071,0.01159322671258235,-0.005831256754031174,0.07319034819813322,0.0528348472465227,0.045266378252397085,-0.0060136276228771254,-0.0916276559914432,0.6537059901393042,-0.030046211757714738,0.05500969483594685,0.17757683899435076,0.2818875743345588,0.0258322841141125,-0.030561375697457163,-0.05202303081049308,-0.0018125803005505942,0.0,0.25512342122565074,-0.3178913449511335,0.022839452522869712,0.43439218984904704,0.5011051814480465,-0.038924785324765246,-0.1943849382071777,0.014002433147688908,0.43163674664735213,0.4579730766457741,-0.008719731186745112,-0.5572176850760485,-0.014943545874316379,0.4897483209784102,0.4400671374084183,0.03583560543851453,-0.3901011466193946,0.03649654157011443,0.45022446992866055,0.5040681086693773,0.02519811163271904,-0.25021283627106916,0.023851183081193095,0.4586798669652888,0.5159800233913341,-0.033673317206228105,-0.5481708029649456,0.014915412994398174,0.4310182785795767,0.4082709318041494,-0.021758891451232346,-0.48451389849242466,-0.019855674343310748,0.4746608999953066,0.38202701850613346,0.03677091081081879,-0.314671779464478,0.03652505064837497,0.48912131539683734,0.5281770023034855,-0.01782655233105813,-0.1913476283168342,0.025274548367234934,0.4697565628619976,0.4757872026809326,-0.027877974839158676,-0.5399122954036485,0.013339122349711746,0.41495228360511305,0.3560542202855877,-0.02902938507353207,-0.4017752527998695
alpha101__alpha007,0.023895128621052274,0.05117807040317047,0.24449382725366076,0.17193986999213895,0.1343060783941199,0.2393875615734159,1.0,0.10449310687926051,0.03623302285594949,-0.041139281842565954,0.24859303130274515,0.0896132310342336,0.1947428639025785,0.21606733385614288,0.12919405116523616,0.2147005717295358,0.022694766658431856,0.19140523622536706,0.17072466124432636,-0.03213817342595913,0.0,0.015094965394754968,0.02367705991011277,0.1893263562451169,-0.004248553309161656,0.10389831863460502,0.0,-0.14410630296688784,0.1616355760124966,0.13080974681003543,0.1214231388430523,0.07604376857988468,0.0754553055036882,-0.03002650810816629,0.3115348004980358,-0.08616647834033657,0.1674319182550542,0.09005036309276594,0.15017238686281892,0.3032241582289547,-0.012027505531371293,0.021472551896080112,0.5343230969496614,0.13163621970415085,0.05876575266712037,0.060900332223181364,0.1624432169360307,-0.015467376709339127,0.0,0.15807416706799687,-0.28761200935264686,-0.02852563360611899,0.14033489023037224,0.30037764145606033,-0.0492371205322938,-0.25624490307477954,-0.02299719955220919,0.13580141023060086,0.29344126681204746,-0.06939579193784669,-0.270754470072856,-0.07961264001704989,0.10080349971742807,0.25567160994941707,-0.04405348650528143,-0.2873990591364119,-0.059489804451443064,0.1379385902141106,0.2929828035837864,-0.05898338700034753,-0.27113370963047884,-0.031111009981895466,0.14102153980452484,0.29558595470671384,-0.05233954263004638,-0.3104109687015545,-0.02515786176703632,0.12766581607454072,0.28161938214084703,-0.06919910387089197,-0.28220306901103065,-0.0786362725367908,0.1395408797519696,0.23888410972081986,-0.0500889412342101,-0.2766047309104911,-0.06109579074111136,0.13984454258695123,0.2928331133397751,-0.02563539636921681,-0.24757964812036304,-0.031774341367242845,0.13602183675514892,0.2906640357179906,-0.05491003013313263,-0.29227090443361026,-0.009051595954357916,0.11539042013810219,0.25952984672257007,-0.060984997513526665,-0.283267495240035
alpha101__alpha008,-0.2362751225461242,0.17292708715953342,-0.04068852038618477,0.48160663993467745,0.4427723783479807,0.02021236415075204,0.10449310687926051,1.0,0.16802196561942306,-0.1824960335543492,-0.019417314698303486,0.15152331990477694,0.1675801877572028,-0.015371687607832472,0.08545564369412517,0.11997237392318012,0.2519362264292111,0.12681012841461747,0.4269493583807411,0.023671594467846373,0.0,0.11225382172487135,0.3124218522435055,0.08511929353945205,0.1962813638638722,0.09247994700538936,0.0,-0.11290802737349832,0.4712149215626068,0.15879794934513372,0.3030088295132118,0.28529452796354293,0.22677913880539352,0.2004883728959496,0.32938810583011985,0.07705999030631229,0.1925143260013021,0.4050409423427605,0.48078890578452776,0.058868759791899435,-0.025991658073686343,0.02742428710930462,0.11098052103312445,0.08371574995024299,0.08917913894478265,0.5058396161910484,0.4170580069658238,-0.02625617146233884,0.0,0.07259815281395322,0.19552648109888737,-0.3504001609814817,-0.005968376853768721,0.03557808303390632,0.5565340392845902,0.07189970618962047,-0.297452554575501,-0.014525915551402473,0.031651656798962535,0.02169922453063792,0.1983443570714622,-0.4483928662910449,-0.0574617435680107,0.07555088218461715,0.05957005523758673,0.24212715690444217,-0.5009188217903415,0.004574781301860082,0.03531180055564914,0.13891098583298767,0.1432776761177989,-0.3538958110118744,-0.01095827455418041,0.028121767930264382,0.5332529389959998,0.24991033126770806,-0.293362041325165,-0.01934394405576249,0.03908144736366077,-0.062124209261346756,0.19347273906941673,-0.423647815644929,0.026969218438073955,0.07557865825264155,-0.024176415031204556,0.19150378924622824,-0.4988203483646955,-0.0040205363354889065,0.034984992011069777,0.5266259630525438,0.08152898440199875,-0.3547364756172044,-0.016075974166011003,0.034607439547159176,0.496874027187297,0.24317037664908805,-0.2724738876776653,-0.03030698777094802,0.04504844857618886,-0.12098883321197619,0.1924012469354435
alpha101__alpha009,-0.25488638640120465,0.08016615750701452,-0.030239225803546724,0.10832739385004982,0.3023912108704815,-0.015853503040080225,0.03623302285594949,0.16802196561942306,1.0,-0.795831243785673,-0.02123183500246507,0.18157959789276457,0.08408434598727847,0.17844082759481272,0.030099709128835642,0.05294047151392308,0.31952421239675566,0.21983454264478444,0.1588611618650187,-0.04194062220074112,0.0,0.07585195631515876,0.29982457834979015,0.05129460100233293,0.6837880596109945,0.006602968874753702,0.0,0.04104624226461027,0.059889998235291585,0.23150913659824252,0.24067275526648516,0.2022747119951132,0.6633317914204783,0.5530439850205003,0.26890853847866886,0.2339313283361662,0.4870208944080268,0.5946185429509815,0.39894941427370845,0.005127583810433643,0.01939627303379267,0.0026101572369997424,0.11824106704737254,0.0786661233268928,0.07032616217046594,0.36931064195335317,0.18612712833778386,-0.06285865279723248,0.0,0.020662001932859816,0.12377333825384405,-0.3915094154311367,-0.017067138612242964,-0.007811873726316697,0.2915358159351569,0.1373324555335234,-0.4077648258579618,-0.01432240770708573,0.002171680756142889,0.38585906291280797,0.15338449163270093,-0.4221163398537721,-0.01086808911696215,0.02106867825654645,0.3811391872028977,0.13225235470043528,-0.39408920689117133,-0.01784184269995652,-0.012180758778536326,0.3363390738853364,0.12921400758074583,-0.3978623085385434,-0.01707053636977019,-0.0040557447114961155,0.3020388534297282,0.12113131089636094,-0.42109965695731433,-0.012904203260898774,0.011728125866070768,0.3964061930889592,0.15092166000314,-0.4230291326287342,-0.020531220701314298,0.033655855521726424,0.38059621899052665,0.13308274466457523,-0.3972794260826025,-0.018448598454232638,-0.008986623156065191,0.30495641663267514,0.1412313117954311,-0.406399519909421,-0.0152892002199332,0.002329262649724133,0.31372037423223303,0.11980254413304324,-0.3764809180088075,-0.00969133609547676,0.021075183248783335,0.3961504717772909,0.15093418002388867
alpha101__alpha010,0.27164280932200124,-0.07430826955776851,0.017131163537021103,-0.131644617919865,-0.3333164667202902,-0.010195787168967399,-0.041139281842565954,-0.1824960335543492,-0.795831243785673,1.0,0.03632992818458497,-0.1346223878931998,-0.07091564310980171,-0.22023881474100512,-0.015936096692685604,-0.07121787162548505,-0.37952302946290845,-0.2506445188611628,-0.1728189534835903,0.032262395437455106,0.0,-0.06832314183469321,-0.3387510557087193,-0.0871753048011426,-0.7926207106711578,-0.004295588204903074,0.0,-0.029576389003410104,-0.06869181108330036,-0.28766903657463305,-0.2651091271061493,-0.18710778483084484,-0.7629788767937475,-0.619477564598732,-0.27628687946848957,-0.22360474334019942,-0.5492045471698431,-0.685959309936014,-0.44511615360107193,-0.027139453015665133,0.01321699572245436,-0.02122381927435084,-0.11714050430488986,-0.07874638416714909,-0.026059196329983797,-0.36887258703593,-0.18962400284458397,0.06986547267048167,0.0,-0.018842327829880948,-0.1433134231905063,0.4511894435499392,0.03034482531979319,-0.005528300559592047,-0.3132767166406399,-0.16290607677259505,0.46938163568195723,0.027931657068962886,-0.01298587709568703,-0.42724296362510933,-0.17448787002489874,0.48267110573379834,0.015181589355773323,-0.03345050322822578,-0.4258277558444599,-0.15470067609037189,0.45243513274307806,0.030025599230339272,-0.003368281959095071,-0.390994795924519,-0.1503191985047002,0.4580100029189542,0.029725017186656117,-0.00861317713843871,-0.32486138929925384,-0.1455343753303741,0.48350383308418654,0.025678412515449667,-0.020099714236934203,-0.4453861198662965,-0.17160584336404974,0.48276628726110316,0.03095582148139507,-0.04394381236343966,-0.4375111652220417,-0.15212569913203955,0.4551153707654818,0.030144930748342767,-0.00581776056672873,-0.32783850795759334,-0.166626596134686,0.4669403158838398,0.027286107629075424,-0.013808216791048386,-0.33777386409194354,-0.1431740879820496,0.4358870715588452,0.021342170995831664,-0.027486314499543574,-0.4670905674902302,-0.1720627995406333
