factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate
alpha101__alpha024,-0.21310346230144667,0.12511247925093008,-1.7032950156318036,-0.2155699184365084,0.15443764532082416,-1.3958378994233556,0.02203856749311295
alpha101__alpha016,-0.15587627618349223,0.13063930919914982,-1.1931804993386068,-0.14167860185225684,0.1551831773742563,-0.9129765497104729,0.11019283746556474
alpha101__alpha013,-0.07783661533648036,0.082378818242165,-0.9448620045467009,-0.0745504155055761,0.08681447171876093,-0.8587325825938935,0.162534435261708
alpha101__alpha059,-0.0966904521462802,0.10000762298708318,-0.9668308200742716,-0.09502764871570551,0.11590823580602226,-0.8198524294230363,0.1349862258953168
alpha101__alpha040,-0.13186920320638967,0.12015642577523317,-1.097479409491313,-0.12557414639710462,0.15326363910344842,-0.819334234340774,0.12672176308539945
alpha101__alpha094,-0.0962922109852575,0.098491267794412,-0.9776725707933341,-0.09369470397921836,0.11564672013002475,-0.8101803827542611,0.14049586776859505
alpha101__alpha079,-0.09200376383368578,0.09868227077934827,-0.9323231326871723,-0.09151679542673147,0.11335338883471392,-0.807358265752218,0.1487603305785124
alpha101__alpha054,-0.10246263828898027,0.10411067484801233,-0.9841703402514874,-0.09832217753723611,0.12234178074150118,-0.8036680269104743,0.12396694214876033
alpha101__alpha074,-0.09917226936971354,0.10111020353481369,-0.9808334461078116,-0.09533734691126738,0.11893602537214168,-0.801585109414613,0.12947658402203857
alpha101__alpha099,-0.08695023308129095,0.09554042373383673,-0.910088417898617,-0.0873459178430457,0.10971980248937009,-0.7960816175503777,0.17079889807162535
alpha101__alpha089,-0.10052240460350115,0.10317916511989945,-0.9742509981224309,-0.09639516641888272,0.12223262211429783,-0.7886206214961592,0.1322314049586777
alpha101__alpha041,0.07174975832362115,0.07837393470364185,0.9154798543027229,0.07884064983868819,0.10006211874346509,0.7879170542132574,0.8044077134986226
alpha101__alpha069,-0.10343613080651787,0.10642490745486403,-0.9719165680307146,-0.09860811385688469,0.12550896532812628,-0.7856658972455638,0.1349862258953168
alpha101__alpha042,-0.08574897657339416,0.07750664467056491,-1.1063435520639882,-0.07870109105152326,0.10070554356892536,-0.7814971079289026,0.14049586776859505
alpha101__alpha020,0.07935422930549207,0.10043667555190787,0.7900921537818132,0.08113911584916104,0.10996750828373848,0.7378462703711142,0.7933884297520661
alpha101__alpha064,-0.08287631380003609,0.09414398782414622,-0.8803144599615083,-0.08157912991374862,0.11224428799927816,-0.7267998342532428,0.1790633608815427
alpha101__alpha084,-0.0774512418792592,0.09007159216921742,-0.8598853424701499,-0.0765904753129013,0.10587996981955851,-0.7233707701600915,0.18181818181818182
alpha101__alpha002,-0.06882218084086722,0.08774499045008549,-0.7843431344381685,-0.0704945863768598,0.0996916494691292,-0.7071262914421871,0.209366391184573
alpha101__alpha021,-0.01402140666397166,0.051451550555265124,-0.2725166979936006,-0.03239593087602807,0.05222058238075602,-0.6203670928029789,0.0027548209366391185
alpha101__alpha050,-0.06198221850035274,0.08003580975507704,-0.7744310789136599,-0.056123066129988804,0.09067750373436194,-0.6189304272689319,0.20110192837465565
alpha101__alpha012,-0.05873156843514122,0.09458777091075411,-0.6209213714377083,-0.06133431307691307,0.10339365908290875,-0.5932115530192296,0.27548209366391185
alpha101__alpha023,-0.0681838893413391,0.10739489909407908,-0.6348894585915973,-0.06764893316824692,0.11490058781847053,-0.5887605490332593,0.07162534435261708
alpha101__alpha018,-0.07312756657120754,0.1135092280427688,-0.64424336093321,-0.07244941896546148,0.1245154066613493,-0.5818510408314831,0.25068870523415976
alpha101__alpha031,-0.10812357785854751,0.16177998528033735,-0.6683371720623391,-0.10241706003125724,0.17989310647734255,-0.5693217602207377,0.20385674931129477
alpha101__alpha032,0.027303594846372046,0.12074705072520703,0.22612225045983816,0.0730017902014807,0.1327448195683848,0.5499407844226503,0.16804407713498623
alpha101__alpha063,0.04190853178549653,0.0804452725560697,0.5209570488593549,0.047802085179860836,0.09204523921979944,0.5193325106767536,0.6528925619834711
alpha101__alpha045,-0.037613861183609855,0.0763082190446752,-0.49292018152839534,-0.04538942156572557,0.08782480203659658,-0.5168178067376891,0.2727272727272727
alpha101__alpha007,-0.09634563169725185,0.11667558277964962,-0.82575659278435,-0.07221758016624427,0.14055181741506992,-0.513814630749137,0.02203856749311295
alpha101__alpha026,-0.05965509582908427,0.09100832355709161,-0.6554905474295575,-0.05648285094410028,0.11007223367224234,-0.5131434973172888,0.2231404958677686
alpha101__alpha035,-0.0677071852488257,0.12324489246200818,-0.5493711252147614,-0.07502533574055129,0.14774300679188818,-0.5078097256151859,0.209366391184573
alpha101__alpha015,-0.04755078196062889,0.07383166015598966,-0.6440432445940509,-0.043099815240798325,0.08530876149740066,-0.5052214389739038,0.23140495867768596
alpha101__alpha029,-0.08165100625391476,0.1394106426078049,-0.5856870374209403,-0.0772298861977504,0.15706519992858622,-0.4917059045088598,0.24517906336088155
alpha101__alpha096,0.06739130592511612,0.10322422629645725,0.6528632700192886,0.0594943151142557,0.1250497608576186,0.47576512506885804,0.6391184573002755
alpha101__alpha081,0.06359395921585992,0.10289728282005449,0.6180334161697181,0.05805161233649126,0.1228707543282091,0.4724607792463399,0.6611570247933884
alpha101__alpha061,0.06426718461677364,0.10522361294948898,0.6107677052262417,0.059125898900130744,0.1266236564555542,0.46694196452054243,0.650137741046832
alpha101__alpha076,0.06642628427340701,0.10298171479536798,0.6450298910384312,0.058497070379991606,0.12626656968915373,0.46328232820453735,0.650137741046832
alpha101__alpha101,0.06222447500811549,0.10366064858383749,0.6002709404021361,0.056237858532599466,0.1225355787500668,0.458951262206927,0.6363636363636364
alpha101__alpha028,0.04888481907786744,0.11394731314522068,0.4290124771574557,0.0534900390130432,0.11957237965219614,0.4473444383111829,0.6115702479338843
