factor,date,quantile,ret
custom__simple_reversal_5d,2024-11-08,Q1,0.07223405906990375
custom__simple_reversal_5d,2024-11-08,Q2,0.08229861976617878
custom__simple_reversal_5d,2024-11-08,Q3,0.06879192693312915
custom__simple_reversal_5d,2024-11-08,Q4,0.059863391679294976
custom__simple_reversal_5d,2024-11-08,Q5,0.06360814637901945
custom__simple_reversal_5d,2024-11-11,Q1,0.03943802717678204
custom__simple_reversal_5d,2024-11-11,Q2,0.03855606916664056
custom__simple_reversal_5d,2024-11-11,Q3,0.04955937369278967
custom__simple_reversal_5d,2024-11-11,Q4,0.042874515323991405
custom__simple_reversal_5d,2024-11-11,Q5,0.04578858904920028
custom__simple_reversal_5d,2024-11-12,Q1,0.05117485398780381
custom__simple_reversal_5d,2024-11-12,Q2,0.05595057650863528
custom__simple_reversal_5d,2024-11-12,Q3,0.0544617696329009
custom__simple_reversal_5d,2024-11-12,Q4,0.06370030109622098
custom__simple_reversal_5d,2024-11-12,Q5,0.038208591819971396
custom__simple_reversal_5d,2024-11-13,Q1,0.04111783160420088
custom__simple_reversal_5d,2024-11-13,Q2,0.046488859149379065
custom__simple_reversal_5d,2024-11-13,Q3,0.054750922264228646
custom__simple_reversal_5d,2024-11-13,Q4,0.05430368318980912
custom__simple_reversal_5d,2024-11-13,Q5,0.033297792438972254
custom__simple_reversal_5d,2024-11-14,Q1,0.06976189611934004
custom__simple_reversal_5d,2024-11-14,Q2,0.07763508169705079
custom__simple_reversal_5d,2024-11-14,Q3,0.07732521383302406
custom__simple_reversal_5d,2024-11-14,Q4,0.0707071112542903
custom__simple_reversal_5d,2024-11-14,Q5,0.07849312939561898
custom__simple_reversal_5d,2024-11-15,Q1,0.10072487469410694
custom__simple_reversal_5d,2024-11-15,Q2,0.0953792314637625
custom__simple_reversal_5d,2024-11-15,Q3,0.09053615089005701
custom__simple_reversal_5d,2024-11-15,Q4,0.09866007032566544
custom__simple_reversal_5d,2024-11-15,Q5,0.11195807177751806
custom__simple_reversal_5d,2024-11-18,Q1,0.11874201317217628
custom__simple_reversal_5d,2024-11-18,Q2,0.11822359394570996
custom__simple_reversal_5d,2024-11-18,Q3,0.1401612838857642
custom__simple_reversal_5d,2024-11-18,Q4,0.14020921521395607
custom__simple_reversal_5d,2024-11-18,Q5,0.15726803108946033
custom__simple_reversal_5d,2024-11-19,Q1,0.12325267905912912
custom__simple_reversal_5d,2024-11-19,Q2,0.10107731854692338
custom__simple_reversal_5d,2024-11-19,Q3,0.10880938397132651
custom__simple_reversal_5d,2024-11-19,Q4,0.11005600073645476
custom__simple_reversal_5d,2024-11-19,Q5,0.11311053392605921
custom__simple_reversal_5d,2024-11-20,Q1,0.10446837238077421
custom__simple_reversal_5d,2024-11-20,Q2,0.08928120598828895
custom__simple_reversal_5d,2024-11-20,Q3,0.08355621280352878
custom__simple_reversal_5d,2024-11-20,Q4,0.08019735683214974
custom__simple_reversal_5d,2024-11-20,Q5,0.08252961846820651
custom__simple_reversal_5d,2024-11-21,Q1,0.11065365230615344
custom__simple_reversal_5d,2024-11-21,Q2,0.09157356675198108
custom__simple_reversal_5d,2024-11-21,Q3,0.07620426954164065
custom__simple_reversal_5d,2024-11-21,Q4,0.09240049531398829
custom__simple_reversal_5d,2024-11-21,Q5,0.08382983039954188
custom__simple_reversal_5d,2024-11-22,Q1,0.1480805468476174
custom__simple_reversal_5d,2024-11-22,Q2,0.13433926318318176
custom__simple_reversal_5d,2024-11-22,Q3,0.1365373319788223
custom__simple_reversal_5d,2024-11-22,Q4,0.14355662963688917
custom__simple_reversal_5d,2024-11-22,Q5,0.14062245132876777
custom__simple_reversal_5d,2024-11-25,Q1,0.14290694538632495
custom__simple_reversal_5d,2024-11-25,Q2,0.12763922051935114
custom__simple_reversal_5d,2024-11-25,Q3,0.13928834978240345
custom__simple_reversal_5d,2024-11-25,Q4,0.11141408735099505
custom__simple_reversal_5d,2024-11-25,Q5,0.11755637576690593
custom__simple_reversal_5d,2024-11-26,Q1,0.16739908651362168
custom__simple_reversal_5d,2024-11-26,Q2,0.16171219623671992
custom__simple_reversal_5d,2024-11-26,Q3,0.12979366971865314
custom__simple_reversal_5d,2024-11-26,Q4,0.12386377631372619
custom__simple_reversal_5d,2024-11-26,Q5,0.13193053992052314
custom__simple_reversal_5d,2024-11-27,Q1,0.15351244671564138
custom__simple_reversal_5d,2024-11-27,Q2,0.1345879976909023
custom__simple_reversal_5d,2024-11-27,Q3,0.11050817926274198
custom__simple_reversal_5d,2024-11-27,Q4,0.09953857237089588
custom__simple_reversal_5d,2024-11-27,Q5,0.12824280956286707
custom__simple_reversal_5d,2024-11-28,Q1,0.15166347502790545
custom__simple_reversal_5d,2024-11-28,Q2,0.11457714357217902
custom__simple_reversal_5d,2024-11-28,Q3,0.10852497425218233
custom__simple_reversal_5d,2024-11-28,Q4,0.11485298756688125
custom__simple_reversal_5d,2024-11-28,Q5,0.13257590466585248
custom__simple_reversal_5d,2024-11-29,Q1,0.1301858154625196
custom__simple_reversal_5d,2024-11-29,Q2,0.11464610458709096
custom__simple_reversal_5d,2024-11-29,Q3,0.10115119412695239
custom__simple_reversal_5d,2024-11-29,Q4,0.08722236832509801
custom__simple_reversal_5d,2024-11-29,Q5,0.10982887325232188
custom__simple_reversal_5d,2024-12-02,Q1,0.1080148164614073
custom__simple_reversal_5d,2024-12-02,Q2,0.08949721534270054
custom__simple_reversal_5d,2024-12-02,Q3,0.08083090345820583
custom__simple_reversal_5d,2024-12-02,Q4,0.06378871369387558
custom__simple_reversal_5d,2024-12-02,Q5,0.07656488077595097
custom__simple_reversal_5d,2024-12-03,Q1,0.09364545368679131
custom__simple_reversal_5d,2024-12-03,Q2,0.09103695546125368
custom__simple_reversal_5d,2024-12-03,Q3,0.06913163942399943
custom__simple_reversal_5d,2024-12-03,Q4,0.07197680031967126
custom__simple_reversal_5d,2024-12-03,Q5,0.07257019696886935
custom__simple_reversal_5d,2024-12-04,Q1,0.11676043781661977
custom__simple_reversal_5d,2024-12-04,Q2,0.08969129817013995
custom__simple_reversal_5d,2024-12-04,Q3,0.08783773779407512
custom__simple_reversal_5d,2024-12-04,Q4,0.07840193297902505
custom__simple_reversal_5d,2024-12-04,Q5,0.10801021859961682
custom__simple_reversal_5d,2024-12-05,Q1,0.09275047764017467
custom__simple_reversal_5d,2024-12-05,Q2,0.07036876206906148
custom__simple_reversal_5d,2024-12-05,Q3,0.07755420175939834
custom__simple_reversal_5d,2024-12-05,Q4,0.07743866669141783
custom__simple_reversal_5d,2024-12-05,Q5,0.08114129615125178
custom__simple_reversal_5d,2024-12-06,Q1,0.09048939017905182
custom__simple_reversal_5d,2024-12-06,Q2,0.06618027966982525
custom__simple_reversal_5d,2024-12-06,Q3,0.06157750040198583
custom__simple_reversal_5d,2024-12-06,Q4,0.06467947863643984
custom__simple_reversal_5d,2024-12-06,Q5,0.07323863002261409
custom__simple_reversal_5d,2024-12-09,Q1,0.07967449859735858
custom__simple_reversal_5d,2024-12-09,Q2,0.0594011210719949
custom__simple_reversal_5d,2024-12-09,Q3,0.058861955369765226
custom__simple_reversal_5d,2024-12-09,Q4,0.0794802778121819
custom__simple_reversal_5d,2024-12-09,Q5,0.0870730679782576
custom__simple_reversal_5d,2024-12-10,Q1,0.07087022495315468
custom__simple_reversal_5d,2024-12-10,Q2,0.056251288429145535
custom__simple_reversal_5d,2024-12-10,Q3,0.05723094487332957
custom__simple_reversal_5d,2024-12-10,Q4,0.06147345899176251
custom__simple_reversal_5d,2024-12-10,Q5,0.07591531968596106
custom__simple_reversal_5d,2024-12-11,Q1,0.06368639436702722
custom__simple_reversal_5d,2024-12-11,Q2,0.03957570787668007
custom__simple_reversal_5d,2024-12-11,Q3,0.03827372488675762
custom__simple_reversal_5d,2024-12-11,Q4,0.03420697580017426
custom__simple_reversal_5d,2024-12-11,Q5,0.047908319874151666
