,ga_final_0000,ga_final_0001,ga_final_0002,ga_final_0003,ga_final_0004,ga_final_0005,ga_final_0006,ga_final_0007,ga_final_0008,ga_final_0009,ga_final_0010,ga_final_0011,ga_final_0012,ga_final_0013,ga_final_0014,ga_final_0015,ga_final_0016,ga_final_0017,ga_final_0018,ga_final_0019,ga_final_0020,ga_final_0021,ga_final_0022,ga_final_0023,ga_final_0024,ga_final_0025,ga_final_0026,ga_final_0027,ga_final_0028,ga_final_0029,ga_final_0030,ga_final_0031,ga_final_0032,ga_final_0033,ga_final_0034,ga_final_0035,ga_final_0036,ga_final_0037,ga_final_0038,ga_final_0039,ga_final_0040,ga_final_0041,ga_final_0042,ga_final_0043,ga_final_0044,ga_final_0045
ga_final_0000,1.0,-0.671484727682297,-0.6620131748200797,-0.671188879797318,-0.6620490642481448,-0.6616431287778487,-0.6742553707252995,-0.6653903478880973,-0.665779443879102,-0.6653903478880973,-0.6746949424195136,-0.6653903478880971,0.06632469094354608,-0.6739707790523638,-0.665035341211579,-0.666810716509444,-0.6637213849604335,-0.6609674058272813,-0.6660212329611213,-0.6709264759915987,0.11168917389583918,-0.6709264759915987,0.11168917389583917,0.14675379718389828,-0.6639665499122993,0.1588289728890451,0.1588289728890451,-0.01839577003805724,-0.6747002433126525,0.11412829286758712,0.11412829286758715,0.14674408062168515,-0.6557777992096484,-0.654688623363874,-0.654688623363874,-0.654688623363874,-0.6525919474043028,-0.6525919474043028,-0.651431467032295,-0.651431467032295,-0.6516253448847315,-0.6516450712656825,-0.6516253448847315,-0.022807877333290465,-0.6503628144241159,0.06931835206666666
ga_final_0001,-0.671484727682297,1.0,0.8975509653532627,0.9990735984017335,0.897265746122404,0.8967248870020805,0.9927553636784483,0.8926992150211857,0.892855482034966,0.8926992150211857,0.9926987108489372,0.8926992150211857,-0.04774526783418984,0.9917140032796262,0.889408320041722,0.8931784758318561,0.8880340038292605,0.8961821247530259,0.8927354352726429,0.9977815296798218,-0.17093278897556224,0.9977815296798218,-0.17093278897556224,-0.22137817248083566,0.894682573923437,-0.23402836545679817,-0.23402836545679817,-0.012505967843663564,0.9801724888825534,-0.17155066400758348,-0.1715506640075835,-0.15694705059637512,0.883360985154943,0.882280428657352,0.882280428657352,0.882280428657352,0.8814716963493364,0.8814716963493365,0.8800908770597081,0.880090877059708,0.8795673589457873,0.8792236024499447,0.8795673589457873,0.022780068839899602,0.8774000065638813,-0.041204463574957564
ga_final_0002,-0.6620131748200797,0.8975509653532627,1.0,0.8969181862531225,0.999586775163616,0.998866073039058,0.8929791461486858,0.9938009896229876,0.993803703514739,0.9938009896229876,0.8929661521153108,0.9938009896229875,-0.05109329298241534,0.8922705239405976,0.9897238981072427,0.9942330033766469,0.9883029900209533,0.9981244661930969,0.9936924187740719,0.8960709564424381,-0.1838396505602532,0.8960709564424381,-0.18383965056025323,-0.24586038382646094,0.9967123697210426,-0.2643557599432203,-0.2643557599432203,-0.009984674286689608,0.8846805605812074,-0.1866212693530268,-0.18662126935302673,-0.27596827553168335,0.9826282996015262,0.9814353981665811,0.9814353981665811,0.9814353981665811,0.9805348444288304,0.9805348444288303,0.9790527374714978,0.9790527374714979,0.9783911529523238,0.9780456497232851,0.9783911529523238,0.018897302607825704,0.9759925374532135,-0.14919839510375246
ga_final_0003,-0.671188879797318,0.9990735984017335,0.8969181862531225,1.0,0.8962001816503642,0.8971005588553371,0.9906812822409345,0.8912961617471804,0.8914535215775714,0.8912961617471804,0.9906169053945689,0.8912961617471802,-0.0408025437191902,0.9895636141378823,0.8890324553648916,0.8926762691665828,0.8876850010878037,0.8968871948609387,0.8922398365382113,0.9988538280875429,-0.16590382136731935,0.9988538280875429,-0.1659038213673193,-0.2164018904087651,0.8942133080266569,-0.22870124813751022,-0.22870124813751022,-0.006307556978300526,0.9800945624038891,-0.16600587165341396,-0.16600587165341402,-0.15199458123996626,0.8832055456027927,0.8821085973005515,0.8821085973005515,0.8821085973005515,0.8812477475069368,0.8812477475069368,0.8799584710730081,0.8799584710730082,0.879454551642195,0.8791040228002533,0.879454551642195,0.02601220208657694,0.8773989067086034,-0.03393849517436847
ga_final_0004,-0.6620490642481448,0.897265746122404,0.999586775163616,0.8962001816503642,1.0,0.9978157908465077,0.8933773428004946,0.994209190644865,0.9942243472224241,0.994209190644865,0.8933768301259682,0.9942091906448649,-0.05177817988345939,0.8926501644190723,0.9890701410396278,0.993616840041212,0.987638761174126,0.9969706694442163,0.9930732342179062,0.8952167277074868,-0.185119833682545,0.8952167277074868,-0.18511983368254506,-0.24685437491334636,0.9964633188924034,-0.2657422056450263,-0.2657422056450263,-0.011159167220885863,0.8841026639725575,-0.18826964535129173,-0.18826964535129181,-0.27677446863526645,0.9819273596622577,0.9807617232312424,0.9807617232312424,0.9807617232312424,0.979868808490149,0.9798688084901492,0.9783629065952971,0.9783629065952971,0.9777081682580444,0.9773540962466113,0.9777081682580444,0.01635659302480462,0.9752847039695233,-0.15168677427722418
ga_final_0005,-0.6616431287778487,0.8967248870020805,0.998866073039058,0.8971005588553371,0.9978157908465077,1.0,0.8913346899023704,0.9917051518093805,0.991723616399804,0.9917051518093805,0.8913173572978569,0.9917051518093802,-0.04227755852682447,0.8905806273667537,0.9896412927479279,0.9939532134427308,0.9882882433352698,0.9997029649000146,0.9934281912223305,0.8973620314989423,-0.17644554336239632,0.8973620314989423,-0.17644554336239635,-0.23798317229779492,0.996327487660741,-0.25599345099457815,-0.25599345099457815,-0.001365295897814478,0.8851249078504695,-0.178482224076754,-0.17848222407675396,-0.27120790056012617,0.9829807172606556,0.9817471695393759,0.9817471695393759,0.9817471695393759,0.9807736998550788,0.9807736998550791,0.9794586848261745,0.9794586848261744,0.9788161398024054,0.9784556736550922,0.9788161398024054,0.023598053193531962,0.9766119434848205,-0.13993275940031452
ga_final_0006,-0.6742553707252995,0.9927553636784483,0.8929791461486858,0.9906812822409345,0.8933773428004946,0.8913346899023704,1.0,0.8979769225967966,0.8979644151491258,0.8979769225967966,0.999659939192159,0.8979769225967965,-0.0697690218003319,0.9995379644049711,0.8917655053084234,0.8955156860961883,0.8905223220748382,0.8898517780981883,0.8951099218962223,0.9884573167825536,-0.18481036936610173,0.9884573167825536,-0.18481036936610173,-0.23737167057719558,0.8938134097898095,-0.2503421134147904,-0.2503421134147904,-0.019273792435139426,0.9817408839770997,-0.18725685713444282,-0.1872568571344429,-0.16681550810973805,0.8853361616969686,0.8843453577193359,0.8843453577193359,0.8843453577193359,0.883619410057945,0.883619410057945,0.8820235254939631,0.8820235254939631,0.8814036432896156,0.8810732990693875,0.8814036432896156,-0.009786771071809069,0.8789430131870665,-0.06919642012695144
ga_final_0007,-0.6653903478880973,0.8926992150211857,0.9938009896229876,0.8912961617471804,0.994209190644865,0.9917051518093805,0.8979769225967966,1.0,0.9997653606426172,1.0,0.8978030580719883,1.0000000000000002,-0.07374819140534034,0.8977042665047514,0.9923096239200939,0.9968638343770483,0.9909230619439422,0.9898444148806924,0.9963771777209081,0.8898099554760533,-0.19886545854716312,0.8898099554760533,-0.1988654585471632,-0.2644135162173875,0.9949513873728587,-0.28340323287939734,-0.28340323287939734,-0.018754987107528123,0.8856612139982261,-0.20329900545108062,-0.20329900545108062,-0.28361328294720034,0.9844345571512882,0.9833575864658196,0.9833575864658196,0.9833575864658196,0.9825278829193121,0.9825278829193121,0.9807221055149541,0.9807221055149542,0.9799477094410609,0.9796090935805546,0.9799477094410609,-0.01010045965490207,0.9771355552111525,-0.17338981876738271
ga_final_0008,-0.665779443879102,0.892855482034966,0.993803703514739,0.8914535215775714,0.9942243472224241,0.991723616399804,0.8979644151491258,0.9997653606426172,1.0,0.9997653606426173,0.898184804002988,0.9997653606426172,-0.07152844387762121,0.8978891719657563,0.9922503824519082,0.9967034963336365,0.9909011916700952,0.989878254874049,0.9962283875676944,0.8899839681205369,-0.19738028977611527,0.8899839681205369,-0.19738028977611527,-0.2626568579048551,0.9950248311428503,-0.281401183989027,-0.281401183989027,-0.017136342113544135,0.8858604233365399,-0.20160437916705062,-0.20160437916705054,-0.28322507538237335,0.9845988628051816,0.9835769544041315,0.9835769544041315,0.9835769544041315,0.9827733661899731,0.9827733661899731,0.9809372712731312,0.9809372712731311,0.980226437977442,0.9799023969083567,0.980226437977442,-0.010297793633661307,0.9774223887803148,-0.1730330619466069
ga_final_0009,-0.6653903478880973,0.8926992150211857,0.9938009896229876,0.8912961617471804,0.994209190644865,0.9917051518093805,0.8979769225967966,1.0,0.9997653606426173,1.0,0.8978030580719883,1.0000000000000002,-0.07374819140534034,0.8977042665047514,0.9923096239200939,0.9968638343770483,0.9909230619439422,0.9898444148806924,0.9963771777209081,0.8898099554760533,-0.19886545854716312,0.8898099554760533,-0.1988654585471632,-0.2644135162173875,0.9949513873728587,-0.28340323287939734,-0.28340323287939734,-0.018754987107528123,0.8856612139982261,-0.20329900545108062,-0.20329900545108062,-0.28361328294720034,0.9844345571512882,0.9833575864658196,0.9833575864658196,0.9833575864658196,0.9825278829193121,0.9825278829193121,0.9807221055149541,0.9807221055149542,0.9799477094410609,0.9796090935805546,0.9799477094410609,-0.01010045965490207,0.9771355552111525,-0.17338981876738271
