factor,auto_label,usage,ic_future,ic_past_5d,ic_risk,ic_stability,monotonicity,top_bottom_spread,ic_future_vol,ic_future_drawdown,ic_past_1d,ic_past_3d,ic_past_10d
ga_final_0000,trend,alpha_core,0.1232078528125704,0.02299577339697533,0.004734091600275391,0.9952830188679245,0.75,0.035735621625443,0.0488538221431545,-0.03938563894260372,0.002333949391837123,0.014383722473751357,0.036762968074033876
ga_final_0027,trend,alpha_core,0.12360802731883971,0.021620087527087026,0.25980110495142117,0.9716981132075472,1.0,0.04408663586121478,0.3224184250743855,0.19718378482845678,-0.08259637113083816,-0.03692504243377375,0.21779502726183353
ga_final_0012,trend,alpha_core,0.17883660501387658,0.056928824161914963,0.26668264463239544,0.9583333333333334,1.0,0.05678344120064242,0.35271719851168787,0.18064809075310298,-0.004624237443065036,0.0284028658531366,0.11872478537072038
ga_final_0025,trend,alpha_core,0.15301256519616907,0.17304401012123183,0.27486852615160207,0.95,1.0,0.05279408318051962,0.35222514075547595,0.19751191154772824,-0.023905348057003752,0.09694802871449407,0.25457578088681815
ga_final_0026,trend,alpha_core,0.15301256519616907,0.17304401012123183,0.27486852615160207,0.95,1.0,0.05279408318051962,0.35222514075547595,0.19751191154772824,-0.023905348057003752,0.09694802871449407,0.25457578088681815
ga_final_0023,trend,alpha_core,0.1512199079411235,0.2219355393382816,0.2791582361109624,0.9459459459459459,1.0,0.05272341290185362,0.35594376785132315,0.2023727043706017,0.07541453749937638,0.1809906782058338,0.27743393791753723
ga_final_0020,trend,alpha_core,0.15111908586663125,0.22126626750846506,0.2788722999481449,0.9459459459459459,1.0,0.05272341290185362,0.3555765809506195,0.20216801894567027,0.07511214245595914,0.18042278917920138,0.27675519445256147
ga_final_0022,trend,alpha_core,0.15111908586663125,0.22126626750846506,0.2788722999481449,0.9459459459459459,1.0,0.05272341290185362,0.3555765809506195,0.20216801894567027,0.07511214245595914,0.18042278917920138,0.27675519445256147
ga_final_0031,trend,alpha_core,0.08023105337640536,0.0200879976254843,0.17806516071409867,0.9389671361502347,1.0,0.02993347825845269,0.22258887888542808,0.13354144254276926,-0.025768106695456906,-0.004028100029998558,0.11914260799702366
ga_final_0029,trend,alpha_core,0.15008169947183064,0.11841885206551403,0.25784124272899733,0.9363636363636364,1.0,0.04991631688110841,0.3344169947052417,0.18126549075275294,-0.03973704732366261,0.04500351792565187,0.2082714874543091
ga_final_0030,trend,alpha_core,0.15008169947183064,0.11841885206551403,0.25784124272899733,0.9363636363636364,1.0,0.04991631688110841,0.3344169947052417,0.18126549075275294,-0.03973704732366261,0.04500351792565187,0.2082714874543091
ga_final_0043,trend,alpha_core,0.09659633798761041,0.05460304108339385,0.12761842379031307,0.8860103626943006,1.0,0.029079619315570265,0.1757429029364473,0.07949394464417883,-0.0030135311741472867,0.02241553035743196,0.13561395887742378
ga_final_0045,reversal,conditional_alpha,0.07646635105922445,-0.030003493252920364,0.1429417496369887,0.901840490797546,1.0,0.027140065879083367,0.18684553222062872,0.09903796705334866,-0.029677018984173638,-0.03451499739255572,-0.0034775727588274297
ga_final_0016,negative_trend,risk_filter,-0.13256457999934135,-0.07095069651977065,-0.0029283735108237216,0.9953051643192489,1.0,-0.03891322115334282,-0.04703829449964916,0.041181547478001714,-0.03534061408951696,-0.05750191648170707,-0.08523388130619053
ga_final_0014,negative_trend,risk_filter,-0.1335040227499716,-0.07234932203859633,-0.005957285814424888,0.995260663507109,1.0,-0.03935155528641611,-0.05119476388576033,0.039280192256910554,-0.03498072854244614,-0.05849505601207675,-0.09276885842644066
ga_final_0018,negative_trend,risk_filter,-0.13846974933151696,-0.06902527039937652,-0.01622476321111967,0.9950980392156863,0.75,-0.0414099871121026,-0.06371338944895116,0.03126386302671182,-0.031052396785347356,-0.05385714371191035,-0.09595421509519408
ga_final_0015,negative_trend,risk_filter,-0.13916267742658353,-0.06857366850738374,-0.017989769658736214,0.9950738916256158,0.75,-0.04179265955073401,-0.06588761243420395,0.02990807311673152,-0.03164188620034132,-0.053404894081115865,-0.09613802336609446
ga_final_0005,negative_trend,risk_filter,-0.12961687398079058,-0.07370315855760491,-0.0156915616342074,0.995049504950495,1.0,-0.040675690997041256,-0.05990063884745629,0.02851751557904149,-0.029414382285520773,-0.05502642686229037,-0.11463848468851912
