generation,n_evaluated,n_unique_expr,depth_mean,complexity_mean,fitness_std,fitness_max,fitness_mean,op_random_init,op_random_inject,op_random_restart,op_elite,op_crossover,op_mutate,op_crossover_mutate,op_reproduction
0,22,22,2.090909090909091,2.3636363636363638,0.3231914000649555,1.0586299381569162,0.6091859032237253,22,0,0,0,0,0,0,0
1,30,30,2.566666666666667,2.966666666666667,0.3307453436287802,1.0877540341074337,0.6175734642157212,18,2,0,0,7,1,2,0
2,38,38,2.6842105263157894,3.0,0.3055798016802795,1.1319134925504133,0.6852000061579855,10,4,0,0,16,5,3,0
3,37,37,2.7567567567567566,3.3783783783783785,0.25256752755989936,1.1451222694082142,0.80445201386112,8,8,0,0,13,4,4,0
4,33,33,3.0,3.6363636363636362,0.21595467859396347,1.2219084205527277,0.925259857503813,4,4,0,0,21,2,2,0
5,25,25,2.96,3.6,0.21061271962321984,1.2233088923884834,0.9378287338277275,5,3,0,0,15,1,1,0
6,30,30,2.7,3.2,0.24219209357860585,1.2245520592814012,0.8927281024941128,6,4,0,0,16,2,2,0
7,34,34,2.735294117647059,3.2941176470588234,0.24500039145277488,1.223087965805889,0.90744399998891,7,1,0,0,18,5,3,0
8,29,29,3.0689655172413794,4.137931034482759,0.29990875861165356,1.2284497091098803,0.8810563975403134,2,4,0,0,16,3,4,0
9,32,32,2.71875,3.46875,0.2705906046911784,1.2243716938786413,0.91828903467786,5,3,0,0,15,5,4,0
10,35,35,2.942857142857143,3.7714285714285714,0.20466205976462534,1.3578781683090189,0.9860615337423905,2,1,0,0,21,6,5,0
11,37,37,3.054054054054054,3.7837837837837838,0.28312098269676467,1.3552867385056881,0.9625053264781696,2,3,0,0,21,7,4,0
12,33,33,3.242424242424242,3.787878787878788,0.22090141578283548,1.3620377390917406,1.0676640774462967,3,2,0,0,19,5,4,0
13,31,31,3.064516129032258,3.4193548387096775,0.3072487567801265,1.363716046927118,1.03635736598239,4,4,0,0,15,5,3,0
14,22,22,2.9545454545454546,3.272727272727273,0.3677261612298953,1.362678384600483,0.9825332724708467,3,1,0,0,9,6,3,0
15,31,31,2.967741935483871,3.2580645161290325,0.3662767126541768,1.3660949917765353,0.8999745048005937,4,2,0,0,14,5,6,0
16,24,24,2.875,3.0833333333333335,0.31864607573945963,1.3673570177847354,0.9428491268436007,5,2,0,0,10,4,3,0
17,28,28,2.8214285714285716,3.0357142857142856,0.33537678971414275,1.3671133163661244,0.885760195875421,8,6,0,0,10,2,2,0
18,32,32,2.71875,2.8125,0.2676864611041106,1.3653816572171626,0.9652505012174898,7,10,0,0,9,2,4,0
19,30,30,2.9,2.966666666666667,0.2522795373105472,1.3613475863565212,1.0145741018315764,3,6,0,0,10,5,6,0
