factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate,expr_key,expression,complexity,depth,non_null_ratio,operation,parents,mutation_op,first_generation,generation,fitness,monotonicity_score,top_bottom_spread
ga_g016_0002,-0.1329607378030537,0.03188402720534966,-4.170136254956678,-0.16055225768327377,0.053655443341578755,-2.992282752397992,0.0,ts_min[60](ts_min[10](ts_min[60](open))),ts_min[60](ts_min[10](ts_min[60](open))),4,4,0.6206845785793154,crossover,ts_min[60](open)|ts_min[10](ts_min[60](open)),,13,16,1.3673570177847354,0.5,-0.05464081282684177
ga_g016_0000,-0.1329607378030537,0.03188402720534966,-4.170136254956678,-0.16055225768327377,0.053655443341578755,-2.992282752397992,0.0,ts_min[60](ts_min[60](ts_min[10](open))),ts_min[60](ts_min[60](ts_min[10](open))),4,4,0.6206845785793154,crossover,ts_min[60](abs(ts_min[60](high)))|ts_min[60](ts_min[10](open)),,12,16,1.3673570177847354,0.5,-0.05464081282684177
ga_g016_0001,-0.1329607378030537,0.03188402720534966,-4.170136254956678,-0.16055225768327377,0.053655443341578755,-2.992282752397992,0.0,ts_min[10](ts_min[60](ts_min[60](open))),ts_min[10](ts_min[60](ts_min[60](open))),4,4,0.6206845785793154,crossover,ts_min[10](ts_min[60](open))|ts_min[60](open),,12,16,1.3673570177847354,0.5,-0.05464081282684177
ga_g018_0025,-0.13693287475546012,0.03343448600396573,-4.095557943950992,-0.1679279558125919,0.0565969471938372,-2.9670850485532454,0.0,ts_min[60](abs(ts_min[60](low))),ts_min[60](abs(ts_min[60](low))),4,4,0.6461962280144098,crossover,ts_min[60](abs(ts_min[60](open)))|low,,18,18,1.3615231968104227,0.5,-0.054437827830977795
ga_g010_0007,-0.13390284712445905,0.03295098839578111,-4.063697438029001,-0.16320906742819513,0.055146522104010144,-2.9595532265910003,0.0,ts_min[60](abs(ts_min[60](open))),ts_min[60](abs(ts_min[60](open))),4,4,0.6461962280144098,crossover,ts_min[60](vwap)|abs(ts_min[60](open)),,10,10,1.3578781683090189,0.5,-0.054090565196639115
ga_g011_0028,-0.13078470895381591,0.032996970227545046,-3.9635368960220507,-0.15881508733884198,0.05498820763851695,-2.888166284358005,0.0,ts_min[60](abs(ts_min[60](high))),ts_min[60](abs(ts_min[60](high))),4,4,0.6461962280144098,mutate,ts_min[60](abs(ts_min[60](open))),ts_min,11,11,1.3223602602634137,0.5,-0.05323466876082819
ga_g013_0004,0.12894699820638839,0.0399138148671032,3.230635774498868,0.1570394451241269,0.0654015315095374,2.401158527934871,0.7252252252252253,"ts_min[3](sub(returns,ts_min[60](vwap)))","ts_min[3](sub(returns,ts_min[60](vwap)))",5,4,0.8135041991501321,crossover,"ts_min[3](sub(returns,low))|ts_min[60](vwap)",,12,13,1.2653274875654588,0.5,0.0528469297073767
ga_g008_0000,0.09590682239626308,0.04051224871719383,2.3673537123492037,0.12612651892587531,0.05956445819450875,2.1174794961452856,0.954954954954955,"delay[5](delay[3](sub(returns,vwap)))","delay[5](delay[3](sub(returns,vwap)))",5,4,0.9728332273786819,crossover,"delay[5](delay[3](vwap))|sub(returns,vwap)",,4,8,1.2284497091098803,1.0,0.03717765451284552
ga_g014_0017,0.11424012987187163,0.045045603738506065,2.536099427927445,0.14146863230324477,0.061402522832930274,2.303954720039205,0.8108108108108109,"delay[5](delay[30](sub(returns,vwap)))","delay[5](delay[30](sub(returns,vwap)))",5,4,0.8985980526650384,mutate,"delay[5](delay[3](sub(returns,vwap)))",delay,14,14,1.2263747813945531,0.5,0.04652514395724139
ga_g011_0014,0.10527260635869876,0.04289995812286123,2.4539093035291186,0.13156331969086857,0.05937093021587701,2.215955168842644,0.8648648648648649,"delay[20](delay[3](sub(returns,vwap)))","delay[20](delay[3](sub(returns,vwap)))",5,4,0.9316068301714235,mutate,"delay[5](delay[3](sub(returns,vwap)))",delay,11,11,1.1980402477074064,0.5,0.042017739436514615
ga_g008_0001,-0.1288525867846957,0.04081844391822711,-3.1567246179896076,-0.15776500075213795,0.06532975934889618,-2.414902524125149,0.0,ts_min[60](open),ts_min[60](open),2,2,0.8194778108653705,crossover+mutate,"abs(scale(ts_std[20](returns)))|ts_std[20](correlation[3](sub(returns,vwap),open))",ts_min,6,8,1.1931659422237813,1.0,-0.05266527213593078
ga_g009_0013,-0.1288525867846957,0.04081844391822711,-3.1567246179896076,-0.15776500075213795,0.06532975934889618,-2.414902524125149,0.0,abs(ts_min[60](open)),abs(ts_min[60](open)),3,3,0.8194778108653705,crossover,"abs(ts_std[20](safe_div(open,low)))|ts_min[60](open)",,9,9,1.1877849534066358,1.0,-0.05266527213593078
ga_g018_0011,-0.1288525867846957,0.04081844391822711,-3.1567246179896076,-0.15776500075213795,0.06532975934889618,-2.414902524125149,0.0,ts_min[60](abs(open)),ts_min[60](abs(open)),3,3,0.8194778108653705,mutate,ts_min[60](abs(ts_min[60](high))),ts_min,18,18,1.1819632194116405,1.0,-0.05266527213593078
ga_g010_0003,-0.1282546553993984,0.04095013193116614,-3.1319717263666966,-0.1570572079420631,0.06549445026373912,-2.3980231501999114,0.0,ts_min[60](vwap),ts_min[60](vwap),2,2,0.8194778108653705,mutate,ts_min[60](open),ts_min,9,10,1.1817162623034432,1.0,-0.05271607522770076
ga_g009_0026,-0.1288525867846957,0.0408184439182271,-3.156724617989608,-0.15776500075213795,0.06532975934889618,-2.414902524125149,0.0,"sub(ts_min[60](open),sign(ts_min[5](2)))","sub(ts_min[60](open),sign(ts_min[5](2)))",6,4,0.8194778108653705,crossover,"sub(volume,sign(ts_min[5](2)))|ts_min[60](open)",,9,9,1.1811378907290733,1.0,-0.05266527213593078
ga_g013_0025,-0.13062552751712073,0.04012621183692448,-3.2553665431461933,-0.1593357141979532,0.06595307633125679,-2.4158951039322494,0.0,abs(ts_min[3](ts_min[60](open))),abs(ts_min[3](ts_min[60](open))),4,4,0.8135041991501321,crossover+mutate,abs(ts_min[3](ts_std[10](returns)))|ts_min[10](ts_min[3](ts_std[20](returns))),abs,13,13,1.1804581747393008,1.0,-0.05348911993286544
ga_g018_0029,-0.1541957839851432,0.04689374847352135,-3.2881948874743965,-0.1775375260064536,0.07329945440243633,-2.4220852317906556,0.0,ts_min[60](ts_min[10](ts_min[60](returns))),ts_min[60](ts_min[10](ts_min[60](returns))),4,4,0.6178583776669901,crossover+mutate,low|ts_min[60](ts_min[10](ts_min[60](open))),ts_min,18,18,1.1798271786334715,0.5,-0.05196767090189024
ga_g019_0037,-0.12692405411673996,0.04197870243360382,-3.023534477214752,-0.15620922303057508,0.06491870622320928,-2.4062282217005775,0.0,ts_min[10](ts_min[20](ts_min[30](open))),ts_min[10](ts_min[20](ts_min[30](open))),4,4,0.8254514225806093,crossover+mutate,high|ts_min[10](ts_min[60](ts_min[30](open))),ts_min,19,19,1.1714362187557068,1.0,-0.051707803387524925
ga_g019_0036,-0.12825465539939837,0.04095013193116614,-3.131971726366696,-0.1570572079420631,0.06549445026373912,-2.3980231501999114,0.0,scale(ts_min[60](vwap)),scale(ts_min[60](vwap)),3,3,0.8194778108653705,mutate,scale(ts_min[3](vwap)),scale,19,19,1.1710166093006482,1.0,-0.05271607522770076
ga_g008_0002,0.0897566023388759,0.043227177060930544,2.07639287229791,0.12255795839228117,0.06465478612966559,1.8955744149627283,0.990990990990991,"sub(returns,low)","sub(returns,low)",3,2,0.9947937230233881,mutate,"sub(returns,open)",sub,3,8,1.1473679307396447,1.0,0.035144159920046616
ga_g009_0005,-0.14524540009956777,0.04541493951668365,-3.1981854791683775,-0.1760903602125722,0.07794489701171756,-2.2591647043436383,0.0,"safe_div(low,volume)","safe_div(low,volume)",3,2,0.9979032132142179,crossover,"safe_div(low,safe_div(open,low))|volume",,9,9,1.1462633199721999,1.0,-0.05828335763147667
ga_g009_0024,-0.1337583004208383,0.040650232994728384,-3.290468235155857,-0.16319323412247894,0.06790460010347418,-2.4032721475982823,0.0,ts_min[10](ts_min[60](open)),ts_min[10](ts_min[60](open)),3,3,0.7926367093831209,crossover,ts_min[10](volume)|ts_min[60](open),,9,9,1.1379346129378243,0.5,-0.054528403963191294
ga_g011_0029,-0.13769446047920253,0.043243838361361024,-3.1841405780998957,-0.17048970250908208,0.07116204780603799,-2.395795339866769,0.0,ts_min[30](ts_min[10](ts_min[60](open))),ts_min[30](ts_min[10](ts_min[60](open))),4,4,0.7070498879111319,crossover,ts_min[30](ts_min[10](volume))|ts_min[60](open),,11,11,1.1368864491111417,0.5,-0.05627091512985888
ga_g016_0027,-0.13769446047920253,0.043243838361361024,-3.1841405780998957,-0.17048970250908208,0.07116204780603799,-2.395795339866769,0.0,ts_min[10](ts_min[60](ts_min[30](open))),ts_min[10](ts_min[60](ts_min[30](open))),4,4,0.7070498879111319,crossover,ts_min[10](ts_min[60](ts_min[60](open)))|ts_min[30](open),,15,16,1.1366139617005742,0.5,-0.05627091512985888
ga_g004_0001,0.19054511356285989,0.090207338089446,2.1123016996014554,0.21079385132562964,0.12801180361886377,1.6466751140639904,0.8828828828828829,ts_std[20](returns),ts_std[20](returns),2,2,0.9367417271723492,crossover,"ts_std[20](correlation[3](demean(open),open))|returns",,2,4,1.1351122824158533,1.0,0.06621463819348469
ga_g015_0007,-0.1337583004208383,0.040650232994728384,-3.290468235155857,-0.16319323412247894,0.06790460010347418,-2.4032721475982823,0.0,ts_min[60](ts_min[10](open)),ts_min[60](ts_min[10](open)),3,3,0.7926367093831209,crossover,ts_min[60](vwap)|ts_min[10](open),,11,15,1.1333438035029813,0.5,-0.054528403963191294
ga_g008_0004,0.08739414369423795,0.04292674426181134,2.0358903335696454,0.11996101831546196,0.06387394060240036,1.8780901441824287,0.9774774774774775,"ts_min[3](sub(returns,low))","ts_min[3](sub(returns,low))",4,3,0.9886104326295715,crossover,"ts_min[3](abs(scale(open)))|sub(returns,low)",,4,8,1.1331422084630938,1.0,0.03389229151842747
ga_g010_0008,0.17011654315694122,0.08096101446882202,2.1012155575502685,0.19643481861087364,0.11728469002652775,1.6748547365086057,0.9234234234234234,ts_min[3](ts_std[10](returns)),ts_min[3](ts_std[10](returns)),3,3,0.961048839517739,mutate,"ts_min[3](sub(returns,low))",ts_min,10,10,1.1326953056801643,1.0,0.0617082589557076
ga_g004_0009,0.19054511356285989,0.090207338089446,2.1123016996014554,0.21079385132562964,0.12801180361886377,1.6466751140639904,0.8828828828828829,abs(scale(ts_std[20](returns))),abs(scale(ts_std[20](returns))),4,4,0.9367417271723492,crossover,abs(scale(high))|ts_std[20](returns),,4,4,1.1311122824158533,1.0,0.06621463819348469
ga_g016_0014,-0.13200933127917658,0.04062644507246444,-3.2493448797627904,-0.16187243658526793,0.06742879284860252,-2.400642659415825,0.0,abs(ts_min[3](ts_min[60](low))),abs(ts_min[3](ts_min[60](low))),4,4,0.8135041991501321,mutate,abs(ts_min[3](ts_min[60](open))),abs,15,16,1.1296278150981287,0.5,-0.05348104772742773
ga_g016_0006,-0.13168895634401878,0.04112801690321767,-3.20192818082887,-0.1617820411697469,0.0672718415969977,-2.4048998411389877,0.0,"ts_min[60](abs(sub(returns,low)))","ts_min[60](abs(sub(returns,low)))",5,4,0.8164910050077513,crossover,"ts_min[60](amount)|abs(sub(returns,low))",,15,16,1.1292404804662683,0.5,-0.05319205101611221
ga_g007_0038,0.19178443825226374,0.09130513057510047,2.10047822115009,0.21079802911551188,0.1280102018013012,1.64672835562524,0.8738738738738738,rank(ts_std[20](returns)),rank(ts_std[20](returns)),3,3,0.9367417271723492,crossover,rank(abs(ts_min[20](open)))|ts_std[20](returns),,7,7,1.1262551359694433,1.0,0.06621463819348469
ga_g002_0007,0.11740440451701681,0.04901134934001789,2.3954534224822046,0.1489775080290814,0.0758338001179751,1.9645264749665217,0.8693693693693694,"sub(zscore_cs(covariance[30](amount,close)),open)","sub(zscore_cs(covariance[30](amount,close)),open)",6,4,0.9095303420662272,crossover,"sub(returns,open)|zscore_cs(covariance[30](amount,close))",,2,2,1.1248962357140113,0.5,0.0461344459012413
ga_g017_0035,-0.12921457182726273,0.040576480713620376,-3.184469662098839,-0.15786711554276364,0.06584457334785504,-2.3975721538775274,0.0,"ts_min[60](abs(sub(returns,vwap)))","ts_min[60](abs(sub(returns,vwap)))",5,4,0.8164910050077513,crossover,"ts_min[60](abs(sub(returns,low)))|vwap",,17,17,1.1220806192422856,0.5,-0.05277915454846499
ga_g014_0020,-0.1333745543590902,0.04126801289727484,-3.2319112308869538,-0.16349772753671815,0.06972696630387785,-2.344827779028517,0.0,ts_min[10](ts_min[10](ts_min[60](open))),ts_min[10](ts_min[10](ts_min[60](open))),4,4,0.7659405984764837,crossover,ts_min[10](ts_min[60](open))|ts_min[10](ts_min[60](open)),,10,14,1.1045748544405547,0.5,-0.054032329423480144
ga_g008_0030,-0.12409318268292316,0.040588262625883706,-3.057366210195634,-0.15262997286272728,0.06539155577578318,-2.334093004088635,0.0,"add(ts_min[60](open),ts_min[30](low))","add(ts_min[60](open),ts_min[30](low))",5,3,0.8194778108653705,crossover,"add(low,ts_min[30](low))|ts_min[60](open)",,7,8,1.0997645522538664,0.5,-0.050307955381090064
ga_g001_0045,0.0877266960949905,0.043190369274767944,2.031163372021478,0.12034824216791487,0.06439765627825624,1.8688295370238537,0.9819819819819819,"sub(returns,open)","sub(returns,open)",3,2,0.9947937230233881,random_inject,,,1,1,1.0877540341074337,0.5,0.034305668562437525
