generation,n_valid,best_fitness,mean_fitness,best_factor
0,22,1.0586299381569162,0.6091859032237253,ga_g000_0037
1,30,1.0877540341074337,0.6175734642157212,ga_g001_0045
2,38,1.1319134925504133,0.6852000061579855,ga_g002_0008
3,37,1.1451222694082142,0.80445201386112,ga_g003_0010
4,33,1.2219084205527277,0.925259857503813,ga_g004_0033
5,25,1.2233088923884834,0.9378287338277275,ga_g005_0000
6,30,1.2245520592814012,0.8927281024941128,ga_g006_0000
7,34,1.223087965805889,0.90744399998891,ga_g007_0000
8,29,1.2284497091098803,0.8810563975403134,ga_g008_0000
9,32,1.2243716938786413,0.91828903467786,ga_g009_0000
10,35,1.3578781683090189,0.9860615337423905,ga_g010_0007
11,37,1.3552867385056881,0.9625053264781696,ga_g011_0000
12,33,1.3620377390917406,1.0676640774462967,ga_g012_0041
13,31,1.363716046927118,1.03635736598239,ga_g013_0000
14,22,1.362678384600483,0.9825332724708467,ga_g014_0000
15,31,1.3660949917765353,0.8999745048005937,ga_g015_0000
16,24,1.3673570177847354,0.9428491268436007,ga_g016_0000
17,28,1.3671133163661244,0.885760195875421,ga_g017_0000
18,32,1.3653816572171626,0.9652505012174898,ga_g018_0000
19,30,1.3613475863565212,1.0145741018315764,ga_g019_0000
