generation,factor,expr_key,operation,parents,mutation_op,first_generation,fitness,rank_ic_mean,rank_ic_ir,depth,complexity,survived
0,ga_g000_0037,ts_min[20](open),random_init,,,0,1.0586299381569162,-0.13916267742658353,-2.2315796269448636,2,2,False
0,ga_g000_0017,volume,random_init,,,0,1.0398086651040643,0.15111908586663125,1.5141118841736263,1,1,False
0,ga_g000_0004,ts_std[10](rank(returns)),random_init,,,0,1.0110166994516199,0.12360802731883971,1.5455480002060895,3,3,False
0,ga_g000_0048,ts_min[3](vwap),random_init,,,0,0.9112088130914464,-0.12305313049882356,-1.9029814911745626,2,2,False
0,ga_g000_0013,low,random_init,,,0,0.9020404776580518,-0.1216946911884688,-1.8781254734849613,1,1,False
0,ga_g000_0028,open,random_init,,,0,0.8916523255234693,-0.11944953630409957,-1.8536579023719182,1,1,False
0,ga_g000_0026,vwap,random_init,,,0,0.8738808455794465,-0.11784377028777354,-1.8128440134174262,1,1,False
0,ga_g000_0005,close,random_init,,,0,0.8716964636306226,-0.1176817686714828,-1.805546477401925,1,1,False
0,ga_g000_0046,high,random_init,,,0,0.8534089907197779,-0.11477891947661212,-1.7627850898831834,1,1,False
0,ga_g000_0029,"covariance[60](log_abs(scale(amount)),rank(low))",random_init,,,0,0.7449460222603052,0.07646635105922445,1.1069589801254889,4,6,False
0,ga_g000_0011,"rank(covariance[30](high,scale(volume)))",random_init,,,0,0.6687164955706967,0.09043892063443353,0.9854325215242676,4,5,False
0,ga_g000_0034,"covariance[30](amount,close)",random_init,,,0,0.6201662098418336,0.08011062481964144,0.7837273806487021,2,3,False
0,ga_g000_0024,amount,random_init,,,0,0.5413657513960769,0.0709708021485389,0.643295252632197,1,1,False
0,ga_g000_0015,rank(amount),random_init,,,0,0.5228683737872384,0.07107720517319949,0.6445845622058535,2,2,False
0,ga_g000_0012,log_abs(delta[10](low)),random_init,,,0,0.3952058076793191,0.04259314962908957,0.5482741023168749,3,3,False
0,ga_g000_0003,ts_rank[3](log_abs(low)),random_init,,,0,0.2783031214970224,0.020491798197250794,0.21921251198153158,3,3,False
0,ga_g000_0006,returns,random_init,,,0,0.247824115416251,0.0244814264444767,0.17916600083602452,1,1,False
0,ga_g000_0030,zscore_cs(returns),random_init,,,0,0.245824115416251,0.0244814264444767,0.17916600083602452,2,2,False
0,ga_g000_0043,rank(returns),random_init,,,0,0.22523848670141225,0.024491226020420996,0.17909357462905592,2,2,False
0,ga_g000_0023,"delta[10](covariance[3](vwap,open))",random_init,,,0,0.18106539691093612,0.009500767558410976,0.13152896292761454,3,4,False
0,ga_g000_0016,"ts_std[20](correlation[3](demean(low),open))",random_init,,,0,0.17353100154448595,-0.015856334573511325,-0.24460470904218098,4,5,False
