factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate,expr_key,expression,complexity,depth,non_null_ratio,operation,parents,mutation_op,first_generation,generation,fitness,monotonicity_score,top_bottom_spread
ga_g000_0037,-0.10914813734825048,0.041122117558104535,-2.6542440863855528,-0.13916267742658353,0.062360614761976345,-2.2315796269448636,0.0,ts_min[20](open),ts_min[20](open),2,2,0.9397753761390123,random_init,,,0,0,1.0588244442772117,0.5,-0.04179265955073401
ga_g000_0055,-0.10143441822152544,0.04165610959496861,-2.435043003482425,-0.13256457999934135,0.06253410142110868,-2.1198766271005143,0.0,ts_min[10](open),ts_min[10](open),2,2,0.9702033213994936,random_init,,,0,0,1.0572021973891321,1.0,-0.03891322115334282
ga_g000_0017,0.14805559767205762,0.07316174506995408,2.023675043979518,0.15111908586663125,0.09980707994317685,1.5141118841736263,0.990990990990991,volume,volume,1,1,0.9979032132142179,random_init,,,0,0,1.0377612817409014,1.0,0.05272341290185362
ga_g000_0075,0.15243622104299717,0.07872329069116181,1.9363547903633433,0.15301256519616907,0.1027992397959074,1.4884600849184562,0.9819819819819819,ts_mean[3](log_abs(volume)),ts_mean[3](log_abs(volume)),3,3,0.9916998472022396,random_init,,,0,0,1.0237114068225466,1.0,0.05279408318051962
ga_g000_0004,0.13093498942290674,0.06799130282260857,1.9257608545098808,0.12360802731883971,0.07997682847919141,1.5455480002060895,0.9234234234234234,ts_std[10](rank(returns)),ts_std[10](rank(returns)),3,3,0.9671495968146686,random_init,,,0,0,1.009645294235402,1.0,0.04408663586121478
ga_g000_0048,-0.09064448065231119,0.04310696505974409,-2.1027803865728543,-0.12305313049882356,0.06466333543941745,-1.9029814911745626,0.0045045045045045045,ts_min[3](vwap),ts_min[3](vwap),2,2,0.9916998472022396,random_init,,,0,0,0.9115123068320461,0.5,-0.035411421573072185
ga_g000_0013,-0.08879432278607886,0.043136789714139256,-2.0584360443719834,-0.1216946911884688,0.06479582589477255,-1.8781254734849613,0.0045045045045045045,low,low,1,1,0.9979032132142179,random_init,,,0,0,0.9032153590624384,0.5,-0.03484343667061848
ga_g000_0070,-0.08879432278607886,0.043136789714139256,-2.0584360443719834,-0.1216946911884688,0.06479582589477255,-1.8781254734849613,0.0045045045045045045,scale(low),scale(low),2,2,0.9979032132142179,random_init,,,0,0,0.9012153590624384,0.5,-0.03484343667061848
ga_g000_0028,-0.08675599444631588,0.043055959494635324,-2.0149590315627615,-0.11944953630409957,0.0644399034747746,-1.8536579023719182,0.013513513513513514,open,open,1,1,0.9979032132142179,random_init,,,0,0,0.8919004752320924,0.5,-0.03412999309410818
ga_g000_0026,-0.08480327191759525,0.04327340854874769,-1.9597086238784258,-0.11784377028777354,0.06500491460686904,-1.8128440134174262,0.013513513513513514,vwap,vwap,1,1,0.9979032132142179,random_init,,,0,0,0.875002887694809,0.5,-0.03344351589410963
ga_g000_0005,-0.0844521279470593,0.04337277110623364,-1.947123178738322,-0.1176817686714828,0.0651779226646217,-1.805546477401925,0.018018018018018018,close,close,1,1,0.9979032132142179,random_init,,,0,0,0.8718729854357823,0.5,-0.03333910643683144
ga_g000_0058,-0.08480327191759525,0.04327340854874769,-1.9597086238784258,-0.11784377028777354,0.06500491460686904,-1.8128440134174262,0.013513513513513514,"min(vwap,amount)","min(vwap,amount)",3,2,0.9979032132142179,random_init,,,0,0,0.871002887694809,0.5,-0.03344351589410963
ga_g000_0061,0.07187963015752583,0.0490958661206123,1.46406685200219,0.09659633798761041,0.0743793784916759,1.2986978373101208,0.8108108108108109,"zscore_cs(correlation[30](low,max(open,-0.5)))","zscore_cs(correlation[30](low,max(open,-0.5)))",6,4,0.9095303420662272,random_init,,,0,0,0.8596800809618835,1.0,0.029079619315570265
ga_g000_0046,-0.08158328803054316,0.04341945849066348,-1.8789568287242935,-0.11477891947661212,0.06511225908100818,-1.7627850898831834,0.02702702702702703,high,high,1,1,0.9979032132142179,random_init,,,0,0,0.8535685091043747,0.5,-0.032277947602253984
ga_g000_0029,0.08877092048527307,0.0552506974568571,1.6066932106077119,0.07646635105922445,0.0690778542223452,1.1069589801254889,0.7297297297297297,"covariance[60](log_abs(scale(amount)),rank(low))","covariance[60](log_abs(scale(amount)),rank(low))",6,4,0.8194778108653705,random_init,,,0,0,0.7450154940808014,1.0,0.027140065879083367
ga_g000_0062,0.12291015765177904,0.0827158979617741,1.4859314917741702,0.1072374075072108,0.10366776269864234,1.0344335086978318,0.7027027027027027,"ts_rank[60](mul(add(high,returns),close))","ts_rank[60](mul(add(high,returns),close))",6,4,0.8164910050077513,random_init,,,0,0,0.7405472576868672,1.0,0.041880573046118905
ga_g000_0011,0.09514651031214444,0.06998287786639398,1.3595684146312326,0.09043892063443353,0.09177586355130897,0.9854325215242676,0.7837837837837838,"rank(covariance[30](high,scale(volume)))","rank(covariance[30](high,scale(volume)))",5,4,0.9095303420662272,random_init,,,0,0,0.6679402467627756,0.5,0.030829201377810034
ga_g000_0034,0.07785152441952929,0.08069482838748097,0.9647647312130254,0.08011062481964144,0.10221746336504509,0.7837273806487021,0.7477477477477478,"covariance[30](amount,close)","covariance[30](amount,close)",3,2,0.9095303420662272,random_init,,,0,0,0.6196251099558103,1.0,0.02876939423025801
ga_g000_0024,0.09876324045927785,0.07848760593448731,1.2583291244953296,0.0709708021485389,0.11032383941610764,0.643295252632197,0.9144144144144144,amount,amount,1,1,0.9979032132142179,random_init,,,0,0,0.5404786557186009,0.5,0.029066415481541735
ga_g000_0050,0.09876324045927785,0.07848760593448732,1.2583291244953294,0.0709708021485389,0.11032383941610764,0.643295252632197,0.9144144144144144,zscore_cs(amount),zscore_cs(amount),2,2,0.9979032132142179,random_init,,,0,0,0.5384786557186009,0.5,0.029066415481541735
ga_g000_0063,0.09876324045927785,0.07848760593448731,1.2583291244953296,0.0709708021485389,0.11032383941610764,0.643295252632197,0.9144144144144144,scale(amount),scale(amount),2,2,0.9979032132142179,random_init,,,0,0,0.5375299626993796,0.5,0.029066415481541735
ga_g000_0015,0.08459862300560081,0.0827460515607632,1.0223886386104744,0.07107720517319949,0.11026823994971878,0.6445845622058535,0.8288288288288288,rank(amount),rank(amount),2,2,0.9979032132142179,random_init,,,0,0,0.5214914595238355,0.5,0.029066415481541735
ga_g000_0059,0.07455356124386858,0.08128989253558137,0.9171319941311986,0.05652366679177159,0.1170697628810374,0.4828203747983086,0.8108108108108109,ts_rank[10](zscore_cs(demean(open))),ts_rank[10](zscore_cs(demean(open))),4,4,0.9702033213994936,random_init,,,0,0,0.4975225609485289,1.0,0.02377563417531524
ga_g000_0012,0.04557748135144743,0.062222240416697494,0.7324950218156496,0.04259314962908957,0.07768586816174816,0.5482741023168749,0.7612612612612613,log_abs(delta[10](low)),log_abs(delta[10](low)),3,3,0.9685102776011867,random_init,,,0,0,0.39467213011928226,0.0,0.016872305894704162
ga_g000_0060,0.04146416776981038,0.06405781571609731,0.6472928760727429,0.041204542587055304,0.08392719335267662,0.49095580277427686,0.5495495495495496,"max(ts_std[20](open),mul(ts_min[60](-1),low))","max(ts_std[20](open),mul(ts_min[60](-1),low))",7,4,0.8358372090429503,random_init,,,0,0,0.3638698629507463,0.5,0.01375971546215396
