factor,date,quantile,ret
ga_final_0000,2025-05-14,Q1,0.11665129430479909
ga_final_0000,2025-05-14,Q2,0.10361943255625757
ga_final_0000,2025-05-14,Q3,0.10097291748916729
ga_final_0000,2025-05-14,Q4,0.06424874006112799
ga_final_0000,2025-05-14,Q5,0.06348001771897557
ga_final_0000,2025-05-15,Q1,0.13376838864455723
ga_final_0000,2025-05-15,Q2,0.11722521206556907
ga_final_0000,2025-05-15,Q3,0.10951296214280928
ga_final_0000,2025-05-15,Q4,0.07816460359765912
ga_final_0000,2025-05-15,Q5,0.07580279953431367
ga_final_0000,2025-05-16,Q1,0.12835416899277508
ga_final_0000,2025-05-16,Q2,0.11008100611970865
ga_final_0000,2025-05-16,Q3,0.1009419755377203
ga_final_0000,2025-05-16,Q4,0.07577855685914434
ga_final_0000,2025-05-16,Q5,0.07348206113748802
ga_final_0000,2025-05-19,Q1,0.12549839858234801
ga_final_0000,2025-05-19,Q2,0.10308632543830608
ga_final_0000,2025-05-19,Q3,0.09103905881573339
ga_final_0000,2025-05-19,Q4,0.06980828587294548
ga_final_0000,2025-05-19,Q5,0.0677989090479006
ga_final_0000,2025-05-20,Q1,0.11870093731786725
ga_final_0000,2025-05-20,Q2,0.09330762821206424
ga_final_0000,2025-05-20,Q3,0.0814371551994004
ga_final_0000,2025-05-20,Q4,0.06089384449706668
ga_final_0000,2025-05-20,Q5,0.061373249762243995
ga_final_0000,2025-05-21,Q1,0.1283645421000975
ga_final_0000,2025-05-21,Q2,0.10052322921794855
ga_final_0000,2025-05-21,Q3,0.08562130843068583
ga_final_0000,2025-05-21,Q4,0.06739503310753096
ga_final_0000,2025-05-21,Q5,0.06610249279766817
ga_final_0000,2025-05-22,Q1,0.14716466054484856
ga_final_0000,2025-05-22,Q2,0.11296382329267134
ga_final_0000,2025-05-22,Q3,0.09523322627622093
ga_final_0000,2025-05-22,Q4,0.07865910460444239
ga_final_0000,2025-05-22,Q5,0.07623893472226415
ga_final_0000,2025-05-23,Q1,0.15593389941264774
ga_final_0000,2025-05-23,Q2,0.12274654718558042
ga_final_0000,2025-05-23,Q3,0.10608775900789841
ga_final_0000,2025-05-23,Q4,0.09383462504992707
ga_final_0000,2025-05-23,Q5,0.0852648704954307
ga_final_0000,2025-05-26,Q1,0.1453207218714065
ga_final_0000,2025-05-26,Q2,0.11070658564961869
ga_final_0000,2025-05-26,Q3,0.09577238645598427
ga_final_0000,2025-05-26,Q4,0.08568387050692552
ga_final_0000,2025-05-26,Q5,0.07617675518450953
ga_final_0000,2025-05-27,Q1,0.1405810405235138
ga_final_0000,2025-05-27,Q2,0.10864243018542155
ga_final_0000,2025-05-27,Q3,0.08881625270162025
ga_final_0000,2025-05-27,Q4,0.08777965867016539
ga_final_0000,2025-05-27,Q5,0.07628968046118581
ga_final_0000,2025-05-28,Q1,0.14343129264634127
ga_final_0000,2025-05-28,Q2,0.11717868869377801
ga_final_0000,2025-05-28,Q3,0.09363179917654586
ga_final_0000,2025-05-28,Q4,0.09266131858519516
ga_final_0000,2025-05-28,Q5,0.08079931913339276
ga_final_0000,2025-05-29,Q1,0.12464361729244824
ga_final_0000,2025-05-29,Q2,0.0979597417098618
ga_final_0000,2025-05-29,Q3,0.07474587998617678
ga_final_0000,2025-05-29,Q4,0.07252900161470395
ga_final_0000,2025-05-29,Q5,0.06299483357448186
ga_final_0000,2025-05-30,Q1,0.14436599089907137
ga_final_0000,2025-05-30,Q2,0.11292900416476914
ga_final_0000,2025-05-30,Q3,0.08717482387570953
ga_final_0000,2025-05-30,Q4,0.08513010710746449
ga_final_0000,2025-05-30,Q5,0.07107305329251434
ga_final_0000,2025-06-03,Q1,0.13048064704582238
ga_final_0000,2025-06-03,Q2,0.10174261819843136
ga_final_0000,2025-06-03,Q3,0.08359610816201882
ga_final_0000,2025-06-03,Q4,0.07944105289806469
ga_final_0000,2025-06-03,Q5,0.062224406588632764
ga_final_0000,2025-06-04,Q1,0.11719859227048207
ga_final_0000,2025-06-04,Q2,0.09343543612736432
ga_final_0000,2025-06-04,Q3,0.07664680371232922
ga_final_0000,2025-06-04,Q4,0.07234389533844733
ga_final_0000,2025-06-04,Q5,0.05388965316361279
ga_final_0000,2025-06-05,Q1,0.11214359691038261
ga_final_0000,2025-06-05,Q2,0.09134278399195604
ga_final_0000,2025-06-05,Q3,0.0751509229952304
ga_final_0000,2025-06-05,Q4,0.07372455550729878
ga_final_0000,2025-06-05,Q5,0.05678753702247331
ga_final_0000,2025-06-06,Q1,0.11188363564306558
ga_final_0000,2025-06-06,Q2,0.09551121000996443
ga_final_0000,2025-06-06,Q3,0.08148146187024907
ga_final_0000,2025-06-06,Q4,0.08141893034122996
ga_final_0000,2025-06-06,Q5,0.06236031529986817
ga_final_0000,2025-06-09,Q1,0.10206135139932747
ga_final_0000,2025-06-09,Q2,0.08463767750416933
ga_final_0000,2025-06-09,Q3,0.06777512397022906
ga_final_0000,2025-06-09,Q4,0.07140616103936084
ga_final_0000,2025-06-09,Q5,0.050908025257829954
ga_final_0000,2025-06-10,Q1,0.11447416801202707
ga_final_0000,2025-06-10,Q2,0.09453608814644407
ga_final_0000,2025-06-10,Q3,0.07871678429086573
ga_final_0000,2025-06-10,Q4,0.08263908874781933
ga_final_0000,2025-06-10,Q5,0.06231492777834512
ga_final_0000,2025-06-11,Q1,0.11457999107486706
ga_final_0000,2025-06-11,Q2,0.09461151167208252
ga_final_0000,2025-06-11,Q3,0.07588751684405161
ga_final_0000,2025-06-11,Q4,0.07881347154896612
ga_final_0000,2025-06-11,Q5,0.0579956988161056
ga_final_0000,2025-06-12,Q1,0.11252106012396611
ga_final_0000,2025-06-12,Q2,0.09507299762737643
ga_final_0000,2025-06-12,Q3,0.07632215151002955
ga_final_0000,2025-06-12,Q4,0.08047157864722282
ga_final_0000,2025-06-12,Q5,0.05661270995098644
ga_final_0000,2025-06-13,Q1,0.13769360697841765
ga_final_0000,2025-06-13,Q2,0.11891372990565435
ga_final_0000,2025-06-13,Q3,0.092428202253843
ga_final_0000,2025-06-13,Q4,0.10138796584076208
ga_final_0000,2025-06-13,Q5,0.0763201120462025
ga_final_0000,2025-06-16,Q1,0.13147695064106346
ga_final_0000,2025-06-16,Q2,0.11086147287902061
ga_final_0000,2025-06-16,Q3,0.08189160341868186
ga_final_0000,2025-06-16,Q4,0.0901599831291488
ga_final_0000,2025-06-16,Q5,0.0715797617379203
ga_final_0000,2025-06-17,Q1,0.13826323768504573
ga_final_0000,2025-06-17,Q2,0.10917896799647334
ga_final_0000,2025-06-17,Q3,0.08392573077914937
ga_final_0000,2025-06-17,Q4,0.09106782805330371
ga_final_0000,2025-06-17,Q5,0.0702789986286257
ga_final_0000,2025-06-18,Q1,0.14800219685763297
ga_final_0000,2025-06-18,Q2,0.11305678710820598
ga_final_0000,2025-06-18,Q3,0.09395971559380294
ga_final_0000,2025-06-18,Q4,0.10187393721677453
ga_final_0000,2025-06-18,Q5,0.07901684689350745
ga_final_0000,2025-06-19,Q1,0.17343814978031072
ga_final_0000,2025-06-19,Q2,0.13795823283101874
ga_final_0000,2025-06-19,Q3,0.12182129986912768
ga_final_0000,2025-06-19,Q4,0.12695167061038917
ga_final_0000,2025-06-19,Q5,0.09981225902354823
ga_final_0000,2025-06-20,Q1,0.18366902200528085
ga_final_0000,2025-06-20,Q2,0.1481823098358394
ga_final_0000,2025-06-20,Q3,0.13613236733557782
ga_final_0000,2025-06-20,Q4,0.1400668346574667
ga_final_0000,2025-06-20,Q5,0.10895407848514842
ga_final_0000,2025-06-23,Q1,0.1586677598092327
ga_final_0000,2025-06-23,Q2,0.12935401601803218
ga_final_0000,2025-06-23,Q3,0.12018401673721285
ga_final_0000,2025-06-23,Q4,0.12667516641987686
ga_final_0000,2025-06-23,Q5,0.10154624220260772
ga_final_0000,2025-06-24,Q1,0.14170453017011816
ga_final_0000,2025-06-24,Q2,0.11193081491061635
ga_final_0000,2025-06-24,Q3,0.10261506507364199
ga_final_0000,2025-06-24,Q4,0.10699269421156189
ga_final_0000,2025-06-24,Q5,0.08550209858564257
ga_final_0000,2025-06-25,Q1,0.13389045793682774
ga_final_0000,2025-06-25,Q2,0.10457307598281383
ga_final_0000,2025-06-25,Q3,0.09803726605089998
ga_final_0000,2025-06-25,Q4,0.0932791887314092
ga_final_0000,2025-06-25,Q5,0.07287187876830933
ga_final_0000,2025-06-26,Q1,0.1362288739338206
ga_final_0000,2025-06-26,Q2,0.10679836040530978
ga_final_0000,2025-06-26,Q3,0.10134824255804724
ga_final_0000,2025-06-26,Q4,0.09622695410950093
ga_final_0000,2025-06-26,Q5,0.08130437236872137
ga_final_0000,2025-06-27,Q1,0.12944775193601862
ga_final_0000,2025-06-27,Q2,0.10204846665064776
ga_final_0000,2025-06-27,Q3,0.10102646247454859
ga_final_0000,2025-06-27,Q4,0.094614798867999
ga_final_0000,2025-06-27,Q5,0.07922300812390766
ga_final_0000,2025-06-30,Q1,0.11111192209375031
ga_final_0000,2025-06-30,Q2,0.09071273381015159
ga_final_0000,2025-06-30,Q3,0.08768900558669193
ga_final_0000,2025-06-30,Q4,0.08377392540342037
ga_final_0000,2025-06-30,Q5,0.06940110518617368
ga_final_0000,2025-07-01,Q1,0.1077193316802846
ga_final_0000,2025-07-01,Q2,0.08855117104941607
ga_final_0000,2025-07-01,Q3,0.09042584364588994
ga_final_0000,2025-07-01,Q4,0.08396576274716394
ga_final_0000,2025-07-01,Q5,0.07116673437666171
ga_final_0000,2025-07-02,Q1,0.12036851653320767
ga_final_0000,2025-07-02,Q2,0.1020452694826148
ga_final_0000,2025-07-02,Q3,0.10048090059992723
ga_final_0000,2025-07-02,Q4,0.09945096167601558
ga_final_0000,2025-07-02,Q5,0.08392091103777839
ga_final_0000,2025-07-03,Q1,0.11511746105831609
ga_final_0000,2025-07-03,Q2,0.09704166657413733
ga_final_0000,2025-07-03,Q3,0.10271577922283553
ga_final_0000,2025-07-03,Q4,0.09984805821600864
ga_final_0000,2025-07-03,Q5,0.08435403440841524
ga_final_0000,2025-07-04,Q1,0.13067106957091573
ga_final_0000,2025-07-04,Q2,0.11240223050179578
ga_final_0000,2025-07-04,Q3,0.1135410682872793
ga_final_0000,2025-07-04,Q4,0.1109023277881654
ga_final_0000,2025-07-04,Q5,0.09481418273771536
ga_final_0000,2025-07-07,Q1,0.12577892640941699
ga_final_0000,2025-07-07,Q2,0.1077057713953117
ga_final_0000,2025-07-07,Q3,0.10993448027572202
ga_final_0000,2025-07-07,Q4,0.10853349832143376
ga_final_0000,2025-07-07,Q5,0.0976757335783223
ga_final_0000,2025-07-08,Q1,0.11912219699969813
ga_final_0000,2025-07-08,Q2,0.09746768178154305
