factor,date,quantile,ret
ga_final_0000,2026-03-02,Q1,-0.004366359912537135
ga_final_0000,2026-03-02,Q2,-0.008864354867825665
ga_final_0000,2026-03-02,Q3,-0.012597559194769384
ga_final_0000,2026-03-02,Q4,-0.028995138613191883
ga_final_0000,2026-03-02,Q5,-0.0229078400364042
ga_final_0000,2026-03-03,Q1,-0.010788837609710557
ga_final_0000,2026-03-03,Q2,-0.015520241556720542
ga_final_0000,2026-03-03,Q3,-0.013230350871797874
ga_final_0000,2026-03-03,Q4,-0.004185559514469084
ga_final_0000,2026-03-03,Q5,-0.009557948264182778
ga_final_0000,2026-03-04,Q1,0.005455098720668243
ga_final_0000,2026-03-04,Q2,0.008368682674121102
ga_final_0000,2026-03-04,Q3,0.0036059568943656844
ga_final_0000,2026-03-04,Q4,0.00992511733749277
ga_final_0000,2026-03-04,Q5,0.009924026645193687
ga_final_0000,2026-03-05,Q1,0.007208705595769167
ga_final_0000,2026-03-05,Q2,0.0114384990044773
ga_final_0000,2026-03-05,Q3,0.003211335388072671
ga_final_0000,2026-03-05,Q4,0.007090200882082542
ga_final_0000,2026-03-05,Q5,0.004314128205116981
ga_final_0000,2026-03-06,Q1,-0.0037308098257884093
ga_final_0000,2026-03-06,Q2,-0.008635562370979878
ga_final_0000,2026-03-06,Q3,-0.009613016093846882
ga_final_0000,2026-03-06,Q4,-0.011235070601207712
ga_final_0000,2026-03-06,Q5,-0.00787274615597976
ga_final_0000,2026-03-09,Q1,0.005496990357118812
ga_final_0000,2026-03-09,Q2,0.006250154514196128
ga_final_0000,2026-03-09,Q3,0.009242703949072449
ga_final_0000,2026-03-09,Q4,0.014230977566195098
ga_final_0000,2026-03-09,Q5,0.01302965738340949
ga_final_0000,2026-03-10,Q1,0.013692833595039035
ga_final_0000,2026-03-10,Q2,0.008524227348356873
ga_final_0000,2026-03-10,Q3,-0.0019204305930284253
ga_final_0000,2026-03-10,Q4,0.0040344319502889
ga_final_0000,2026-03-10,Q5,0.007207138952087629
ga_final_0000,2026-03-11,Q1,0.005475421667270773
ga_final_0000,2026-03-11,Q2,0.0017119871996199355
ga_final_0000,2026-03-11,Q3,-0.0020348496335404697
ga_final_0000,2026-03-11,Q4,-0.004954843866868996
ga_final_0000,2026-03-11,Q5,-0.0030192188395184636
ga_final_0000,2026-03-12,Q1,-0.0036703976925801943
ga_final_0000,2026-03-12,Q2,-0.0049666288228066065
ga_final_0000,2026-03-12,Q3,-0.00809916572031078
ga_final_0000,2026-03-12,Q4,-0.009001740314281885
ga_final_0000,2026-03-12,Q5,-0.006988047713823377
ga_final_0000,2026-03-13,Q1,-0.006171367247881919
ga_final_0000,2026-03-13,Q2,-0.0059471286204829865
ga_final_0000,2026-03-13,Q3,0.00048447396997292427
ga_final_0000,2026-03-13,Q4,-0.0008737818161840309
ga_final_0000,2026-03-13,Q5,-0.004907837984321617
ga_final_0000,2026-03-16,Q1,-0.0016599132789422617
ga_final_0000,2026-03-16,Q2,-0.010166707279252847
ga_final_0000,2026-03-16,Q3,-0.004212786169985461
ga_final_0000,2026-03-16,Q4,-0.014654413440715488
ga_final_0000,2026-03-16,Q5,-0.011884890386764237
ga_final_0000,2026-03-17,Q1,-0.00525618736741736
ga_final_0000,2026-03-17,Q2,0.0025092944065755627
ga_final_0000,2026-03-17,Q3,0.0018597827016092806
ga_final_0000,2026-03-17,Q4,0.004895923199897245
ga_final_0000,2026-03-17,Q5,0.005179392298557336
ga_final_0000,2026-03-18,Q1,-0.010667075806663808
ga_final_0000,2026-03-18,Q2,-0.018020497351399715
ga_final_0000,2026-03-18,Q3,-0.010764023658468378
ga_final_0000,2026-03-18,Q4,-0.022373766115105095
ga_final_0000,2026-03-18,Q5,-0.022883192687839393
ga_final_0000,2026-03-19,Q1,-0.006682755851034868
ga_final_0000,2026-03-19,Q2,-0.013115025176378602
ga_final_0000,2026-03-19,Q3,-0.009721945504483197
ga_final_0000,2026-03-19,Q4,-0.0057734884093811
ga_final_0000,2026-03-19,Q5,-0.0061231371644867695
ga_final_0000,2026-03-20,Q1,-0.030320390331517684
ga_final_0000,2026-03-20,Q2,-0.0360821580285192
ga_final_0000,2026-03-20,Q3,-0.03507853012007664
ga_final_0000,2026-03-20,Q4,-0.03401136394445994
ga_final_0000,2026-03-20,Q5,-0.03325259330757455
ga_final_0000,2026-03-23,Q1,0.014136218110249506
ga_final_0000,2026-03-23,Q2,0.0168790830037555
ga_final_0000,2026-03-23,Q3,0.01814329492332424
ga_final_0000,2026-03-23,Q4,0.015572248628229578
ga_final_0000,2026-03-23,Q5,0.009834801011901805
ga_final_0000,2026-03-24,Q1,0.00969762043023629
ga_final_0000,2026-03-24,Q2,0.013853446344669793
ga_final_0000,2026-03-24,Q3,0.01138071906898584
ga_final_0000,2026-03-24,Q4,0.015880715530276267
ga_final_0000,2026-03-24,Q5,0.01673181387789253
ga_final_0000,2026-03-25,Q1,-0.013884977614427455
ga_final_0000,2026-03-25,Q2,-0.014239141095855707
ga_final_0000,2026-03-25,Q3,-0.011955367456473484
ga_final_0000,2026-03-25,Q4,-0.015434404037287526
ga_final_0000,2026-03-25,Q5,-0.013981144293028085
ga_final_0000,2026-03-26,Q1,0.002981279431994042
ga_final_0000,2026-03-26,Q2,0.0028720139388429657
ga_final_0000,2026-03-26,Q3,0.009222232763795416
ga_final_0000,2026-03-26,Q4,0.009859918714562595
ga_final_0000,2026-03-26,Q5,0.007611943187298897
ga_final_0000,2026-03-27,Q1,-0.007047500310414987
ga_final_0000,2026-03-27,Q2,-0.005836618056501987
ga_final_0000,2026-03-27,Q3,0.00011497036302060559
ga_final_0000,2026-03-27,Q4,-0.0023190002556962
ga_final_0000,2026-03-27,Q5,0.003123174512798915
ga_final_0000,2026-03-30,Q1,-0.012491652154116574
ga_final_0000,2026-03-30,Q2,-0.008980238627432099
ga_final_0000,2026-03-30,Q3,-0.0061682879147239465
ga_final_0000,2026-03-30,Q4,-0.008964660808034276
ga_final_0000,2026-03-30,Q5,-0.015362590863941167
ga_final_0000,2026-03-31,Q1,0.0096733494740654
ga_final_0000,2026-03-31,Q2,0.014472503523781865
ga_final_0000,2026-03-31,Q3,0.019278195835935263
ga_final_0000,2026-03-31,Q4,0.01640950214066904
ga_final_0000,2026-03-31,Q5,0.019424859259838865
ga_final_0000,2026-04-01,Q1,-0.009320117227232489
ga_final_0000,2026-04-01,Q2,-0.010814828672653357
ga_final_0000,2026-04-01,Q3,-0.004980668911900526
ga_final_0000,2026-04-01,Q4,-0.012418398446993021
ga_final_0000,2026-04-01,Q5,-0.009125781227939075
ga_final_0000,2026-04-02,Q1,-0.016056073436505853
ga_final_0000,2026-04-02,Q2,-0.011577731848742724
ga_final_0000,2026-04-02,Q3,-0.009650407550853921
ga_final_0000,2026-04-02,Q4,-0.01100779667803895
ga_final_0000,2026-04-02,Q5,-0.007644868542855216
ga_final_0000,2026-04-03,Q1,-0.0003410137292522653
ga_final_0000,2026-04-03,Q2,0.003763423772547349
ga_final_0000,2026-04-03,Q3,0.0018551119321470928
ga_final_0000,2026-04-03,Q4,0.000735946308279493
ga_final_0000,2026-04-03,Q5,0.0013364097353750714
ga_final_0000,2026-04-07,Q1,0.030447225751590826
ga_final_0000,2026-04-07,Q2,0.028462666653006268
ga_final_0000,2026-04-07,Q3,0.02614744459481421
ga_final_0000,2026-04-07,Q4,0.03916610714261297
ga_final_0000,2026-04-07,Q5,0.035820731767070034
ga_final_0000,2026-04-08,Q1,-0.014183386955048727
ga_final_0000,2026-04-08,Q2,-0.012957836728512273
ga_final_0000,2026-04-08,Q3,-0.0075812724033109255
ga_final_0000,2026-04-08,Q4,-0.0034182423773285895
ga_final_0000,2026-04-08,Q5,-0.00777712293748895
ga_final_0000,2026-04-09,Q1,0.009696432245517276
ga_final_0000,2026-04-09,Q2,0.007420791484430334
ga_final_0000,2026-04-09,Q3,0.004817116607290942
ga_final_0000,2026-04-09,Q4,0.017043428671272197
ga_final_0000,2026-04-09,Q5,0.013039770280282787
ga_final_0000,2026-04-10,Q1,0.0017220256628586634
ga_final_0000,2026-04-10,Q2,0.0005147982272757349
ga_final_0000,2026-04-10,Q3,0.0002758674267802685
ga_final_0000,2026-04-10,Q4,0.004509931176475334
ga_final_0000,2026-04-10,Q5,0.00030246107085669846
ga_final_0001,2026-03-02,Q1,-0.004366359912537135
ga_final_0001,2026-03-02,Q2,-0.010605384634141504
ga_final_0001,2026-03-02,Q3,-0.013195173765220945
ga_final_0001,2026-03-02,Q4,-0.025387464574672565
ga_final_0001,2026-03-02,Q5,-0.02417686973815612
ga_final_0001,2026-03-03,Q1,-0.010500198412233411
ga_final_0001,2026-03-03,Q2,-0.015838360810542313
ga_final_0001,2026-03-03,Q3,-0.01319606016216196
ga_final_0001,2026-03-03,Q4,-0.004185559514469084
ga_final_0001,2026-03-03,Q5,-0.009557948264182778
ga_final_0001,2026-03-04,Q1,0.005347377598990019
ga_final_0001,2026-03-04,Q2,0.008474608443771355
ga_final_0001,2026-03-04,Q3,0.0036059568943656844
ga_final_0001,2026-03-04,Q4,0.00992511733749277
ga_final_0001,2026-03-04,Q5,0.009924026645193687
ga_final_0001,2026-03-05,Q1,0.007208705595769167
ga_final_0001,2026-03-05,Q2,0.011680384819105263
ga_final_0001,2026-03-05,Q3,0.0029694495734447083
ga_final_0001,2026-03-05,Q4,0.007090200882082542
ga_final_0001,2026-03-05,Q5,0.004314128205116981
ga_final_0001,2026-03-06,Q1,-0.0037308098257884093
ga_final_0001,2026-03-06,Q2,-0.008319706382219924
ga_final_0001,2026-03-06,Q3,-0.010103590722489354
ga_final_0001,2026-03-06,Q4,-0.011060351961325194
ga_final_0001,2026-03-06,Q5,-0.00787274615597976
ga_final_0001,2026-03-09,Q1,0.005496990357118812
ga_final_0001,2026-03-09,Q2,0.006250154514196128
ga_final_0001,2026-03-09,Q3,0.009242703949072449
ga_final_0001,2026-03-09,Q4,0.014208560749328488
ga_final_0001,2026-03-09,Q5,0.0130520742002761
ga_final_0001,2026-03-10,Q1,0.012841402449771774
ga_final_0001,2026-03-10,Q2,0.009361467974536348
ga_final_0001,2026-03-10,Q3,-0.00030287991293260206
ga_final_0001,2026-03-10,Q4,0.0024168812701930776
ga_final_0001,2026-03-10,Q5,0.007207138952087629
ga_final_0001,2026-03-11,Q1,0.005469722352781605
ga_final_0001,2026-03-11,Q2,0.0017176865141091031
ga_final_0001,2026-03-11,Q3,-0.0028042323778299278
ga_final_0001,2026-03-11,Q4,-0.004185461122579539
ga_final_0001,2026-03-11,Q5,-0.0030192188395184636
ga_final_0001,2026-03-12,Q1,-0.0037703004150115033
ga_final_0001,2026-03-12,Q2,-0.0048667261003752975
ga_final_0001,2026-03-12,Q3,-0.008252575477199901
ga_final_0001,2026-03-12,Q4,-0.008848330557392764
ga_final_0001,2026-03-12,Q5,-0.006988047713823377
ga_final_0001,2026-03-13,Q1,-0.006171367247881919
ga_final_0001,2026-03-13,Q2,-0.0059471286204829865
ga_final_0001,2026-03-13,Q3,0.00048447396997292427
ga_final_0001,2026-03-13,Q4,-0.0008737818161840309
ga_final_0001,2026-03-13,Q5,-0.004907837984321617
ga_final_0001,2026-03-16,Q1,-0.0017801505575962809
ga_final_0001,2026-03-16,Q2,-0.010046470000598828
ga_final_0001,2026-03-16,Q3,-0.004212786169985461
ga_final_0001,2026-03-16,Q4,-0.014654413440715488
ga_final_0001,2026-03-16,Q5,-0.011884890386764237
ga_final_0001,2026-03-17,Q1,-0.00525618736741736
ga_final_0001,2026-03-17,Q2,0.0025092944065755627
ga_final_0001,2026-03-17,Q3,0.0018597827016092806
ga_final_0001,2026-03-17,Q4,0.004528109656895881
ga_final_0001,2026-03-17,Q5,0.0055472058415587
ga_final_0001,2026-03-18,Q1,-0.010667075806663808
ga_final_0001,2026-03-18,Q2,-0.018020497351399715
ga_final_0001,2026-03-18,Q3,-0.010764023658468378
ga_final_0001,2026-03-18,Q4,-0.022373766115105095
ga_final_0001,2026-03-18,Q5,-0.022883192687839393
ga_final_0001,2026-03-19,Q1,-0.006682755851034868
ga_final_0001,2026-03-19,Q2,-0.013115025176378602
ga_final_0001,2026-03-19,Q3,-0.010101932419100809
ga_final_0001,2026-03-19,Q4,-0.00539350149476349
ga_final_0001,2026-03-19,Q5,-0.0061231371644867695
ga_final_0001,2026-03-20,Q1,-0.030945565735677187
ga_final_0001,2026-03-20,Q2,-0.035456982624359694
ga_final_0001,2026-03-20,Q3,-0.034387719678752135
ga_final_0001,2026-03-20,Q4,-0.03588518976540039
ga_final_0001,2026-03-20,Q5,-0.03206957792795861
ga_final_0001,2026-03-23,Q1,0.014136218110249506
ga_final_0001,2026-03-23,Q2,0.0168790830037555
ga_final_0001,2026-03-23,Q3,0.01814329492332424
ga_final_0001,2026-03-23,Q4,0.015572248628229578
ga_final_0001,2026-03-23,Q5,0.009834801011901805
ga_final_0001,2026-03-24,Q1,0.009639060486935731
ga_final_0001,2026-03-24,Q2,0.013912006287970352
ga_final_0001,2026-03-24,Q3,0.01138071906898584
ga_final_0001,2026-03-24,Q4,0.015880715530276267
ga_final_0001,2026-03-24,Q5,0.01673181387789253
ga_final_0001,2026-03-25,Q1,-0.013884977614427455
ga_final_0001,2026-03-25,Q2,-0.014239141095855707
ga_final_0001,2026-03-25,Q3,-0.011887674539879583
ga_final_0001,2026-03-25,Q4,-0.015502096953881427
ga_final_0001,2026-03-25,Q5,-0.013981144293028085
ga_final_0001,2026-03-26,Q1,0.00323684495451948
ga_final_0001,2026-03-26,Q2,0.0026164484163175277
ga_final_0001,2026-03-26,Q3,0.009222232763795416
ga_final_0001,2026-03-26,Q4,0.009354309414361642
ga_final_0001,2026-03-26,Q5,0.00811755248749985
ga_final_0001,2026-03-27,Q1,-0.006863337696245333
ga_final_0001,2026-03-27,Q2,-0.006020780670671642
ga_final_0001,2026-03-27,Q3,0.00011497036302060559
ga_final_0001,2026-03-27,Q4,-0.0023190002556962
ga_final_0001,2026-03-27,Q5,0.003123174512798915
ga_final_0001,2026-03-30,Q1,-0.012446275747901057
ga_final_0001,2026-03-30,Q2,-0.008516046303258383
ga_final_0001,2026-03-30,Q3,-0.00667785664511318
ga_final_0001,2026-03-30,Q4,-0.009235726323971164
ga_final_0001,2026-03-30,Q5,-0.01509152534800428
ga_final_0001,2026-03-31,Q1,0.0096733494740654
