factor,auto_label,usage,ic_future,ic_past_5d,ic_risk,ic_stability,monotonicity,top_bottom_spread,ic_future_vol,ic_future_drawdown,ic_past_1d,ic_past_3d,ic_past_10d,group
alpha158__std_120,trend,alpha_core,0.21489845625455967,0.003665061965933087,0.2681795274344848,1.0,1.0,0.06297616615140128,0.37631373211106117,0.16004532275790845,-0.02601313513598351,-0.012393111394776475,0.04672348221996949,trend
alpha158__ma_120_ratio,trend,alpha_core,0.14939204155425742,0.25421551397214537,0.24471124392849958,0.9805825242718447,1.0,0.05587399131513135,0.30882624627661714,0.18059624158038204,0.08428862764369383,0.18527892527784387,0.3830916178649267,trend
alpha101__alpha042,trend,alpha_core,0.1172808937762649,0.002107200877942948,-0.02810978723106293,0.9774774774774775,0.75,0.033275898146740646,0.008015722981446646,-0.06423529744357251,0.0034546011297187586,0.0019430861606997722,0.0031022845731114713,trend
alpha158__kbar_high_low_ratio,trend,alpha_core,0.18713224312698576,0.2621134117060157,0.29467637027825133,0.963963963963964,1.0,0.06166908153165758,0.3849749121007255,0.20437782845577718,0.1490628098146748,0.23137322940830388,0.3046997954543924,trend
alpha191__alpha045,trend,alpha_core,0.07332093488514285,0.11829604233378971,0.10142795151048993,0.9491525423728814,0.75,0.021589025182066623,0.1322819541317935,0.07057394888918636,0.0639504327312164,0.09601294310280942,0.22152770081170362,trend
alpha191__alpha097,trend,alpha_core,0.1388257632420885,0.0826958913779814,0.26052384907651854,0.9483568075117371,1.0,0.047549193215567664,0.3334939523950705,0.1875537457579666,-0.028590024732492912,0.028108026683097618,0.2392175893545459,trend
alpha191__alpha051,trend,alpha_core,0.07964057155017512,0.4949284650409223,0.13330299542945148,0.8761904761904762,1.0,0.030465373907302792,0.1712452663550697,0.09536072450383325,0.11914856191796191,0.35520264495674964,0.7533281122560955,trend
alpha158__kbar_upper_shadow_ratio,trend,alpha_core,0.09120192506282414,0.14557474467526457,0.1628655317778555,0.8603603603603603,0.75,0.026058462313254024,0.20759150379392102,0.11813955976179003,0.11915683902019249,0.13176341213041828,0.16766096811631945,trend
alpha191__alpha007,trend,alpha_core,0.06606019971620411,0.18542222356369586,-0.02685795056481856,0.8584474885844748,0.5,0.019785209180282287,-0.011324176182448567,-0.04239172494718855,0.18124164464053913,0.35315922627703344,0.045161462389304116,trend
alpha191__alpha061,trend,alpha_core,0.08258158965153269,0.4467629504622,0.17505116123009634,0.8583333333333333,1.0,0.033208625848609424,0.21858057866151634,0.13152174379867634,0.13790188331711695,0.33257098695030046,0.6042498187046772,trend
alpha191__alpha118,trend,alpha_core,0.10069204455654666,0.2583884960988322,0.20226523341507774,0.8571428571428571,1.0,0.03667053547495931,0.25493409462672817,0.1495963722034273,0.08873864769452526,0.18881490934837292,0.4019511648913423,trend
alpha191__alpha094,trend,alpha_core,0.08535785919378992,0.197859918415393,0.18168496319858052,0.844559585492228,0.75,0.03388256455088061,0.22642603353834603,0.136943892858815,0.08576442652868563,0.1508877451061964,0.28374472792448757,trend
alpha158__volume_std_30,trend,alpha_core,0.045421588517554956,0.08488671989766426,0.10662143260971678,0.8177083333333334,0.75,0.020236310282243042,0.13082734393891185,0.08241552128052171,-0.00017352731977764708,0.048712524458836094,0.1536193332659191,trend
alpha191__alpha069,trend,alpha_core,0.08288515444244217,0.2759096888292458,0.16922585680229787,0.8168316831683168,1.0,0.03133481930008791,0.2123033359582399,0.12614837764635584,0.014027578658617429,0.1808864033924329,0.4400571321023882,trend
