trade_date,signal_date,instrument,action,price,weight,reason,holding_days,realized_return
2025-01-27,2025-01-27,SZ300493,BUY,12.118301391601562,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ000880,BUY,4.565241813659668,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ300403,BUY,2.6678662300109863,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ002553,BUY,2.7440381050109863,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ300153,BUY,1.7770966291427612,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SH603319,BUY,4.267596244812012,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ300539,BUY,3.0874006748199463,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ301248,BUY,0.713918149471283,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SH603045,BUY,1.5748201608657837,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ002843,BUY,4.8687214851379395,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ300421,BUY,2.5467679500579834,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ002779,BUY,7.731651306152344,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SH688577,BUY,1.0472774505615234,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ300491,BUY,2.1199469566345215,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SH688226,BUY,1.5595800876617432,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ300577,BUY,3.048581600189209,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ002729,BUY,2.4317386150360107,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ002718,BUY,1.137546420097351,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ300680,BUY,5.734399795532227,0.05,buy_main_wave_pullback,0,
2025-01-27,2025-01-27,SZ300354,BUY,4.692609786987305,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SZ300493,SELL,10.672396659851074,0.05,trend_break_ma10,1,-0.1193157922902095
2025-02-05,2025-02-05,SZ000880,SELL,4.295275688171387,0.05,trend_break_ma10,1,-0.05913512065900106
2025-02-05,2025-02-05,SZ300153,SELL,1.5497792959213257,0.05,trend_break_ma10,1,-0.12791501007521988
2025-02-05,2025-02-05,SH603319,SELL,4.567065238952637,0.05,score_below_045,1,0.07017275697172165
2025-02-05,2025-02-05,SZ300539,SELL,3.1135072708129883,0.05,trend_break_ma10,1,0.008455849675087723
2025-02-05,2025-02-05,SZ301248,SELL,0.6795321702957153,0.05,overheat_ret5_ma5_distance,1,-0.048165156189170055
2025-02-05,2025-02-05,SZ002843,SELL,5.356164455413818,0.05,score_below_045,1,0.10011724264035804
2025-02-05,2025-02-05,SZ300491,SELL,1.9324055910110474,0.05,trend_break_ma10,1,-0.08846512175059396
2025-02-05,2025-02-05,SZ300577,SELL,2.865602731704712,0.05,trend_break_ma10,1,-0.06002098434010772
2025-02-05,2025-02-05,SZ300680,SELL,5.9232001304626465,0.05,score_below_045,1,0.03292416672404275
2025-02-05,2025-02-05,SZ301248,BUY,0.6795321702957153,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SZ002862,BUY,3.3495025634765625,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SZ300984,BUY,1.737704873085022,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SZ002892,BUY,4.7378411293029785,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SZ300608,BUY,2.1787710189819336,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SZ002488,BUY,2.679133892059326,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SZ003041,BUY,1.591435194015503,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SZ300412,BUY,2.1889684200286865,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SH603598,BUY,3.911282539367676,0.05,buy_main_wave_pullback,0,
2025-02-05,2025-02-05,SH600191,BUY,1.5480480194091797,0.05,buy_main_wave_pullback,0,
2025-02-06,2025-02-06,SZ002779,SELL,8.740252494812012,0.05,risk_rank_above_090,2,0.1304509410372774
2025-02-06,2025-02-06,SZ002862,SELL,3.4322140216827393,0.05,trend_break_ma10,1,0.02469365424826786
2025-02-06,2025-02-06,SZ300608,SELL,2.195530652999878,0.05,overheat_ret5_ma5_distance,1,0.007692242035501007
2025-02-06,2025-02-06,SZ002488,SELL,2.6885826587677,0.05,trend_break_ma10,1,0.0035267989914125053
2025-02-06,2025-02-06,SZ003041,SELL,1.5725308656692505,0.05,trend_break_ma10,1,-0.01187879243675205
2025-02-06,2025-02-06,SH603598,SELL,4.0607523918151855,0.05,risk_rank_above_090,1,0.03821504862997549
2025-02-06,2025-02-06,SZ002862,BUY,3.4322140216827393,0.05,buy_main_wave_pullback,0,
2025-02-06,2025-02-06,SZ002757,BUY,2.550187826156616,0.05,buy_main_wave_pullback,0,
2025-02-06,2025-02-06,SZ000856,BUY,2.5318126678466797,0.05,buy_main_wave_pullback,0,
2025-02-06,2025-02-06,SH603901,BUY,1.7110233306884766,0.05,buy_main_wave_pullback,0,
2025-02-06,2025-02-06,SZ301061,BUY,2.031456708908081,0.05,buy_main_wave_pullback,0,
2025-02-06,2025-02-06,SZ301280,BUY,1.3492988348007202,0.05,buy_main_wave_pullback,0,
2025-02-07,2025-02-07,SH688226,SELL,1.531233549118042,0.05,stale_exit_3d_lt_1pct,3,-0.018175750490762366
2025-02-07,2025-02-07,SZ002729,SELL,2.413652181625366,0.05,stale_exit_3d_lt_1pct,3,-0.007437655222815476
2025-02-07,2025-02-07,SZ002718,SELL,1.061957836151123,0.05,stop_loss_6pct,3,-0.06644879066979892
2025-02-07,2025-02-07,SZ002862,SELL,3.3550994396209717,0.05,trend_break_ma10,1,-0.022467882706207254
2025-02-07,2025-02-07,SH603901,SELL,1.8405797481536865,0.05,overheat_ret5_ma5_distance,1,0.0757186738143889
2025-02-07,2025-02-07,SZ002862,BUY,3.3550994396209717,0.05,buy_main_wave_pullback,0,
2025-02-07,2025-02-07,SZ002718,BUY,1.061957836151123,0.05,buy_main_wave_pullback,0,
2025-02-07,2025-02-07,SZ002729,BUY,2.413652181625366,0.05,buy_main_wave_pullback,0,
2025-02-07,2025-02-07,SZ300488,BUY,2.9357733726501465,0.05,buy_main_wave_pullback,0,
2025-02-07,2025-02-07,SZ300448,BUY,2.63808274269104,0.05,buy_main_wave_pullback,0,
2025-02-10,2025-02-10,SZ300354,SELL,4.767940044403076,0.05,trend_break_ma10,4,0.016052955782657197
2025-02-10,2025-02-10,SZ301061,SELL,2.1308183670043945,0.05,score_below_045,2,0.048911531149349985
2025-02-10,2025-02-10,SZ002862,SELL,3.396766185760498,0.05,trend_break_ma10,1,0.01241893031469532
2025-02-10,2025-02-10,SZ002718,SELL,0.9774473309516907,0.05,trend_break_ma10,1,-0.07957990639790902
2025-02-10,2025-02-10,SZ300488,SELL,3.1056630611419678,0.05,score_below_045,1,0.057868802161135546
2025-02-10,2025-02-10,SZ300448,SELL,2.751978874206543,0.05,overheat_ret5_ma5_distance,1,0.04317382835358696
2025-02-10,2025-02-10,SZ300553,BUY,2.222879648208618,0.05,buy_main_wave_pullback,0,
2025-02-10,2025-02-10,SZ300547,BUY,3.7460668087005615,0.05,buy_main_wave_pullback,0,
2025-02-10,2025-02-10,SZ300731,BUY,1.8914525508880615,0.05,buy_main_wave_pullback,0,
2025-02-10,2025-02-10,SZ301191,BUY,1.4537880420684814,0.05,buy_main_wave_pullback,0,
2025-02-10,2025-02-10,SH600261,BUY,4.586945056915283,0.05,buy_main_wave_pullback,0,
2025-02-10,2025-02-10,SH605488,BUY,1.8266485929489136,0.05,buy_main_wave_pullback,0,
2025-02-11,2025-02-11,SZ300403,SELL,3.0518171787261963,0.05,risk_rank_above_090,5,0.14391686674396298
2025-02-11,2025-02-11,SZ300421,SELL,2.6760456562042236,0.05,score_below_045,5,0.05076147834485556
2025-02-11,2025-02-11,SH688577,SELL,1.0653733015060425,0.05,trend_break_ma10,5,0.017278946409871043
2025-02-11,2025-02-11,SZ300984,SELL,2.1515953540802,0.05,overheat_ret5_ma5_distance,4,0.23818226409204968
