factor,date,quantile,ret
_root__momentum_factor,2025-07-01,Q1,-0.004992415557298814
_root__momentum_factor,2025-07-01,Q2,0.003222615049062827
_root__momentum_factor,2025-07-01,Q3,0.0017976437019360913
_root__momentum_factor,2025-07-01,Q4,0.005139009658824323
_root__momentum_factor,2025-07-01,Q5,-0.012131016801600144
_root__momentum_factor,2025-07-02,Q1,0.013597119478735709
_root__momentum_factor,2025-07-02,Q2,0.0038790660904621578
_root__momentum_factor,2025-07-02,Q3,0.004591708813335667
_root__momentum_factor,2025-07-02,Q4,0.0056853435114113966
_root__momentum_factor,2025-07-02,Q5,0.007212231486435446
_root__momentum_factor,2025-07-03,Q1,-0.0019644688288647278
_root__momentum_factor,2025-07-03,Q2,-0.0028528817572222847
_root__momentum_factor,2025-07-03,Q3,-0.003489280685440558
_root__momentum_factor,2025-07-03,Q4,-0.0034193953754636003
_root__momentum_factor,2025-07-03,Q5,-0.006510934462218554
_root__momentum_factor,2025-07-04,Q1,-0.0032049817720085716
_root__momentum_factor,2025-07-04,Q2,-0.003777488819280905
_root__momentum_factor,2025-07-04,Q3,0.0039117024193241106
_root__momentum_factor,2025-07-04,Q4,-0.006047707258733914
_root__momentum_factor,2025-07-04,Q5,-0.006700106281764835
_root__momentum_factor,2025-07-07,Q1,0.0074300023612543275
_root__momentum_factor,2025-07-07,Q2,0.007981641016429338
_root__momentum_factor,2025-07-07,Q3,0.008569209921121883
_root__momentum_factor,2025-07-07,Q4,0.01592552171903626
_root__momentum_factor,2025-07-07,Q5,0.00398522765702746
_root__momentum_factor,2025-07-08,Q1,0.0003098018242378986
_root__momentum_factor,2025-07-08,Q2,-0.00038654056012321636
_root__momentum_factor,2025-07-08,Q3,-0.0013773113521602894
_root__momentum_factor,2025-07-08,Q4,-0.0021846692193017232
_root__momentum_factor,2025-07-08,Q5,-0.007649885558588543
_root__momentum_factor,2025-07-09,Q1,-0.001863878970021731
_root__momentum_factor,2025-07-09,Q2,0.004272580247799455
_root__momentum_factor,2025-07-09,Q3,0.0015866948745393073
_root__momentum_factor,2025-07-09,Q4,0.012847679639990362
_root__momentum_factor,2025-07-09,Q5,0.0013952726361652493
_root__momentum_factor,2025-07-10,Q1,0.005197294998604766
_root__momentum_factor,2025-07-10,Q2,0.01008457882483332
_root__momentum_factor,2025-07-10,Q3,0.002598207782852017
_root__momentum_factor,2025-07-10,Q4,0.002231260893154848
_root__momentum_factor,2025-07-10,Q5,0.003718013714241164
_root__momentum_factor,2025-07-11,Q1,-0.0004595288914358009
_root__momentum_factor,2025-07-11,Q2,-0.0005371682892808316
_root__momentum_factor,2025-07-11,Q3,-0.0036597965370242774
_root__momentum_factor,2025-07-11,Q4,-0.004922317972772849
_root__momentum_factor,2025-07-11,Q5,-0.004430195480755257
_root__momentum_factor,2025-07-14,Q1,-0.0030881219906851837
_root__momentum_factor,2025-07-14,Q2,0.005757216998143074
_root__momentum_factor,2025-07-14,Q3,-0.008439718793095146
_root__momentum_factor,2025-07-14,Q4,-0.0015232977609720792
_root__momentum_factor,2025-07-14,Q5,-0.011124481554613992
_root__momentum_factor,2025-07-15,Q1,0.007445818608722288
_root__momentum_factor,2025-07-15,Q2,0.0012318780790103881
_root__momentum_factor,2025-07-15,Q3,0.0036815599162557757
_root__momentum_factor,2025-07-15,Q4,0.0008247326754592832
_root__momentum_factor,2025-07-15,Q5,-0.0036212530204891382
_root__momentum_factor,2025-07-16,Q1,0.01392527060094235
_root__momentum_factor,2025-07-16,Q2,0.0034438774884112547
_root__momentum_factor,2025-07-16,Q3,0.010559875264942361
_root__momentum_factor,2025-07-16,Q4,0.01169679162553073
_root__momentum_factor,2025-07-16,Q5,0.009226676686679099
_root__momentum_factor,2025-07-17,Q1,0.004876355545766106
_root__momentum_factor,2025-07-17,Q2,0.004377842557810033
_root__momentum_factor,2025-07-17,Q3,0.003109159603249312
_root__momentum_factor,2025-07-17,Q4,0.007252507353484557
_root__momentum_factor,2025-07-17,Q5,0.003058519102307685
_root__momentum_factor,2025-07-18,Q1,0.008916608980563354
_root__momentum_factor,2025-07-18,Q2,0.013873778824446936
_root__momentum_factor,2025-07-18,Q3,0.011433147940025286
_root__momentum_factor,2025-07-18,Q4,0.006901420447739352
_root__momentum_factor,2025-07-18,Q5,0.0037959586909574053
_root__momentum_factor,2025-07-21,Q1,0.008539654961285328
_root__momentum_factor,2025-07-21,Q2,0.009891062657541657
_root__momentum_factor,2025-07-21,Q3,0.010076544954617229
_root__momentum_factor,2025-07-21,Q4,0.007938939048927047
_root__momentum_factor,2025-07-21,Q5,0.017523081403678205
_root__momentum_factor,2025-07-22,Q1,0.0019562317610074937
_root__momentum_factor,2025-07-22,Q2,-0.005260760881387909
_root__momentum_factor,2025-07-22,Q3,-0.006954605850991739
_root__momentum_factor,2025-07-22,Q4,-0.005271632923098276
_root__momentum_factor,2025-07-22,Q5,-0.0052172326922756305
_root__momentum_factor,2025-07-23,Q1,0.0023528613481228
_root__momentum_factor,2025-07-23,Q2,0.01152046455534501
_root__momentum_factor,2025-07-23,Q3,0.010888062176704039
_root__momentum_factor,2025-07-23,Q4,0.028642926064255128
