factor,date,quantile,ret
_root__momentum_factor,2026-03-30,Q1,-0.012268138919414546
_root__momentum_factor,2026-03-30,Q2,-0.011408817902331487
_root__momentum_factor,2026-03-30,Q3,-0.007515724060684142
_root__momentum_factor,2026-03-30,Q4,-0.006856571831960183
_root__momentum_factor,2026-03-30,Q5,-0.0138935291748984
_root__momentum_factor,2026-03-31,Q1,0.028298390527494947
_root__momentum_factor,2026-03-31,Q2,0.02136508347335824
_root__momentum_factor,2026-03-31,Q3,0.01782017940093962
_root__momentum_factor,2026-03-31,Q4,0.004514707346388689
_root__momentum_factor,2026-03-31,Q5,0.007559842923482818
_root__momentum_factor,2026-04-01,Q1,-0.0198542658177743
_root__momentum_factor,2026-04-01,Q2,-0.014174365117239834
_root__momentum_factor,2026-04-01,Q3,-0.010357097806444022
_root__momentum_factor,2026-04-01,Q4,-0.00036512630407086556
_root__momentum_factor,2026-04-01,Q5,-0.0017602783860575825
_root__momentum_factor,2026-04-02,Q1,-0.010516722581366126
_root__momentum_factor,2026-04-02,Q2,-0.012191520261514256
_root__momentum_factor,2026-04-02,Q3,-0.011521626980815028
_root__momentum_factor,2026-04-02,Q4,-0.009218311457683391
_root__momentum_factor,2026-04-02,Q5,-0.012046962811025156
_root__momentum_factor,2026-04-03,Q1,0.006130674460013634
_root__momentum_factor,2026-04-03,Q2,0.0019226616175757661
_root__momentum_factor,2026-04-03,Q3,-0.0013180195720629746
_root__momentum_factor,2026-04-03,Q4,0.0022792048393962096
_root__momentum_factor,2026-04-03,Q5,-0.0015944602095787242
_root__momentum_factor,2026-04-07,Q1,0.05367963600344326
_root__momentum_factor,2026-04-07,Q2,0.04502490281547546
_root__momentum_factor,2026-04-07,Q3,0.028459488235469208
_root__momentum_factor,2026-04-07,Q4,0.015468797942062573
_root__momentum_factor,2026-04-07,Q5,0.01749591425969755
_root__momentum_factor,2026-04-08,Q1,-0.0164906080544088
_root__momentum_factor,2026-04-08,Q2,-0.01144861952904308
_root__momentum_factor,2026-04-08,Q3,-0.01464797315252811
_root__momentum_factor,2026-04-08,Q4,-0.0065348651603682716
_root__momentum_factor,2026-04-08,Q5,0.003315634508418952
_root__momentum_factor,2026-04-09,Q1,0.010212720338050919
_root__momentum_factor,2026-04-09,Q2,0.011202786026175086
_root__momentum_factor,2026-04-09,Q3,0.015256793215905593
_root__momentum_factor,2026-04-09,Q4,0.005475266473149944
_root__momentum_factor,2026-04-09,Q5,0.009869973235511996
_root__momentum_factor,2026-04-10,Q1,0.004119922527623891
_root__momentum_factor,2026-04-10,Q2,-0.0014361769417404154
_root__momentum_factor,2026-04-10,Q3,-0.0005055984565577394
_root__momentum_factor,2026-04-10,Q4,0.0030209405670978424
_root__momentum_factor,2026-04-10,Q5,0.002125995867823122
_root__risk_adjusted_momentum,2026-03-30,Q1,-0.01030589723839897
_root__risk_adjusted_momentum,2026-03-30,Q2,-0.006634386406495039
_root__risk_adjusted_momentum,2026-03-30,Q3,-0.010547116103817275
_root__risk_adjusted_momentum,2026-03-30,Q4,-0.013343508138523249
_root__risk_adjusted_momentum,2026-03-30,Q5,-0.0110791699740373
_root__risk_adjusted_momentum,2026-03-31,Q1,0.020557359837939212
_root__risk_adjusted_momentum,2026-03-31,Q2,0.020932469182577178
_root__risk_adjusted_momentum,2026-03-31,Q3,0.02230501172289383
_root__risk_adjusted_momentum,2026-03-31,Q4,0.00863194403658729
_root__risk_adjusted_momentum,2026-03-31,Q5,0.007002401713507545
_root__risk_adjusted_momentum,2026-04-01,Q1,-0.0191011210573214
_root__risk_adjusted_momentum,2026-04-01,Q2,-0.013064248875832917
_root__risk_adjusted_momentum,2026-04-01,Q3,-0.010423661804107724
_root__risk_adjusted_momentum,2026-04-01,Q4,-0.004352567958322741
_root__risk_adjusted_momentum,2026-04-01,Q5,0.0004430186766723965
_root__risk_adjusted_momentum,2026-04-02,Q1,-0.011816193692266027
_root__risk_adjusted_momentum,2026-04-02,Q2,-0.010999842534550724
_root__risk_adjusted_momentum,2026-04-02,Q3,-0.012185576390517113
_root__risk_adjusted_momentum,2026-04-02,Q4,-0.00715939802145904
_root__risk_adjusted_momentum,2026-04-02,Q5,-0.013355791305459384
_root__risk_adjusted_momentum,2026-04-03,Q1,0.0013167318102303173
_root__risk_adjusted_momentum,2026-04-03,Q2,0.003390325366026914
_root__risk_adjusted_momentum,2026-04-03,Q3,-0.0014825815844073738
_root__risk_adjusted_momentum,2026-04-03,Q4,0.007022739266610743
_root__risk_adjusted_momentum,2026-04-03,Q5,-0.002907386100613078
_root__risk_adjusted_momentum,2026-04-07,Q1,0.04131096250343159
_root__risk_adjusted_momentum,2026-04-07,Q2,0.048175611694020785
_root__risk_adjusted_momentum,2026-04-07,Q3,0.03588874846275188
_root__risk_adjusted_momentum,2026-04-07,Q4,0.018283098388211464
_root__risk_adjusted_momentum,2026-04-07,Q5,0.016264173649398816
_root__risk_adjusted_momentum,2026-04-08,Q1,-0.01863261217110559
_root__risk_adjusted_momentum,2026-04-08,Q2,-0.011941348393503642
_root__risk_adjusted_momentum,2026-04-08,Q3,-0.012106328365224874
_root__risk_adjusted_momentum,2026-04-08,Q4,-0.00452718276092716
_root__risk_adjusted_momentum,2026-04-08,Q5,0.0013653402342203433
_root__risk_adjusted_momentum,2026-04-09,Q1,0.010919013419466382
_root__risk_adjusted_momentum,2026-04-09,Q2,0.012502842063323008
_root__risk_adjusted_momentum,2026-04-09,Q3,0.010422456705521142
_root__risk_adjusted_momentum,2026-04-09,Q4,0.008109422242468857
_root__risk_adjusted_momentum,2026-04-09,Q5,0.010063804858014147
_root__risk_adjusted_momentum,2026-04-10,Q1,0.0021737968069502197
_root__risk_adjusted_momentum,2026-04-10,Q2,0.0017846448441589705
_root__risk_adjusted_momentum,2026-04-10,Q3,-0.002762435306368862
_root__risk_adjusted_momentum,2026-04-10,Q4,0.00400308135168325
_root__risk_adjusted_momentum,2026-04-10,Q5,0.002125995867823122
