datetime,_root__momentum_factor,_root__risk_adjusted_momentum
2026-03-02,,
2026-03-03,,
2026-03-04,,
2026-03-05,,
2026-03-06,,
2026-03-09,,
2026-03-10,,
2026-03-11,,
2026-03-12,,
2026-03-13,,
2026-03-16,,
2026-03-17,,
2026-03-18,,
2026-03-19,,
2026-03-20,,
2026-03-23,,
2026-03-24,,
2026-03-25,,
2026-03-26,,
2026-03-27,,
2026-03-30,0.047719692038338084,-0.013222598819330656
2026-03-31,-0.4390331114190727,-0.36031110002286576
2026-04-01,0.3862157898901421,0.38577359979217
2026-04-02,-0.045465646113443024,-0.049171511301654286
2026-04-03,-0.15754524832654257,-0.12229359639260659
2026-04-07,-0.5357567731364055,-0.4340890215707841
2026-04-08,0.3686724033291032,0.4030299738193488
2026-04-09,-0.17568385006528497,-0.18523563910986623
2026-04-10,0.022413415703461233,0.037623835885736694
