factor,date,quantile,ret
_root__momentum_factor,2025-07-01,Q1,0.013948419006423381
_root__momentum_factor,2025-07-01,Q2,0.021291355729675013
_root__momentum_factor,2025-07-01,Q3,0.02057007017184453
_root__momentum_factor,2025-07-01,Q4,0.027067661199008334
_root__momentum_factor,2025-07-01,Q5,0.03904430445108421
_root__momentum_factor,2025-07-02,Q1,0.017068708731381336
_root__momentum_factor,2025-07-02,Q2,0.015484826175297913
_root__momentum_factor,2025-07-02,Q3,0.01790233566301595
_root__momentum_factor,2025-07-02,Q4,0.022370228082732594
_root__momentum_factor,2025-07-02,Q5,0.04925287073114749
_root__momentum_factor,2025-07-03,Q1,0.010866616395482847
_root__momentum_factor,2025-07-03,Q2,0.01586237436982168
_root__momentum_factor,2025-07-03,Q3,0.0202357276715456
_root__momentum_factor,2025-07-03,Q4,0.027875462746905465
_root__momentum_factor,2025-07-03,Q5,0.03405717777676598
_root__momentum_factor,2025-07-04,Q1,0.014197450673595758
_root__momentum_factor,2025-07-04,Q2,0.01831653536442356
_root__momentum_factor,2025-07-04,Q3,0.028644085058496683
_root__momentum_factor,2025-07-04,Q4,0.020591025763723937
_root__momentum_factor,2025-07-04,Q5,0.04074608734511065
_root__momentum_factor,2025-07-07,Q1,0.019832203461558447
_root__momentum_factor,2025-07-07,Q2,0.027756269700212582
_root__momentum_factor,2025-07-07,Q3,0.03192118439752658
_root__momentum_factor,2025-07-07,Q4,0.028785224709733902
_root__momentum_factor,2025-07-07,Q5,0.037442002893787685
_root__momentum_factor,2025-07-08,Q1,0.016369212649347972
_root__momentum_factor,2025-07-08,Q2,0.018770284326243728
_root__momentum_factor,2025-07-08,Q3,0.02209238337549123
_root__momentum_factor,2025-07-08,Q4,0.011046356138751087
_root__momentum_factor,2025-07-08,Q5,0.03403003820142407
_root__momentum_factor,2025-07-09,Q1,0.024169002703996037
_root__momentum_factor,2025-07-09,Q2,0.021153886947524337
_root__momentum_factor,2025-07-09,Q3,0.019535921336532508
_root__momentum_factor,2025-07-09,Q4,0.015486270068928533
_root__momentum_factor,2025-07-09,Q5,0.0400341013490049
_root__momentum_factor,2025-07-10,Q1,0.028396910375429067
_root__momentum_factor,2025-07-10,Q2,0.016567581381902338
_root__momentum_factor,2025-07-10,Q3,0.021189122611945506
_root__momentum_factor,2025-07-10,Q4,0.01403113145699422
_root__momentum_factor,2025-07-10,Q5,0.028034607892487306
_root__momentum_factor,2025-07-11,Q1,0.026174648756061434
_root__momentum_factor,2025-07-11,Q2,0.011715752037629555
_root__momentum_factor,2025-07-11,Q3,0.015696890391721192
_root__momentum_factor,2025-07-11,Q4,0.015518176274667415
_root__momentum_factor,2025-07-11,Q5,0.03662665266315412
_root__momentum_factor,2025-07-14,Q1,0.02606392064823014
_root__momentum_factor,2025-07-14,Q2,0.019228813793253557
_root__momentum_factor,2025-07-14,Q3,0.025862491076654066
_root__momentum_factor,2025-07-14,Q4,0.027803182015754414
_root__momentum_factor,2025-07-14,Q5,0.04653001725861067
_root__momentum_factor,2025-07-15,Q1,0.04010164527863518
_root__momentum_factor,2025-07-15,Q2,0.035838454451873794
_root__momentum_factor,2025-07-15,Q3,0.05331350082892853
_root__momentum_factor,2025-07-15,Q4,0.047623550327586334
_root__momentum_factor,2025-07-15,Q5,0.03853921434086219
_root__momentum_factor,2025-07-16,Q1,0.035321660209606476
_root__momentum_factor,2025-07-16,Q2,0.051422605800825125
