code,factor_value,rank
603135.SH,1.6267233953270834,1
002331.SZ,1.6249813484478162,2
603278.SH,1.6232992206767487,3
002392.SZ,1.612113277932394,4
000404.SZ,1.602197054634298,5
002324.SZ,1.6004532586506652,6
600496.SH,1.5973311044979681,7
603332.SH,1.5874998914474405,8
603936.SH,1.5550036471934867,9
600510.SH,1.5505614363889806,10
603178.SH,1.536264172732523,11
002658.SZ,1.5185474346052357,12
603856.SH,1.517591925384921,13
002259.SZ,1.511239118191161,14
600683.SH,1.49840448336229,15
000829.SZ,1.4928633558455648,16
002108.SZ,1.487718890858313,17
002845.SZ,1.4822722268680661,18
600156.SH,1.4769958374875094,19
000530.SZ,1.4533216446497377,20
605208.SH,1.4485859550033258,21
600846.SH,1.4312411595842973,22
002242.SZ,1.4271078842929632,23
002383.SZ,1.4152891947882722,24
001330.SZ,1.4095586542907057,25
003039.SZ,1.408364975751092,26
603223.SH,1.40779124292117,27
603339.SH,1.4053663048915357,28
000936.SZ,1.4047671873721705,29
603916.SH,1.404534435811251,30
600526.SH,1.403283012761286,31
002201.SZ,1.4026765083365433,32
002300.SZ,1.3989685509671124,33
605388.SH,1.3950633475624852,34
605188.SH,1.3911848346586642,35
600103.SH,1.3885518308542015,36
002774.SZ,1.3821804570688645,37
600678.SH,1.3816148193738107,38
600538.SH,1.3799928751754018,39
002375.SZ,1.3775498755772693,40
603466.SH,1.3770031365550115,41
002458.SZ,1.36790997662387,42
603788.SH,1.3655501793865354,43
000715.SZ,1.3597716859731106,44
600133.SH,1.357923917868546,45
600081.SH,1.3573615248740392,46
601890.SH,1.3569833454633413,47
603015.SH,1.3505179156751348,48
600640.SH,1.347245179671093,49
603108.SH,1.3445214007065909,50
600191.SH,1.3361288275931342,51
601086.SH,1.3356420270439815,52
601512.SH,1.3353747751214837,53
600308.SH,1.3310761950341572,54
600433.SH,1.3281290936617187,55
603069.SH,1.3268504346450132,56
600744.SH,1.3220501752478624,57
603608.SH,1.3220298030202757,58
600203.SH,1.320006560539746,59
605007.SH,1.3089881092837026,60
002081.SZ,1.3065511173318207,61
600531.SH,1.3040937170039113,62
002722.SZ,1.3032824292742955,63
600668.SH,1.300589185809465,64
002403.SZ,1.2862068348239928,65
600261.SH,1.285206325925357,66
000819.SZ,1.2821855860061329,67
002669.SZ,1.2799685940298118,68
000802.SZ,1.277828190765831,69
000751.SZ,1.275038507036291,70
002276.SZ,1.2659796509290604,71
605158.SH,1.2603203897714674,72
002163.SZ,1.2579839456481605,73
002045.SZ,1.253884397701979,74
603336.SH,1.2536969992651952,75
605077.SH,1.2519594657255682,76
600979.SH,1.251383060016182,77
002079.SZ,1.2497467774285065,78
002286.SZ,1.2457114011523227,79
002416.SZ,1.2443868081503497,80
600215.SH,1.2425963731418883,81
603038.SH,1.2425746176009083,82
002034.SZ,1.237145245407891,83
002846.SZ,1.2308410667953826,84
002033.SZ,1.2290070970451998,85
601636.SH,1.2285190201423792,86
002212.SZ,1.2283744717903553,87
603912.SH,1.2282806910561888,88
002434.SZ,1.2204185658986626,89
603815.SH,1.2177759880309627,90
603587.SH,1.217580759613561,91
605108.SH,1.2167620285541432,92
600638.SH,1.2155391288705253,93
600446.SH,1.2076174951527985,94
001318.SZ,1.2061589469657286,95
002093.SZ,1.1787333225114305,96
603101.SH,1.1784363588450737,97
002373.SZ,1.172289463559789,98
002457.SZ,1.1716932695765125,99
002268.SZ,1.163208321770355,100
