code,factor_value,rank
002060.SZ,-0.0020778970342125815,1
600771.SH,-0.0025940798039883325,2
601789.SH,-0.00261411890432669,3
000928.SZ,-0.0037472566996408947,4
601921.SH,-0.003767284588920104,5
600395.SH,-0.004085135949849358,6
603990.SH,-0.004178743956618457,7
002419.SZ,-0.004216299076753369,8
600468.SH,-0.004280794871335283,9
605500.SH,-0.00440435170030354,10
002611.SZ,-0.004406032384650952,11
600508.SH,-0.004473877424271703,12
600320.SH,-0.004910750193818328,13
002322.SZ,-0.005016424671699161,14
000088.SZ,-0.005146828437579087,15
600056.SH,-0.0051751371847276306,16
002275.SZ,-0.005355031046166556,17
600063.SH,-0.005401939020709115,18
601222.SH,-0.005530917563838046,19
600283.SH,-0.005670664714183254,20
000885.SZ,-0.005747709493227915,21
603213.SH,-0.006142310159766787,22
601952.SH,-0.00629322685935254,23
600648.SH,-0.006407064712106734,24
603858.SH,-0.006588336619776074,25
600548.SH,-0.006602846614162472,26
600397.SH,-0.006711608101253211,27
000042.SZ,-0.006760558553408858,28
000809.SZ,-0.006805876178810627,29
002404.SZ,-0.006855068324789471,30
603058.SH,-0.0068865428334582285,31
600557.SH,-0.006902139142040447,32
000543.SZ,-0.006915537181932818,33
002941.SZ,-0.006931813685611539,34
002332.SZ,-0.00704916918658627,35
603357.SH,-0.00707625140609677,36
603551.SH,-0.007078426377305753,37
600351.SH,-0.007091502706304275,38
600959.SH,-0.007092238799020864,39
000937.SZ,-0.007136002525669124,40
600062.SH,-0.0071434245613275224,41
001369.SZ,-0.007170005312226944,42
002099.SZ,-0.007180843988652106,43
603070.SH,-0.007187806944064102,44
600810.SH,-0.0072121795232461695,45
600623.SH,-0.00731935227788747,46
603113.SH,-0.0073573976448594244,47
603237.SH,-0.00738739830860226,48
600461.SH,-0.007400313941712008,49
000731.SZ,-0.007406064924465797,50
600419.SH,-0.0074198825361336184,51
603111.SH,-0.007448787090381019,52
600108.SH,-0.0076053754765328255,53
002480.SZ,-0.007740235843099805,54
002140.SZ,-0.00774529953895358,55
600116.SH,-0.007760343182878219,56
600195.SH,-0.007761149222346111,57
601333.SH,-0.007833761544450847,58
000600.SZ,-0.007906484764929047,59
002232.SZ,-0.008001669363205451,60
603323.SH,-0.008006290118772515,61
603167.SH,-0.008077968916219784,62
002391.SZ,-0.0081568171955304,63
600928.SH,-0.008193950360240376,64
002250.SZ,-0.008353994659543553,65
000553.SZ,-0.008374191017095379,66
600908.SH,-0.008465850367382441,67
002746.SZ,-0.008476366120515305,68
600479.SH,-0.008477675824089943,69
000531.SZ,-0.008544388793652217,70
000652.SZ,-0.00856105119372204,71
600936.SH,-0.008631732190576443,72
002416.SZ,-0.008675011508227679,73
002550.SZ,-0.008711697603166996,74
603811.SH,-0.008744026075459746,75
600575.SH,-0.008797419377770371,76
600222.SH,-0.008798310808303213,77
002616.SZ,-0.008804146321034847,78
600975.SH,-0.008835558586098455,79
002571.SZ,-0.008896544112750709,80
000035.SZ,-0.008931830981284136,81
603055.SH,-0.00893919175838871,82
002563.SZ,-0.009048883609926226,83
000998.SZ,-0.009115005972846747,84
600874.SH,-0.009206671835579277,85
601326.SH,-0.00936031380684037,86
603279.SH,-0.009441325952430255,87
000650.SZ,-0.00963470676179703,88
603071.SH,-0.009637653378852997,89
002014.SZ,-0.009696140576317186,90
600682.SH,-0.00969667739005944,91
002267.SZ,-0.009740975226529348,92
002478.SZ,-0.009813189425216218,93
603218.SH,-0.009847801974879207,94
000848.SZ,-0.009928387980315017,95
603586.SH,-0.009945915420482798,96
000919.SZ,-0.009948876132724781,97
601065.SH,-0.009999323141810049,98
600742.SH,-0.010021443610141154,99
603020.SH,-0.01002501714600463,100
