code,factor_value,rank
600698.SH,0.11743156506798211,1
603213.SH,0.11524751342377738,2
600681.SH,0.1028539855358973,3
000809.SZ,0.09756087438779147,4
600528.SH,0.09625669530592451,5
002035.SZ,0.0898380491293581,6
000753.SZ,0.08861085822246717,7
000965.SZ,0.08838446887433017,8
601368.SH,0.08821186076227712,9
002367.SZ,0.08792165935221474,10
002644.SZ,0.08698672473286054,11
002616.SZ,0.08682760981153316,12
000631.SZ,0.08641056569640956,13
002526.SZ,0.08490420682510107,14
600121.SH,0.08472130022911109,15
603387.SH,0.08350313643523621,16
603628.SH,0.0832369431567349,17
603817.SH,0.08305984850353534,18
600207.SH,0.08126226280987353,19
000045.SZ,0.08020194723016406,20
600617.SH,0.07890790004889846,21
001213.SZ,0.07835856829373809,22
000509.SZ,0.07804542637828295,23
000572.SZ,0.07752963530859742,24
600548.SH,0.07696278014187448,25
002109.SZ,0.07614736933633075,26
000553.SZ,0.07402501803341481,27
000014.SZ,0.07373943463652778,28
603366.SH,0.0735865067420694,29
601326.SH,0.07349311541056236,30
601033.SH,0.07180200087297187,31
601827.SH,0.07098410669454255,32
600354.SH,0.06954039190406008,33
605050.SH,0.06920905270033367,34
002479.SZ,0.06910671511765884,35
600792.SH,0.06876127564931343,36
600756.SH,0.06852832700193166,37
600250.SH,0.06826115042263853,38
600163.SH,0.0677656344411755,39
002218.SZ,0.06748171432407259,40
000789.SZ,0.06703329531481253,41
002761.SZ,0.06690660770930452,42
603759.SH,0.06637274151867666,43
000516.SZ,0.06597490619543687,44
002543.SZ,0.06508583162313737,45
600495.SH,0.06410434053712435,46
600508.SH,0.06397385247723379,47
600682.SH,0.0637559817523305,48
002445.SZ,0.062297258027516816,49
601908.SH,0.06162176739729385,50
603421.SH,0.06124149441293483,51
000670.SZ,0.060498061338278925,52
002053.SZ,0.06048878436834362,53
600746.SH,0.06038975906213483,54
002309.SZ,0.059798063281995814,55
600997.SH,0.059676821914245615,56
601015.SH,0.05949712112270719,57
000507.SZ,0.05859212728064804,58
600313.SH,0.058567968348825834,59
600724.SH,0.05801261439065563,60
600502.SH,0.05790058392157111,61
000592.SZ,0.05782034969125793,62
601011.SH,0.05726117194916718,63
603863.SH,0.05661735101931573,64
603258.SH,0.05555737820519686,65
600505.SH,0.05526852051019349,66
000695.SZ,0.0548402012453077,67
001376.SZ,0.05451080546477295,68
600408.SH,0.0542917369673446,69
000677.SZ,0.053709878135416805,70
603053.SH,0.05350386210037472,71
002096.SZ,0.053488595348138185,72
603122.SH,0.053355441647334544,73
002298.SZ,0.0531409677892515,74
603949.SH,0.05303376727212438,75
000905.SZ,0.05292115070603466,76
002068.SZ,0.052862992874296584,77
002675.SZ,0.05281346634113691,78
002160.SZ,0.0523934864910401,79
002575.SZ,0.051904188415374704,80
001236.SZ,0.05168806711874968,81
000505.SZ,0.05146580989334215,82
000993.SZ,0.0511964679835495,83
600129.SH,0.05089219147313078,84
600643.SH,0.050822129194761693,85
002275.SZ,0.05075351007585061,86
600758.SH,0.05072592328526634,87
603639.SH,0.05070628377965633,88
000930.SZ,0.050686033618090626,89
603520.SH,0.05030316360844786,90
000401.SZ,0.04970202333473712,91
603229.SH,0.04969583060464731,92
600167.SH,0.04879147542408365,93
600812.SH,0.048755168377888916,94
002038.SZ,0.04829205478318816,95
002587.SZ,0.04817845006377008,96
600033.SH,0.04804453225220173,97
605169.SH,0.04789120708865483,98
002382.SZ,0.047713808040545994,99
000048.SZ,0.047439643178811414,100
