code,factor_value,rank
002507.SZ,-0.011907757426924317,1
603310.SH,-0.013998463811565231,2
601966.SH,-0.014032601369582504,3
600197.SH,-0.014535529399420993,4
001391.SZ,-0.014844641257654723,5
002561.SZ,-0.015087010682782105,6
000563.SZ,-0.015345414512299899,7
002061.SZ,-0.01565937521414938,8
603801.SH,-0.016541567599571858,9
600597.SH,-0.016642710446137913,10
000860.SZ,-0.01679056367631509,11
600248.SH,-0.016885360903832088,12
600718.SH,-0.016961389465418832,13
603711.SH,-0.016988859720451173,14
603648.SH,-0.017032483355502656,15
603368.SH,-0.01726199518470337,16
600059.SH,-0.017418835890861132,17
600035.SH,-0.017419214332315774,18
001318.SZ,-0.017553754809508704,19
603167.SH,-0.01768772392452714,20
600138.SH,-0.017796506187361425,21
600859.SH,-0.018485084505226724,22
000088.SZ,-0.01848691741830685,23
600155.SH,-0.018619106970143257,24
603866.SH,-0.01865052616191333,25
003037.SZ,-0.019097380690949666,26
601528.SH,-0.019207529327528058,27
000900.SZ,-0.019571769817165022,28
600861.SH,-0.01959060460818203,29
600368.SH,-0.01983636815184808,30
002332.SZ,-0.019844479676480797,31
002568.SZ,-0.02006976900882439,32
601065.SH,-0.02011002275218653,33
600073.SH,-0.020263230999543566,34
000557.SZ,-0.020389686577920046,35
601375.SH,-0.020683712714591167,36
605337.SH,-0.020878610300556214,37
600587.SH,-0.020932149407428432,38
603128.SH,-0.020940184840401485,39
603043.SH,-0.021028793486547893,40
600283.SH,-0.021089054536545887,41
601163.SH,-0.021094856106195967,42
601566.SH,-0.021141801084644352,43
600006.SH,-0.02130949730207293,44
600824.SH,-0.02131246676112848,45
002344.SZ,-0.021545533090116066,46
603357.SH,-0.02171220474628658,47
600326.SH,-0.02178513782687666,48
603990.SH,-0.02186850154505118,49
600305.SH,-0.021987073791770978,50
000541.SZ,-0.0221560491607289,51
003012.SZ,-0.022172861256047904,52
603719.SH,-0.022201262218459156,53
600662.SH,-0.02222374824985735,54
600335.SH,-0.022271276542842076,55
600199.SH,-0.02230974242287058,56
002727.SZ,-0.02239403989699603,57
603518.SH,-0.022491151088405655,58
002641.SZ,-0.02258007803676837,59
600790.SH,-0.022610177172247004,60
600055.SH,-0.022633506893479316,61
600630.SH,-0.022649276314593278,62
600628.SH,-0.022687549539454035,63
605300.SH,-0.022761472371891876,64
603107.SH,-0.022861388203275483,65
603439.SH,-0.02291599208512533,66
002282.SZ,-0.022967235454184123,67
000589.SZ,-0.02299399602924298,68
600020.SH,-0.023026197178887344,69
603848.SH,-0.023512711564118494,70
600210.SH,-0.023545810939645036,71
000012.SZ,-0.023674208557874835,72
002646.SZ,-0.02379653900389579,73
600728.SH,-0.023864059114249683,74
600830.SH,-0.02397908420295392,75
601968.SH,-0.02419628974741808,76
603065.SH,-0.024387939825977787,77
600908.SH,-0.024546838719224057,78
600425.SH,-0.02459100672946538,79
000089.SZ,-0.024731379149338113,80
603566.SH,-0.02474804712619671,81
601500.SH,-0.024869736914949193,82
603970.SH,-0.02487348867179807,83
002385.SZ,-0.025029195098900614,84
002233.SZ,-0.02507642227661182,85
002186.SZ,-0.025115974727208456,86
601156.SH,-0.025182083135570892,87
002154.SZ,-0.02518554899280506,88
603811.SH,-0.025283562393184883,89
600789.SH,-0.025317057404446335,90
000411.SZ,-0.025322889913061013,91
603987.SH,-0.025330418254927725,92
002098.SZ,-0.025361010653053646,93
603323.SH,-0.025468827001094315,94
601921.SH,-0.025518303461662336,95
600217.SH,-0.025576192874523666,96
000058.SZ,-0.025670129558812198,97
002404.SZ,-0.025710535571552423,98
601949.SH,-0.025710774096476183,99
603858.SH,-0.025712773142584754,100
