code,factor_value,rank
002507.SZ,-0.011907757426924317,1
603310.SH,-0.013998463811565231,2
601966.SH,-0.014032601369582504,3
600197.SH,-0.014535529399420993,4
001391.SZ,-0.014844641257654723,5
002561.SZ,-0.015087010682782105,6
000563.SZ,-0.015345414512299899,7
002061.SZ,-0.01565937521414938,8
603801.SH,-0.016541567599571858,9
600597.SH,-0.016642710446137913,10
000860.SZ,-0.01679056367631509,11
600248.SH,-0.016885360903832088,12
600718.SH,-0.016961389465418832,13
603711.SH,-0.016988859720451173,14
603648.SH,-0.017032483355502656,15
603368.SH,-0.01726199518470337,16
600059.SH,-0.017418835890861132,17
600035.SH,-0.017419214332315774,18
001318.SZ,-0.017553754809508704,19
603167.SH,-0.01768772392452714,20
600138.SH,-0.017796506187361425,21
600859.SH,-0.018485084505226724,22
000088.SZ,-0.01848691741830685,23
600155.SH,-0.018619106970143257,24
603866.SH,-0.01865052616191333,25
003037.SZ,-0.019097380690949666,26
601528.SH,-0.019207529327528058,27
000900.SZ,-0.019571769817165022,28
600861.SH,-0.01959060460818203,29
600368.SH,-0.01983636815184808,30
002332.SZ,-0.019844479676480797,31
002568.SZ,-0.02006976900882439,32
601065.SH,-0.02011002275218653,33
600073.SH,-0.020263230999543566,34
000557.SZ,-0.020389686577920046,35
601375.SH,-0.020683712714591167,36
605337.SH,-0.020878610300556214,37
600587.SH,-0.020932149407428432,38
603128.SH,-0.020940184840401485,39
603043.SH,-0.021028793486547893,40
600283.SH,-0.021089054536545887,41
601163.SH,-0.021094856106195967,42
601566.SH,-0.021141801084644352,43
600006.SH,-0.02130949730207293,44
600824.SH,-0.02131246676112848,45
002344.SZ,-0.021545533090116066,46
603357.SH,-0.02171220474628658,47
600326.SH,-0.02178513782687666,48
603990.SH,-0.02186850154505118,49
600305.SH,-0.021987073791770978,50
