date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0000000003
2024-12-03,1022039.1206278463
2024-12-04,1001375.561549401
2024-12-05,1016802.1308713518
2024-12-06,1006722.6909004796
2024-12-09,1011270.0991319256
2024-12-10,1007526.1124166506
2024-12-11,1035124.4554447981
2024-12-12,1047934.621661639
2024-12-13,1035743.2800969456
2024-12-16,1032677.8993007882
2024-12-17,979472.1619845335
2024-12-18,970310.749827812
2024-12-19,958579.0826123799
2024-12-20,966674.4357580804
2024-12-23,918908.5612810105
2024-12-24,922826.5045787387
2024-12-25,894568.5869200479
2024-12-26,900506.8387267161
2024-12-27,908353.1049582798
2024-12-30,894308.8587280541
2024-12-31,883495.8618325589
2025-01-02,892639.5012101157
2025-01-03,847030.7348413407
2025-01-06,834848.0358882671
2025-01-07,867137.0639797013
2025-01-08,884934.4339524938
2025-01-09,891751.4700146747
2025-01-10,857249.1840913467
2025-01-13,856539.2814342896
2025-01-14,905363.2167415586
2025-01-15,908067.6130549844
2025-01-16,916135.5688015542
2025-01-17,914182.0611901272
2025-01-20,920915.7518276847
2025-01-21,923789.2750507006
2025-01-22,917190.4202838705
2025-01-23,909130.99565118
2025-01-24,909528.5752529637
2025-01-27,889917.0747267313
2025-02-05,902247.9447058229
2025-02-06,919942.6661837157
2025-02-07,932020.2832807539
2025-02-10,960630.5376002374
2025-02-11,958565.4275551402
2025-02-12,980210.3647539295
2025-02-13,982989.1579887619
2025-02-14,966908.3200560708
2025-02-17,983973.8673601996
2025-02-18,949285.1619374943
2025-02-19,966302.2980216143
2025-02-20,974658.2591377605
2025-02-21,971153.3590806979
