code,factor_value,rank
002060.SZ,-0.0020778970342125815,1
600771.SH,-0.0025940798039883325,2
601789.SH,-0.00261411890432669,3
000928.SZ,-0.0037472566996408947,4
601921.SH,-0.003767284588920104,5
600395.SH,-0.004085135949849358,6
603990.SH,-0.004178743956618457,7
002419.SZ,-0.004216299076753369,8
600468.SH,-0.004280794871335283,9
605500.SH,-0.00440435170030354,10
002611.SZ,-0.004406032384650952,11
600508.SH,-0.004473877424271703,12
600320.SH,-0.004910750193818328,13
002322.SZ,-0.005016424671699161,14
000088.SZ,-0.005146828437579087,15
600056.SH,-0.0051751371847276306,16
002275.SZ,-0.005355031046166556,17
600063.SH,-0.005401939020709115,18
601222.SH,-0.005530917563838046,19
600283.SH,-0.005670664714183254,20
