date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.000000005
2024-12-03,1005364.8096337405
2024-12-04,990873.4546971045
2024-12-05,1000462.9186179099
2024-12-06,1011870.9163963947
2024-12-09,1008940.6122026974
2024-12-10,1015607.3498090989
2024-12-11,1033641.0939708726
2024-12-12,1049519.442224356
2024-12-13,1026748.2499357967
2024-12-16,1017789.9196403311
2024-12-17,996487.0671928086
2024-12-18,1002011.0556483852
2024-12-19,1000324.0412153758
2024-12-20,999917.0743515596
2024-12-23,977247.5895037631
2024-12-24,984902.3064909882
2024-12-25,961686.0699419276
2024-12-26,968476.9767131297
2024-12-27,984908.9286017338
2024-12-30,976274.3881051138
2024-12-31,958489.8254554115
2025-01-02,950603.4985853208
2025-01-03,907232.0463502718
2025-01-06,902562.4631830188
2025-01-07,930544.0972308154
2025-01-08,936859.7920260269
2025-01-09,947527.3789418574
2025-01-10,917141.270038593
2025-01-13,920841.8834482626
2025-01-14,971482.4865461831
2025-01-15,977993.6130115363
2025-01-16,991218.1866647106
2025-01-17,984327.7928930739
2025-01-20,995228.0316072623
2025-01-21,986753.1281900655
2025-01-22,971184.8508874642
2025-01-23,969953.4072277658
2025-01-24,980954.1514644157
2025-01-27,974073.682072799
2025-02-05,984615.142058962
2025-02-06,1002262.0323825896
2025-02-07,1021289.0384971199
2025-02-10,1044247.1253773244
2025-02-11,1042335.2222535526
2025-02-12,1047680.9349340788
2025-02-13,1045843.5450981673
2025-02-14,1039163.3683399601
2025-02-17,1044405.2460016911
2025-02-18,1026765.7818816894
2025-02-19,1036325.9321079772
2025-02-20,1041464.4716036888
