,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,861256.0644051856
Total Return [%],-13.874393559481444
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.0000000000026
Total Fees Paid,0.0
Max Drawdown [%],26.206103397579376
Max Drawdown Duration,329 days 00:00:00
Total Trades,3844
Total Closed Trades,3824
Total Open Trades,20
Open Trade PnL,-15345.617234380625
Win Rate [%],57.34832635983263
Best Trade [%],44.07894736842109
Worst Trade [%],-27.309540840735718
Avg Winning Trade [%],3.603029668385196
Avg Losing Trade [%],-3.0898920352947274
Avg Winning Trade Duration,3 days 02:00:09.849521203
Avg Losing Trade Duration,3 days 18:47:46.542056074
Profit Factor,0.9090885191132845
Expectancy,-38.019475655983
Sharpe Ratio,-0.39173085215887415
Calmar Ratio,-0.5376275395733205
Omega Ratio,0.9414828283430583
Sortino Ratio,-0.49820859612137386
