date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0
2024-12-03,1000000.0
2024-12-04,1000000.0
2024-12-05,1000000.0
2024-12-06,1000000.0
2024-12-09,1000000.0
2024-12-10,1007261.2280098159
2024-12-11,1019486.8832060781
2024-12-12,1037689.2075518705
2024-12-13,1032364.4709568179
2024-12-16,1025194.3692932839
2024-12-17,991434.1866382443
2024-12-18,992633.4528548635
2024-12-19,986627.4757749193
2024-12-20,971302.2056620402
2024-12-23,940879.1523144318
2024-12-24,947383.2237959065
2024-12-25,934741.3502500597
2024-12-26,1036738.1291703198
2024-12-27,1059533.2287466654
2024-12-30,1111640.612164774
2024-12-31,1098855.9066841907
2025-01-02,1086244.2251959664
2025-01-03,1072354.2923996001
2025-01-06,1079534.976624267
2025-01-07,1079145.599061746
2025-01-08,1074697.324807596
2025-01-09,1064740.1198895194
2025-01-10,1047131.2246466433
2025-01-13,1050332.0312581565
2025-01-14,1101333.7092874292
2025-01-15,1106001.531538314
2025-01-16,1110151.5569805966
2025-01-17,1117467.311652875
2025-01-20,1135524.7599894
2025-01-21,1132824.6781792638
2025-01-22,1120172.489907526
2025-01-23,1120748.3837397252
2025-01-24,1139024.1418906997
2025-01-27,1140791.169606766
2025-02-05,1132104.643325435
2025-02-06,1141982.4639769224
2025-02-07,1155660.3015402635
2025-02-10,1175441.0666548437
2025-02-11,1171239.959876462
2025-02-12,1180690.394314644
2025-02-13,1168344.723944996
2025-02-14,1165888.3825130574
2025-02-17,1167951.7813322071
2025-02-18,1164738.5246342276
2025-02-19,1196714.155443524
2025-02-20,1199439.9445283161
