date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.000000005
2024-11-19,1019598.0444280797
2024-11-20,1049052.6149912954
2024-11-21,1053718.9960459159
2024-11-22,1025078.7385645246
2024-11-25,1029777.5549887758
2024-11-26,1014719.7322809304
2024-11-27,1027603.6052917154
2024-11-28,1033199.4008737027
2024-11-29,1046199.5742070072
2024-12-02,1076926.9456073265
2024-12-03,1085482.4046334673
2024-12-04,1065226.5692078425
2024-12-05,1086550.465956974
2024-12-06,1101347.5979752652
2024-12-09,1097448.5260560927
2024-12-10,1110212.3175176973
2024-12-11,1137961.4238772693
2024-12-12,1153073.871095986
2024-12-13,1138807.8318570391
2024-12-16,1131572.30801646
2024-12-17,1078793.4559493049
2024-12-18,1081086.4016559385
2024-12-19,1072021.2949798577
2024-12-20,1079255.7171104336
2024-12-23,1022364.7841070185
2024-12-24,1025519.1333593273
2024-12-25,995655.1805560513
2024-12-26,1015032.0666751168
2024-12-27,1023786.260358683
2024-12-30,1006275.5777269498
2024-12-31,978921.7879461659
2025-01-02,970901.7833162218
2025-01-03,921040.9924678414
2025-01-06,906892.0905359099
2025-01-07,925945.2588303004
2025-01-08,930167.9942093291
2025-01-09,934823.9092469618
2025-01-10,899217.5381357876
2025-01-13,891033.8647675414
2025-01-14,939860.955196898
2025-01-15,941454.8673296401
2025-01-16,954374.4586481908
2025-01-17,946003.394829916
2025-01-20,953956.2549220788
2025-01-21,950327.8125178714
2025-01-22,935402.5231508111
2025-01-23,930570.9132974423
2025-01-24,937312.4012577434
2025-01-27,916986.3227620331
2025-02-05,930190.6391064812
2025-02-06,956527.6396628271
2025-02-07,974980.9518444128
2025-02-10,997191.7694155589
2025-02-11,1000905.8477213524
2025-02-12,1016498.6874017572
2025-02-13,1012082.7159066185
2025-02-14,1005740.3503340773
2025-02-17,1020830.8732016098
2025-02-18,989104.6931991713
