date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0
2024-12-03,1000000.0
2024-12-04,1000000.0
2024-12-05,1000000.0
2024-12-06,1000000.0
2024-12-09,1000000.0
2024-12-10,1000000.0
2024-12-11,1000000.0
2024-12-12,1000000.0
2024-12-13,1000000.0
2024-12-16,1000000.000000005
2024-12-17,947565.20433612
2024-12-18,948497.8730304048
2024-12-19,937557.319394118
2024-12-20,945320.4032858246
2024-12-23,890709.1067548078
2024-12-24,890650.173237865
2024-12-25,862012.930246783
2024-12-26,874193.4373965863
2024-12-27,883181.6241016341
2024-12-30,869360.4803531319
2024-12-31,849769.9565608593
2025-01-02,850967.0899890759
2025-01-03,805135.5860624649
2025-01-06,785733.2994330351
2025-01-07,806700.105437774
2025-01-08,815656.9369810587
2025-01-09,821973.2169246298
2025-01-10,787932.5718986846
2025-01-13,783736.304420556
2025-01-14,830695.1208536904
2025-01-15,835632.0909481014
2025-01-16,847727.9787580573
2025-01-17,837132.9708934863
2025-01-20,845211.9321394159
2025-01-21,842119.8636556768
2025-01-22,825048.911297377
2025-01-23,819888.9545503844
2025-01-24,826761.4372123105
2025-01-27,808599.8584450572
2025-02-05,819118.8568061771
2025-02-06,841019.5165352364
2025-02-07,856473.1683824572
2025-02-10,878969.629078481
2025-02-11,881664.7771329047
2025-02-12,895500.5609886488
2025-02-13,890333.6416118364
2025-02-14,881469.0703508562
2025-02-17,898661.1469541517
2025-02-18,871575.0655956109
2025-02-19,891241.8662065783
2025-02-20,900649.7867675952
2025-02-21,904575.349815259
2025-02-24,910055.1215238012
2025-02-25,910509.690443502
