,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,-0.33884686730445807,-0.48842684583315277,-0.06726862844854264
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,0.12011169666262013,0.1889815574693829,0.03719190070226785
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.046931070429250474,-0.026636943612076323,-0.003132003064412116
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.06245852132384767,-0.11245012699500534,-0.005850804355855569
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.1096258748802522,0.029484694982068783,0.02323122344751466
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.43859520635165355,-0.4676784514390896,-0.08816941854704477
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.1543837444457004,-0.3091072420784409,-0.031613993742577576
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.26069063636598566,-0.4469003803043835,-0.04503844070225729
20241231,,,
20250102,,,
20250103,,,
20250106,0.022213856058739354,0.18768142411238475,0.016856441546124132
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,0.1464400764460298,0.2895492292451772,0.028731613068604146
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.3856987252394977,-0.4419724484288956,-0.0472572806785123
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,0.13027038318689346,0.3241558287338692,0.01701004157732434
20250205,0.260971140708376,0.38270291556039243,0.03812599335143657
20250206,,,
20250207,,,
20250210,0.15254107105381137,0.10477600710326634,0.020486884484061232
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.039576036379234195,0.020391726210590436,0.015003035702593258
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.21712851097520589,-0.3018975244924816,-0.024077503377180867
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.26247132909582144,0.21627329113717922,0.034469443887981115
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.15271013973209302,-0.29733203515729445,-0.026975738839974582
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.20152493498741847,-0.38328185723792607,-0.040161664924204366
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.27995706733845027,-0.3424278740288697,-0.035386815593046184
