,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,796773.0952163858
Total Return [%],-20.322690478361423
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000095
Total Fees Paid,0.0
Max Drawdown [%],27.23203266678852
Max Drawdown Duration,329 days 00:00:00
Total Trades,44383
Total Closed Trades,44123
Total Open Trades,260
Open Trade PnL,10083.06184962008
Win Rate [%],63.97570428121387
Best Trade [%],231.68302160124688
Worst Trade [%],-38.02714777846475
Avg Winning Trade [%],12.669950974203148
Avg Losing Trade [%],-5.647151456925453
Avg Winning Trade Duration,13 days 07:07:41.669264560
Avg Losing Trade Duration,9 days 09:29:37.215189873
Profit Factor,0.8117927366893156
Expectancy,-4.988885185256599
Sharpe Ratio,-0.605787165656471
Calmar Ratio,-0.7573672305282506
Omega Ratio,0.9175898668293068
Sortino Ratio,-0.7698045856356995
