,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1000000.0
Total Return [%],0.0
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],0.0
Total Fees Paid,0.0
Max Drawdown [%],
Max Drawdown Duration,
Total Trades,0
Total Closed Trades,0
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,inf
Calmar Ratio,
Omega Ratio,inf
Sortino Ratio,inf
