,IC,RankIC,RR
20241101,,,
20241104,0.10891813313145428,-0.07070798450930024,-0.007702640597683372
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,-0.016574321037969145,-0.06298599011492367,-0.008452135739059258
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,0.09966003358785601,-0.03642459207048414,0.007554918659239025
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.052358007099268716,-0.005562540853068348,0.0006233761619291386
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,0.13022574582794946,0.08268762937963572,0.011675147941001773
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.07293390235757762,-0.00096637870565386,-0.00868643441357514
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.020500878033847154,-0.08445280590189014,-0.016968302750307293
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,0.06914992868532337,0.12420427775782808,0.017146517248247155
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,0.08694849523427908,0.090710811114253,0.018878211313426874
20241231,,,
20250102,,,
20250103,,,
20250106,0.03705721906727343,-0.04764978960394132,-0.0036413910926811205
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.06052010671279863,-0.2058458601452342,-0.020324300978306953
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,0.15661298205986215,0.02130966773595363,0.010056199695357364
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,0.1952387457549103,0.17113910668463145,0.015223166360508859
20250205,0.28406122222750707,0.28008326589553817,0.03653841564700105
20250206,,,
20250207,,,
20250210,0.2116961436473471,0.07755933767362608,0.014031980548307933
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.092430735812453,0.03366434578055288,0.00663077183364737
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,0.04986607893613184,0.04531017040108899,0.017092319499718768
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,-0.053439904045366006,0.03114303337116215,0.0027975269319612493
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,0.025149715035160985,0.011425834837121967,0.005468387955775419
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.1433279572853648,0.08295723691484708,0.017230183324505825
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.006096329448598586,0.01486399468665434,-0.0038710529227707
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,0.08192016759222213,0.13049758290492666,0.0132999482709808
20250401,,,
20250402,,,
20250403,,,
20250407,0.2350390545215064,0.2792997214675789,0.041161645901044486
20250408,,,
20250409,,,
20250410,,,
20250411,,,
20250414,0.05347773915735903,0.0946119709923947,0.004518360573311473
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,0.04253741188377154,0.11497624219216192,0.009445410491323008
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,0.022448556287900726,-0.038550464338792716,-0.005504841600861014
20250429,,,
20250430,,,
20250506,0.184587726771328,0.09519789509695284,0.013509124153348496
20250507,,,
20250508,,,
20250509,,,
20250512,-0.01601290890065039,-0.13618095297143262,-0.011696024660072463
20250513,,,
20250514,,,
20250515,,,
20250516,,,
20250519,0.024744400446198935,0.032933182621561835,0.009420813999455538
20250520,,,
20250521,,,
20250522,,,
20250523,,,
20250526,0.008857876045778637,0.014352189336512064,-0.0011646567962892498
20250527,,,
20250528,,,
20250529,,,
20250530,,,
20250603,0.15371332256032272,0.061740834854579825,0.00953387561232883
20250604,,,
20250605,,,
20250606,,,
20250609,0.11022654109088427,0.045268653567209396,0.0059855062591625645
20250610,,,
20250611,,,
20250612,,,
20250613,,,
20250616,0.24457859388447203,0.16431542349012987,0.02648291152503381
20250617,,,
20250618,,,
20250619,,,
20250620,,,
20250623,-0.16268752156817598,-0.24786155430745918,-0.02627639502293208
20250624,,,
20250625,,,
20250626,,,
20250627,,,
20250630,0.04173431539616388,-0.020656076761537696,-0.00032845551837734806
20250701,,,
20250702,,,
20250703,,,
20250704,,,
20250707,0.03584814787018384,0.002597611862469362,-0.0032606712815121085
20250708,,,
20250709,,,
20250710,,,
20250711,,,
20250714,0.1822350255703725,0.11465527078274654,0.013672026542761059
20250715,,,
20250716,,,
20250717,,,
20250718,,,
20250721,0.12242524813457442,-0.034751351602716654,0.0013485930031139374
20250722,,,
20250723,,,
20250724,,,
20250725,,,
20250728,0.0883833453430226,0.10438648907316807,0.009755872350122543
20250729,,,
20250730,,,
20250731,,,
20250801,,,
20250804,0.0035401033607168615,0.010151758102005201,0.0029574004193018318
20250805,,,
20250806,,,
20250807,,,
20250808,,,
20250811,-0.029765586555259425,-0.06879131602952912,-0.0048352091748958825
20250812,,,
20250813,,,
20250814,,,
20250815,,,
20250818,-0.005165342367191853,-0.03457527985158285,-0.004267705932957822
20250819,,,
20250820,,,
20250821,,,
20250822,,,
20250825,-0.007011829773968047,0.03180629535828429,-0.000525113971316285
20250826,,,
20250827,,,
20250828,,,
20250829,,,
20250901,-0.027936284699188154,-0.03498651703629241,-0.002182805980131399
20250902,,,
20250903,,,
20250904,,,
20250905,,,
20250908,0.011371561352964831,-0.02985503246315261,-0.0023755931500268656
20250909,,,
20250910,,,
20250911,,,
20250912,,,
20250915,0.1201093820534526,0.09804327448673948,0.017841521707764197
20250916,,,
20250917,,,
20250918,,,
20250919,,,
20250922,0.05844009152467658,0.02687267284468605,0.006932738945870638
20250923,,,
20250924,,,
20250925,,,
20250926,,,
20250929,0.11653096061481923,0.09060908505171902,0.011579259872436368
20250930,,,
20251009,0.14774429084426816,-0.0018658073927694714,0.0011148419736120756
20251010,,,
20251013,0.20146137595735003,0.28293394686585743,0.02879248923632086
20251014,,,
20251015,,,
20251016,,,
20251017,,,
20251020,0.12180047188911307,0.16155408643492652,0.021280484562263266
20251021,,,
20251022,,,
20251023,,,
20251024,,,
20251027,0.06294697674166458,0.04301567087186194,0.010097381136103006
20251028,,,
20251029,,,
20251030,,,
20251031,,,
20251103,0.10518128135998246,0.056253863507785086,0.008565040763186905
20251104,,,
20251105,,,
20251106,,,
20251107,,,
20251110,-0.03887500268584482,-0.03964558115969494,-0.010588118824522028
20251111,,,
20251112,,,
20251113,,,
20251114,,,
20251117,-0.03594195393979181,0.015594524590671208,0.0016174866338411753
20251118,,,
20251119,,,
20251120,,,
20251121,,,
20251124,0.025815164501262082,0.13723367247166252,0.012025117078192569
20251125,,,
20251126,,,
20251127,,,
20251128,,,
20251201,0.01038611992025108,0.03447292547136477,0.00658415601736504
20251202,,,
20251203,,,
20251204,,,
20251205,,,
20251208,0.15558437041971535,0.013554674312381654,0.012576209277409435
20251209,,,
20251210,,,
20251211,,,
20251212,,,
20251215,-0.009075135030729906,0.08257321433640226,0.015937565919787882
20251216,,,
20251217,,,
20251218,,,
20251219,,,
20251222,0.2665237874010468,0.19187062041661648,0.029833634013798824
20251223,,,
20251224,,,
20251225,,,
20251226,,,
20251229,0.1733049695432514,0.04688261600482118,0.010556717501898693
20251230,,,
20251231,,,
20260105,0.12980763481674648,0.080205564875243,0.01553439106237095
20260106,,,
20260107,,,
20260108,,,
20260109,,,
20260112,-0.22042390295316971,-0.13071748937389094,-0.021358121901102135
20260113,,,
20260114,,,
20260115,,,
20260116,,,
20260119,0.01937408597103783,0.010154804997433958,0.005376793859245117
20260120,,,
20260121,,,
20260122,,,
20260123,,,
20260126,-0.01572304776055156,-0.13084081717794235,-0.008173158648524019
20260127,,,
20260128,,,
20260129,,,
20260130,,,
20260202,0.06563455232242817,-0.05123835143494782,-0.002925064806855046
20260203,,,
20260204,,,
20260205,,,
20260206,,,
20260209,0.15181310505796503,0.16524613004027705,0.02005585175024996
20260210,,,
20260211,,,
20260212,,,
20260213,,,
20260224,0.23117766455509375,0.1584555768591571,0.03009303389457272
20260225,,,
20260226,,,
20260227,,,
20260302,0.04796189250782311,0.024647241253921467,-0.0003296468419703522
20260303,,,
20260304,,,
20260305,,,
20260306,,,
20260309,0.09093619477592203,0.10540400773849658,0.011029960970391786
20260310,,,
20260311,,,
20260312,,,
20260313,,,
20260316,0.060223651950153244,0.018838138137166612,0.009213440372812992
20260317,,,
20260318,,,
20260319,,,
20260320,,,
20260323,-0.05592633745978435,-0.0646973925561475,-0.008909977091622369
20260324,,,
20260325,,,
20260326,,,
20260327,,,
20260330,0.07723064179894698,0.1371205903387645,0.020008730314941086
20260331,,,
20260401,,,
20260402,,,
20260403,,,
20260407,0.053541483794235616,0.08273072583247572,0.009190949753153004
20260408,,,
20260409,,,
20260410,,,
20260413,-0.11615249124828404,-0.20501003831963802,-0.03217294204773936
20260414,,,
20260415,,,
20260416,,,
20260417,,,
20260420,,,
20260421,,,
20260422,,,
20260423,,,
20260424,,,
