date,equity
2024-11-01,1000000.0
2024-11-04,1022092.6948662641
2024-11-05,1059734.336471003
2024-11-06,1068342.1342743535
2024-11-07,1088033.0123679405
2024-11-08,1117931.933471889
2024-11-11,1132386.7421377632
2024-11-12,1143690.0208415648
2024-11-13,1134804.9976186545
2024-11-14,1108898.207345265
2024-11-15,1084241.1657034794
2024-11-18,1088357.3761861247
2024-11-19,1115359.1676279765
2024-11-20,1148363.2985853883
2024-11-21,1169329.0169745095
2024-11-22,1176171.1172888326
2024-11-25,1188254.9510028134
2024-11-26,1201115.8587230039
2024-11-27,1199749.5339635662
2024-11-28,1193822.2579239588
2024-11-29,1197300.7733683253
2024-12-02,1216349.1173618634
2024-12-03,1258374.0807206312
2024-12-04,1289014.483403065
2024-12-05,1315164.6617588494
2024-12-06,1343899.5344479422
2024-12-09,1309677.1289797868
2024-12-10,1328160.963076268
2024-12-11,1321696.8678712188
2024-12-12,1324791.969560241
2024-12-13,1378550.5764583952
2024-12-16,1391375.28829543
2024-12-17,1382898.714036166
2024-12-18,1391751.0430867663
2024-12-19,1371923.7468859574
2024-12-20,1356149.0993508548
2024-12-23,1331146.1516796362
2024-12-24,1334359.0926295663
2024-12-25,1325901.8505804755
2024-12-26,1311950.8687084054
2024-12-27,1319470.086991756
2024-12-30,1301618.8628663977
2024-12-31,1294233.0175951547
2025-01-02,1271481.670388361
2025-01-03,1271639.6354801084
2025-01-06,1272071.816670898
2025-01-07,1285034.87107844
2025-01-08,1284677.2755623606
2025-01-09,1263817.5404397084
2025-01-10,1238977.9071976985
2025-01-13,1233901.2564472356
2025-01-14,1271955.8307421189
2025-01-15,1264611.4301072508
2025-01-16,1271879.1906316099
2025-01-17,1271786.9105911888
2025-01-20,1263852.9737987882
2025-01-21,1274087.6282988023
2025-01-22,1271290.3378598138
2025-01-23,1254085.2006683308
2025-01-24,1242926.3464937382
2025-01-27,1254842.1846765792
2025-02-05,1245409.4363780655
2025-02-06,1262712.9581720368
2025-02-07,1284502.3422218636
2025-02-10,1314371.731931042
2025-02-11,1346978.1046703001
2025-02-12,1355900.036058986
2025-02-13,1361411.7629488069
2025-02-14,1364872.4855134476
2025-02-17,1383065.1582222972
2025-02-18,1385368.8214314193
2025-02-19,1396086.2331345598
2025-02-20,1395315.6097399744
2025-02-21,1398289.6569337985
2025-02-24,1408301.5219389575
2025-02-25,1416572.960283858
2025-02-26,1446315.597774884
2025-02-27,1438005.500809047
2025-02-28,1405292.7825758161
2025-03-03,1381596.256752613
2025-03-04,1386262.5289977395
2025-03-05,1385308.8178486258
2025-03-06,1399575.1222933752
2025-03-07,1385222.126999642
2025-03-10,1390610.0508289495
2025-03-11,1418932.5166012228
2025-03-12,1436560.898038027
2025-03-13,1467020.4831646215
2025-03-14,1489259.9052153688
2025-03-17,1487610.807197999
2025-03-18,1516362.3098623075
2025-03-19,1509204.5233281162
2025-03-20,1515872.686979354
2025-03-21,1489636.099542222
2025-03-24,1488490.7223666701
2025-03-25,1497453.5945240804
2025-03-26,1502969.5228962437
2025-03-27,1483105.2140036845
2025-03-28,1457987.5505277214
2025-03-31,1459140.0364273575
2025-04-01,1442886.0769036245
2025-04-02,1465681.25033688
2025-04-03,1479162.9472658858
2025-04-07,1394437.6238413737
2025-04-08,1307464.6947877922
2025-04-09,1322941.759742581
2025-04-10,1371102.701285504
2025-04-11,1385157.6837761167
2025-04-14,1426775.8287788425
2025-04-15,1436446.3916922344
2025-04-16,1433519.6812119114
2025-04-17,1440954.5574083112
2025-04-18,1438591.1739333204
2025-04-21,1447742.689589045
2025-04-22,1452903.5765206737
2025-04-23,1465461.7148704755
2025-04-24,1478090.7872657173
2025-04-25,1478104.1957456025
2025-04-28,1460121.892929751
2025-04-29,1463023.752276475
2025-04-30,1453749.2911358383
2025-05-06,1475864.7845168859
2025-05-07,1490582.381301952
2025-05-08,1501005.614762921
2025-05-09,1488572.3750519769
2025-05-12,1506830.4129528254
2025-05-13,1528735.3976506484
2025-05-14,1553165.7664167767
2025-05-15,1561664.8732814346
2025-05-16,1543255.3303334638
2025-05-19,1576726.6469285227
2025-05-20,1625103.2215991933
2025-05-21,1653781.481768131
2025-05-22,1651758.950233003
2025-05-23,1627185.441730245
2025-05-26,1601783.1179440687
2025-05-27,1622428.9357386897
2025-05-28,1653587.955989822
2025-05-29,1667431.9072575588
2025-05-30,1639583.9724657028
2025-06-03,1633858.0531609035
2025-06-04,1664987.257897125
2025-06-05,1694306.9838133943
2025-06-06,1704414.5034044534
2025-06-09,1725942.6487265048
2025-06-10,1746894.2490214088
2025-06-11,1771252.6610152905
2025-06-12,1771592.7525380482
2025-06-13,1753186.2502987573
2025-06-16,1755487.2143507204
2025-06-17,1785959.0191099448
2025-06-18,1780340.7126793351
2025-06-19,1758611.7129347173
2025-06-20,1755600.7788446862
2025-06-23,1772386.2216253378
2025-06-24,1778754.3008255532
2025-06-25,1769278.7932266835
2025-06-26,1777789.8637596772
2025-06-27,1777093.0999363437
2025-06-30,1780265.4729088189
2025-07-01,1792892.84653615
2025-07-02,1809531.1627391463
2025-07-03,1820886.7922863194
2025-07-04,1812031.8793911126
2025-07-07,1823096.3948693424
2025-07-08,1835387.7946384777
2025-07-09,1838121.7030502574
2025-07-10,1844702.8683572728
2025-07-11,1841002.5290927468
2025-07-14,1839895.6160460024
2025-07-15,1834157.5601779907
2025-07-16,1839518.506169752
2025-07-17,1856258.6713511965
2025-07-18,1866310.8187224944
2025-07-21,1863940.966304484
2025-07-22,1923609.6474171975
2025-07-23,1972525.3216819922
2025-07-24,2009613.0021598
2025-07-25,1984553.3903406032
2025-07-28,1969933.841622243
2025-07-29,1981939.7695563235
2025-07-30,1986736.114890388
2025-07-31,1969107.0067176663
2025-08-01,1966434.5825773352
2025-08-04,1967205.5933407198
2025-08-05,1974865.82601254
2025-08-06,1975019.7494573276
2025-08-07,1975492.1135052405
2025-08-08,1982216.9492420144
2025-08-11,1990372.469572947
2025-08-12,2013960.7191716277
2025-08-13,2026426.749912604
2025-08-14,1989375.0152322312
2025-08-15,1996587.2706852928
2025-08-18,2003120.1409597595
2025-08-19,2021601.1113993363
2025-08-20,2047376.7034506418
2025-08-21,2044043.2936691812
2025-08-22,2042826.974745128
2025-08-25,2052027.8131944113
2025-08-26,2069461.937643433
2025-08-27,2034706.5735825135
2025-08-28,2024139.9051408607
2025-08-29,1997623.3373009553
2025-09-01,2015121.0500870035
2025-09-02,2011379.152865172
2025-09-03,1975611.2759598389
2025-09-04,1970579.4031136278
2025-09-05,1982583.7510436238
2025-09-08,2013314.07252956
2025-09-09,2009903.2020432903
2025-09-10,2005230.576539724
2025-09-11,2009773.2391603137
2025-09-12,2015600.688803995
2025-09-15,2010989.8635939916
2025-09-16,2016732.6301859303
2025-09-17,2014650.8082264606
2025-09-18,1995569.974490555
2025-09-19,1996485.3192260973
2025-09-22,1988671.5962198502
2025-09-23,1990126.6508574516
2025-09-24,2007782.1336806868
2025-09-25,2004447.5452456076
2025-09-26,1992448.5072173402
2025-09-29,2004978.1728444619
2025-09-30,2001045.8475047587
2025-10-09,2012106.5582938755
2025-10-10,2018049.3171834669
2025-10-13,2015300.964617128
2025-10-14,2045971.3197398225
2025-10-15,2063797.9852475545
2025-10-16,2088922.2580202937
2025-10-17,2083610.1392870438
2025-10-20,2077105.8925274648
2025-10-21,2099607.0621962436
2025-10-22,2099840.5047090678
2025-10-23,2116240.5802547876
2025-10-24,2097164.3041265374
2025-10-27,2099200.3309750287
2025-10-28,2109279.2024304983
2025-10-29,2121196.3894006517
2025-10-30,2112471.2583901733
2025-10-31,2125647.990649276
2025-11-03,2149337.612900309
2025-11-04,2168798.3285336816
2025-11-05,2187695.5257918634
2025-11-06,2188440.8546546954
2025-11-07,2195354.299960193
2025-11-10,2225761.0237855045
2025-11-11,2265678.0421803794
2025-11-12,2270241.4686520183
2025-11-13,2289366.7138685565
2025-11-14,2304743.347059525
2025-11-17,2330204.175187243
2025-11-18,2350874.055231524
2025-11-19,2311135.7496748376
2025-11-20,2286863.433959764
