,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,2269347.712215149
Total Return [%],126.93477122151486
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.00000000000145
Total Fees Paid,0.0
Max Drawdown [%],13.77623366894975
Max Drawdown Duration,44 days 00:00:00
Total Trades,3844
Total Closed Trades,3824
Total Open Trades,20
Open Trade PnL,-46127.12841103053
Win Rate [%],62.57845188284519
Best Trade [%],122.5710014947683
Worst Trade [%],-27.180519471751552
Avg Winning Trade [%],7.705315910157118
Avg Losing Trade [%],-3.0736006027214198
Avg Winning Trade Duration,4 days 10:14:23.518595904
Avg Losing Trade Duration,5 days 02:49:40.891719745
Profit Factor,1.5437517576699422
Expectancy,255.85694009609676
Sharpe Ratio,3.5162337711421117
Calmar Ratio,9.441209609104037
Omega Ratio,1.6618593571375824
Sortino Ratio,5.314025587231496
