date,equity
2024-11-01,1000000.0
2024-11-04,1010242.7883565357
2024-11-05,1026851.7256663919
2024-11-06,1022244.3316831508
2024-11-07,1044192.7525465792
2024-11-08,1046531.4114179547
2024-11-11,1053819.180725035
2024-11-12,1046562.1624031379
2024-11-13,1036844.7105894046
2024-11-14,1011744.5096901221
2024-11-15,999276.1258010092
2024-11-18,1012142.7374976323
2024-11-19,1027185.8776212396
2024-11-20,1063846.035293805
2024-11-21,1067880.3344251693
2024-11-22,1065264.434858361
2024-11-25,1078850.782340347
2024-11-26,1081364.2042281278
2024-11-27,1091757.1397706706
2024-11-28,1082601.676858853
2024-11-29,1082160.2926796984
2024-12-02,1100878.9280165755
2024-12-03,1131784.5640203014
2024-12-04,1141026.589682426
2024-12-05,1158731.9561495706
2024-12-06,1186782.7386604142
2024-12-09,1167043.6522064162
2024-12-10,1172708.6572383677
2024-12-11,1186861.2143890404
2024-12-12,1189147.8474681838
2024-12-13,1227519.98184414
2024-12-16,1235787.9782487496
2024-12-17,1194402.5260628106
2024-12-18,1194165.705170184
2024-12-19,1159064.3930420328
2024-12-20,1144496.835702141
2024-12-23,1097529.1444913258
2024-12-24,1092335.587317304
2024-12-25,1088777.7882485632
2024-12-26,1085429.0831610914
2024-12-27,1086845.7378688967
2024-12-30,1065221.84136268
2024-12-31,1047084.0041369643
2025-01-02,1018165.4146171612
2025-01-03,988582.0720912635
2025-01-06,985297.00233039
2025-01-07,991140.3391532713
2025-01-08,992128.3793810933
2025-01-09,994303.6673593263
2025-01-10,962853.1245226836
2025-01-13,964604.5141054289
2025-01-14,999575.3817330087
2025-01-15,1000132.7922154469
2025-01-16,1015575.2835889899
2025-01-17,1020237.3782546761
2025-01-20,1031934.7678960565
2025-01-21,1032214.6387819498
2025-01-22,1009756.6342654909
2025-01-23,1003861.7819025079
2025-01-24,1007370.6749486744
2025-01-27,1009348.7056852779
2025-02-05,1017318.2633479951
2025-02-06,1035583.8161395956
2025-02-07,1059833.0051987637
2025-02-10,1076298.6207385869
2025-02-11,1086320.2444658447
2025-02-12,1093459.92050788
2025-02-13,1099911.9017570831
2025-02-14,1096789.1023410892
2025-02-17,1107000.8046711697
2025-02-18,1094282.7113236778
2025-02-19,1101809.6462824878
2025-02-20,1103411.450184724
2025-02-21,1112056.859887106
2025-02-24,1121641.2219590764
2025-02-25,1132880.3598850553
2025-02-26,1156965.1111411024
2025-02-27,1159906.6047552237
2025-02-28,1130454.4311584732
2025-03-03,1118018.5179819015
2025-03-04,1140489.1241959666
2025-03-05,1140632.4309641158
2025-03-06,1143750.5080898365
2025-03-07,1140318.127960401
2025-03-10,1144225.6621214454
2025-03-11,1159294.160087007
2025-03-12,1171393.166974256
2025-03-13,1189050.3154079646
2025-03-14,1192357.5668556187
2025-03-17,1191804.043089047
2025-03-18,1194710.4008041453
