,IC,RankIC,RR
20241101,-0.0877061816767937,-0.1836097616454697,-0.007117138218601814
20241104,0.11022444837427227,0.13574178094172085,0.020624080386202233
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,-0.11610596591204944,-0.15109066040367003,-0.022921811565457077
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.19724665314310083,-0.28056796636172293,-0.039258931743698565
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,0.06696377692660016,0.049784581713976726,0.01190149710145879
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,0.11963888188804439,0.15499861902808512,0.020446171943309846
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.12293191450579581,-0.1580341299069614,-0.029394100368594453
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.11721987925726542,-0.14040396931508298,-0.02123359664363475
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.010295152929054793,0.15491222604663013,0.011478209784690286
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.007922992147572326,-0.0044982466413077595,-0.006579036123231213
20241231,,,
20250102,,,
20250103,,,
20250106,-0.199996640816975,-0.256178410447015,-0.03484333359181871
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.12241319580181229,-0.16548386328061307,-0.01776185701053186
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.025743100400245487,-0.0451826767794903,-0.0024520929081238135
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.3430380683068116,-0.41979862546360264,-0.02498349566932881
20250205,0.36644206000045687,0.4330830241398231,0.04541978993438017
20250206,,,
20250207,,,
20250210,0.11499487657143609,0.1708295693884334,0.015606297893650662
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.05267144396789367,0.055228172857507925,0.009687507362141638
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,0.11203941747756717,0.17314233536242152,0.01583553579826994
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,-0.12339071238538842,-0.1280695974788396,-0.021044224183769077
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,0.07434709419523436,0.05894259402399188,0.011900731583871685
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.05444803289245194,0.05256896803492332,0.004706232340075972
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.08487407559429189,-0.01912795170353554,-0.008182517465182605
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,-0.05465766209623059,-0.11875931585599983,-0.010979402822786546
20250401,,,
20250402,,,
20250403,,,
20250407,-0.048136869306140966,-0.06078199620422616,-0.003934830013525258
20250408,,,
20250409,,,
20250410,,,
20250411,,,
20250414,0.0031021700129849053,-0.055441341047104256,0.0031794155129381777
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,7.908316395411182e-05,-0.005872311978133735,0.0017713070652461281
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,-0.0768650512497229,-0.03975870441256632,-0.008194396571865908
20250429,,,
20250430,,,
20250506,0.10306964606189796,0.13876347889412413,0.014620779007341244
20250507,,,
20250508,,,
20250509,,,
20250512,-0.04210114197638716,-0.17230588940564995,-0.00818107894647955
20250513,,,
20250514,,,
20250515,,,
20250516,,,
20250519,0.02968866095512122,0.002095847641514301,0.004158270723499049
20250520,,,
20250521,,,
20250522,,,
20250523,,,
20250526,-0.022697897848392032,-0.01420569376905481,-0.0022254971188543325
20250527,,,
20250528,,,
20250529,,,
20250530,,,
20250603,-0.01124990603261992,-0.06323957640031895,5.6055314081600305e-05
20250604,,,
20250605,,,
20250606,,,
20250609,0.014331186165127218,-0.04904373668242396,0.0015625036765874682
20250610,,,
20250611,,,
20250612,,,
20250613,,,
20250616,-0.007785898836590896,-0.036158686668303706,-0.0022117016777137097
20250617,,,
20250618,,,
20250619,,,
20250620,,,
20250623,0.2503550420971755,0.3621300018357309,0.03651154686799633
20250624,,,
20250625,,,
20250626,,,
20250627,,,
20250630,-0.07364585326265237,-0.15664305872009662,-0.009448554770527225
20250701,,,
20250702,,,
20250703,,,
20250704,,,
20250707,0.0039662646396385675,-0.024987245763999733,-0.0005882991542441804
20250708,,,
20250709,,,
20250710,,,
20250711,,,
20250714,0.04040938538380878,0.0352294484915528,0.007505123292352497
20250715,,,
20250716,,,
20250717,,,
20250718,,,
20250721,0.07992974946261293,0.06954677503029284,0.007335362833958076
20250722,,,
20250723,,,
20250724,,,
20250725,,,
20250728,0.04391079161832531,-0.052375771851795996,0.006726198652781101
20250729,,,
20250730,,,
20250731,,,
20250801,,,
20250804,0.09316158153674829,0.17183538281004573,0.017301237545721937
20250805,,,
20250806,,,
20250807,,,
20250808,,,
20250811,0.11514040782546694,0.16231864405482446,0.017597803158085915
20250812,,,
20250813,,,
20250814,,,
20250815,,,
20250818,0.04164572604270259,0.06480960567046637,0.008979500253910103
20250819,,,
20250820,,,
20250821,,,
20250822,,,
20250825,0.026820327885636864,0.03779011782924137,0.004792216919919302
20250826,,,
20250827,,,
20250828,,,
20250829,,,
20250901,0.052644347237980844,0.054530870817768196,0.006633335885098223
20250902,,,
20250903,,,
20250904,,,
20250905,,,
20250908,-0.052802700679588935,-0.05864277203303734,-0.005444980436173425
20250909,,,
20250910,,,
20250911,,,
20250912,,,
20250915,-0.047702735380640356,-0.08051511300341979,-0.007715117664777836
20250916,,,
20250917,,,
20250918,,,
20250919,,,
20250922,-0.06890444633491921,-0.07357771435363045,-0.007007256614210021
20250923,,,
20250924,,,
20250925,,,
20250926,,,
20250929,0.014579231423916036,0.011398507107827707,0.00283308906847843
20250930,,,
20251009,0.06430557758209808,0.07724826850066528,0.007716620264390494
20251010,,,
20251013,-0.0813572377788915,-0.13022646607344351,-0.01845742744823462
20251014,,,
20251015,,,
20251016,,,
20251017,,,
20251020,-0.005029723130494192,-0.011268790786444913,-0.005663094528319312
20251021,,,
20251022,,,
20251023,,,
20251024,,,
20251027,-0.1033256903290964,-0.13557689410526555,-0.014921060747153927
20251028,,,
20251029,,,
20251030,,,
20251031,,,
20251103,0.03374526790344146,0.048722313996109774,0.004220320944133358
20251104,,,
20251105,,,
20251106,,,
20251107,,,
20251110,0.13818959356682395,0.17147882222624328,0.025298652982822613
20251111,,,
20251112,,,
20251113,,,
20251114,,,
20251117,0.009964217580612878,-0.028865514855685732,0.0035822620238378858
20251118,,,
20251119,,,
20251120,,,
20251121,,,
20251124,-0.08524123580626872,-0.12473117022907564,-0.012425354004255599
20251125,,,
20251126,,,
20251127,,,
20251128,,,
20251201,0.0502508403105897,0.07091647911530982,0.005733275281754605
20251202,,,
20251203,,,
20251204,,,
20251205,,,
20251208,0.00041038973347807975,-0.050234169703683856,-0.0003541896225200021
20251209,,,
20251210,,,
20251211,,,
20251212,,,
20251215,0.04563859419797352,0.08242056380197331,0.006621273137854152
20251216,,,
20251217,,,
