date,equity
2024-11-01,1000000.000000005
2024-11-04,1011323.3962499606
2024-11-05,1037219.3766110251
2024-11-06,1044789.2058406938
2024-11-07,1072745.9571813813
2024-11-08,1069191.6062233804
2024-11-11,1084978.8665690438
2024-11-12,1076154.700554906
2024-11-13,1075803.7289544314
2024-11-14,1044326.5118043992
2024-11-15,1030977.2063722664
2024-11-18,1006535.2094948888
2024-11-19,1017308.0455975193
2024-11-20,1035081.5216291199
2024-11-21,1034329.4819049939
2024-11-22,1003492.6385494346
2024-11-25,1013877.0902426024
2024-11-26,1009191.7883833566
2024-11-27,1019732.8199033496
2024-11-28,1032997.0845620751
2024-11-29,1046213.656262819
2024-12-02,1070448.9364779377
2024-12-03,1077736.1763880588
2024-12-04,1060094.1163859721
2024-12-05,1075038.491625787
2024-12-06,1090108.9205649302
2024-12-09,1091010.026674582
2024-12-10,1094399.3238354253
2024-12-11,1109868.526085187
2024-12-12,1122209.0958449785
2024-12-13,1104052.8562251024
2024-12-16,1095536.8191142483
2024-12-17,1051528.5036518227
2024-12-18,1053040.901706362
2024-12-19,1039524.8643089114
2024-12-20,1041681.1190728747
2024-12-23,1001094.62674685
2024-12-24,1017353.2442724071
2024-12-25,1002868.6213509258
2024-12-26,1007303.5770545707
2024-12-27,1015940.2936382942
2024-12-30,1009428.1946412795
2024-12-31,988101.3327260714
2025-01-02,970803.2151005685
2025-01-03,938838.4588380313
2025-01-06,932148.1797567268
2025-01-07,934161.8160381996
2025-01-08,929382.3342631551
2025-01-09,923444.2791717789
2025-01-10,898439.383020304
2025-01-13,895357.45087602
2025-01-14,925802.3103471844
2025-01-15,922915.0865948955
2025-01-16,930010.5936541245
2025-01-17,929702.2227263201
2025-01-20,935281.6730116399
2025-01-21,931663.4406350045
2025-01-22,921204.333022511
2025-01-23,918141.9409617768
2025-01-24,923855.2466098209
2025-01-27,919011.9179248885
2025-02-05,910215.0094087528
2025-02-06,934383.2370419651
2025-02-07,952708.799959113
2025-02-10,975842.298400305
2025-02-11,972978.5798227272
2025-02-12,981814.0762255483
2025-02-13,979754.9171459461
