,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1288853.505231881
Total Return [%],28.88535052318811
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000159
Total Fees Paid,0.0
Max Drawdown [%],20.43389765325781
Max Drawdown Duration,144 days 00:00:00
Total Trades,51066
Total Closed Trades,50806
Total Open Trades,260
Open Trade PnL,-5879.431722127507
Win Rate [%],65.51391567925047
Best Trade [%],190.9806917028203
Worst Trade [%],-29.954557793939905
Avg Winning Trade [%],5.386786915188697
Avg Losing Trade [%],-3.365760430568144
Avg Winning Trade Duration,4 days 10:04:56.566020730
Avg Losing Trade Duration,4 days 19:03:12.252179435
Profit Factor,1.1903712763322256
Expectancy,5.449284793857753
Sharpe Ratio,1.153454328282977
Calmar Ratio,1.4404062451166437
Omega Ratio,1.180400719280857
Sortino Ratio,1.518772749285959
