date,equity
2024-11-01,1000000.000000005
2024-11-04,1012337.1833319884
2024-11-05,1041048.4498768017
2024-11-06,1052061.5733691726
2024-11-07,1077508.5077509282
2024-11-08,1077395.2850594118
2024-11-11,1092948.5020269558
2024-11-12,1078958.3268822492
2024-11-13,1069831.6265906908
2024-11-14,1035895.3917905297
2024-11-15,1013299.1273910289
2024-11-18,986147.9977742631
2024-11-19,1009055.1416009367
2024-11-20,1042675.262624313
2024-11-21,1049088.3869066555
2024-11-22,1023337.2516203494
2024-11-25,1037355.6989304378
2024-11-26,1017547.5294161764
2024-11-27,1027998.5722576795
2024-11-28,1034552.3230633059
2024-11-29,1047198.0649988437
2024-12-02,1072826.184343316
2024-12-03,1074160.2649337153
2024-12-04,1055077.7079512656
2024-12-05,1071235.9844866614
2024-12-06,1080011.6001546641
2024-12-09,1080343.7432919194
2024-12-10,1091667.0191911086
2024-12-11,1116317.686328744
2024-12-12,1133620.9785720338
2024-12-13,1118634.1194260109
2024-12-16,1111348.618051533
2024-12-17,1050943.5966755587
2024-12-18,1051055.4127417987
2024-12-19,1036567.6763807783
2024-12-20,1042397.6575757093
2024-12-23,982608.8592960455
2024-12-24,984504.9983695644
2024-12-25,953940.9173444251
2024-12-26,966246.2113471783
2024-12-27,978319.1391108904
2024-12-30,960057.0053683006
2024-12-31,936711.1426342982
2025-01-02,931009.3621592537
2025-01-03,889513.7893439598
2025-01-06,875200.4633442032
2025-01-07,892471.5061314009
2025-01-08,896640.1810787505
2025-01-09,899291.6485041198
2025-01-10,864867.9528215629
2025-01-13,859857.9947621648
2025-01-14,906155.3266898087
2025-01-15,907855.5772356946
2025-01-16,918530.9383148027
2025-01-17,908587.568066433
2025-01-20,916259.8248367019
2025-01-21,909791.6089559163
2025-01-22,893150.6551204821
2025-01-23,886424.6827333677
2025-01-24,891281.9762733676
2025-01-27,876879.155957449
2025-02-05,888400.0706579394
2025-02-06,907860.6995264547
2025-02-07,922622.778628998
2025-02-10,943117.4483025476
2025-02-11,942501.2722993033
2025-02-12,956579.3047998592
2025-02-13,953054.065979247
2025-02-14,953531.2523737787
2025-02-17,965335.8695122596
2025-02-18,940075.3904784495
2025-02-19,959679.7333043248
2025-02-20,967625.8670759251
2025-02-21,973969.8080505789
2025-02-24,976494.0445167093
2025-02-25,975650.3347809357
2025-02-26,991004.9710737747
2025-02-27,989404.9632703348
2025-02-28,959247.1033447627
2025-03-03,956825.4209296514
2025-03-04,965186.8459992829
2025-03-05,971233.5855620751
2025-03-06,992025.6251472913
2025-03-07,986216.3610441893
2025-03-10,988742.606838642
2025-03-11,994667.0297230319
2025-03-12,999656.7214479389
2025-03-13,989076.6135770677
2025-03-14,1001134.2865762915
2025-03-17,1003381.507080284
2025-03-18,1007594.5122987997
2025-03-19,1002889.1997311442
2025-03-20,1002354.4734334035
2025-03-21,984481.3082277187
2025-03-24,965674.7515299692
2025-03-25,953865.3002337461
2025-03-26,967779.3885624933
2025-03-27,952397.4775257611
2025-03-28,936206.9582667402
2025-03-31,921193.7317599172
2025-04-01,929403.104602991
2025-04-02,929508.9932954506
2025-04-03,924498.7480665406
2025-04-07,840188.8437759683
2025-04-08,878405.8739107383
2025-04-09,891971.6294636092
2025-04-10,909451.3340252598
2025-04-11,900038.4815735192
2025-04-14,917518.838520791
2025-04-15,913151.9789087706
2025-04-16,900060.5535189003
2025-04-17,910288.2675129538
2025-04-18,902473.0701412613
2025-04-21,922367.6497369524
2025-04-22,928359.1518661714
2025-04-23,925816.5535606887
2025-04-24,923600.5879958383
2025-04-25,925361.6420060334
2025-04-28,905798.5693054281
2025-04-29,904524.6973861792
2025-04-30,900170.3183686067
2025-05-06,924738.8756309233
2025-05-07,932879.8353844326
2025-05-08,938187.9158783414
2025-05-09,926426.4875739043
2025-05-12,933235.0935865007
2025-05-13,933884.7831579775
2025-05-14,941385.4814185522
2025-05-15,934698.047561856
2025-05-16,941644.9788348554
2025-05-19,955739.3753630922
2025-05-20,960672.2483150543
2025-05-21,953677.412788412
2025-05-22,940673.5408074203
2025-05-23,930992.9666338601
2025-05-26,943894.7938381884
2025-05-27,958184.3529167114
2025-05-28,957741.9409102763
2025-05-29,968224.4740321309
2025-05-30,947430.2148830204
2025-06-03,959974.1593273131
2025-06-04,968898.088823323
2025-06-05,962737.2962901138
2025-06-06,958422.8557834857
2025-06-09,976258.0720010955
2025-06-10,974313.4738664847
2025-06-11,974621.8717296083
2025-06-12,978411.7466865407
2025-06-13,955471.8561965291
2025-06-16,963675.920063947
2025-06-17,961901.7952763725
2025-06-18,951494.0492798273
2025-06-19,928271.3308352607
2025-06-20,915872.8907953238
2025-06-23,938825.3053318994
2025-06-24,952606.9834337737
2025-06-25,958869.0563849397
