,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,2303674.748016727
Total Return [%],130.3674748016727
Benchmark Return [%],31.085095644606152
Max Gross Exposure [%],100.00000000000169
Total Fees Paid,0.0
Max Drawdown [%],13.776233668949775
Max Drawdown Duration,45 days 00:00:00
Total Trades,3833
Total Closed Trades,3813
Total Open Trades,20
Open Trade PnL,-22574.65322653405
Win Rate [%],62.68030422239706
Best Trade [%],122.57100149476821
Worst Trade [%],-27.180519471751552
Avg Winning Trade [%],7.715098496727547
Avg Losing Trade [%],-3.073676962317445
Avg Winning Trade Duration,4 days 10:29:01.255230125
Avg Losing Trade Duration,5 days 02:47:26.511627907
Profit Factor,1.5515113258822748
Expectancy,258.810748244896
Sharpe Ratio,3.5948554108286097
Calmar Ratio,9.73831115686031
Omega Ratio,1.6810109132447308
Sortino Ratio,5.445572706612788
