date,equity
2024-11-01,1000000.000000005
2024-11-04,1014137.6896748338
2024-11-05,1040159.9686264689
2024-11-06,1050071.9235337775
2024-11-07,1083308.4501885774
2024-11-08,1075284.4079978198
2024-11-11,1083306.6601649572
2024-11-12,1074002.748169905
2024-11-13,1069021.781539244
2024-11-14,1037044.5094368018
2024-11-15,1011392.7356354638
2024-11-18,994994.8875738482
2024-11-19,1016686.184154313
2024-11-20,1047883.5364534734
2024-11-21,1054808.5507364818
2024-11-22,1028098.9665728165
2024-11-25,1044260.3766128615
2024-11-26,1028238.4192963237
2024-11-27,1042484.4988761294
2024-11-28,1046054.6302890797
2024-11-29,1060691.436608301
2024-12-02,1092552.4138276197
2024-12-03,1093445.901303228
2024-12-04,1074282.1592893344
2024-12-05,1087603.8399508777
2024-12-06,1096898.3150687478
2024-12-09,1094600.7805356777
2024-12-10,1100487.3869361584
2024-12-11,1125190.0704608725
2024-12-12,1141150.0939321525
2024-12-13,1126052.8364493274
2024-12-16,1127443.3435108208
2024-12-17,1070253.4279806535
2024-12-18,1072325.6179668177
2024-12-19,1061595.172846533
2024-12-20,1065744.7116722777
2024-12-23,1008628.8303376992
2024-12-24,1020353.7642400521
2024-12-25,997964.3139544522
2024-12-26,1008996.4355416914
2024-12-27,1018037.411814503
2024-12-30,1006688.1250068557
2024-12-31,980923.484505843
2025-01-02,971432.7580248452
2025-01-03,925038.7550953131
2025-01-06,912784.5423187651
2025-01-07,936925.6523949475
2025-01-08,940435.9070160948
2025-01-09,946170.4604546649
2025-01-10,915867.9122650198
2025-01-13,916465.1422768031
2025-01-14,964578.3861138991
2025-01-15,968120.2511114944
2025-01-16,981670.2671182543
2025-01-17,973228.3982875942
2025-01-20,985805.8570919847
2025-01-21,977912.7011671672
2025-01-22,958599.7390133463
2025-01-23,955011.6776908764
2025-01-24,959336.8160550975
2025-01-27,950953.4309811458
2025-02-05,957165.507435003
2025-02-06,976593.4990472549
2025-02-07,991121.514565796
2025-02-10,1008232.6192615792
2025-02-11,1008668.7844177311
2025-02-12,1021485.7265303142
2025-02-13,1012250.6017980915
2025-02-14,1011628.6506363638
2025-02-17,1023346.2114201152
2025-02-18,998314.4095916941
2025-02-19,1016244.6345922678
2025-02-20,1024108.3501651867
2025-02-21,1026952.0111214641
2025-02-24,1034533.7454247782
2025-02-25,1032657.5954992746
2025-02-26,1051118.0496061994
2025-02-27,1048203.2961381726
2025-02-28,1010213.5118872181
2025-03-03,1009994.518207841
2025-03-04,1022756.6006784987
2025-03-05,1034439.7738327773
2025-03-06,1056296.502108108
2025-03-07,1050888.846509344
2025-03-10,1052504.286114818
2025-03-11,1056645.3188931737
2025-03-12,1066111.729040531
2025-03-13,1049189.9550634082
2025-03-14,1062205.613634303
2025-03-17,1065479.783161909
2025-03-18,1072969.149000003
2025-03-19,1072276.913730519
2025-03-20,1077912.4815806367
2025-03-21,1056795.1116096016
2025-03-24,1033454.0110609883
2025-03-25,1022050.2623922229
2025-03-26,1036244.9076098887
2025-03-27,1022263.1682644465
2025-03-28,1006069.3795826659
2025-03-31,988108.57218768
2025-04-01,990138.5552129318
2025-04-02,996867.2603059682
2025-04-03,988379.5297949701
2025-04-07,892413.4746245844
2025-04-08,935761.6035474163
2025-04-09,946439.3940918876
2025-04-10,958096.3733310776
2025-04-11,947338.9354680913
2025-04-14,962442.5336689973
2025-04-15,958610.9727510151
2025-04-16,947642.7735939104
2025-04-17,957298.7331199492
2025-04-18,955140.3222059031
2025-04-21,973226.9793801121
