,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1419395.5470785063
Total Return [%],41.939554707850625
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.00000000000169
Total Fees Paid,0.0
Max Drawdown [%],20.70267173506633
Max Drawdown Duration,60 days 00:00:00
Total Trades,3996
Total Closed Trades,3976
Total Open Trades,20
Open Trade PnL,-13874.74067442675
Win Rate [%],64.33601609657947
Best Trade [%],95.93936112615053
Worst Trade [%],-27.245216601280646
Avg Winning Trade [%],5.186072772916624
Avg Losing Trade [%],-3.655894697778604
Avg Winning Trade Duration,3 days 05:16:22.329945269
Avg Losing Trade Duration,3 days 23:24:58.894620486
Profit Factor,1.2164877841171182
Expectancy,86.34428847202844
Sharpe Ratio,1.4612521613012344
Calmar Ratio,2.066053452909382
Omega Ratio,1.2231725420094925
Sortino Ratio,2.018251424170931
