date,equity
2024-11-01,1000000.0
2024-11-04,985931.9120033847
2024-11-05,1018760.1724325021
2024-11-06,1018999.451517046
2024-11-07,1035547.7634647158
2024-11-08,1024235.5716166175
2024-11-11,1030761.541650991
2024-11-12,1023612.2121398033
2024-11-13,1009328.4601152077
2024-11-14,980125.0503646939
2024-11-15,961059.8765948135
2024-11-18,951127.7642946289
2024-11-19,955203.4921502849
2024-11-20,986074.5542330985
2024-11-21,1003668.3243426319
2024-11-22,1006413.0586247204
2024-11-25,1005623.4583117712
2024-11-26,964379.1132898343
2024-11-27,970358.4455202809
2024-11-28,966246.5096891354
2024-11-29,986560.2057370293
2024-12-02,1015402.3390900972
2024-12-03,1008955.6380937765
2024-12-04,979969.2995806391
2024-12-05,992302.1211274853
2024-12-06,999575.3230194119
2024-12-09,1001176.168494747
2024-12-10,1012088.2857790597
2024-12-11,1041658.9032351042
2024-12-12,1067963.2008953495
2024-12-13,1072396.1910373466
2024-12-16,1067013.453394031
2024-12-17,1023322.4378980193
2024-12-18,1022046.3428211634
2024-12-19,1017886.0461165059
2024-12-20,1005977.0170538784
2024-12-23,942193.9153987222
2024-12-24,943187.0124351144
2024-12-25,901096.6237697639
2024-12-26,906558.4887214598
2024-12-27,910756.686058799
2024-12-30,888116.9862028864
2024-12-31,856830.6812963727
2025-01-02,850658.5617206967
2025-01-03,799449.9895025555
2025-01-06,784937.8365014885
2025-01-07,793478.3814296727
2025-01-08,814666.8812734729
2025-01-09,824407.3220407539
2025-01-10,781526.167624981
2025-01-13,780581.4904786567
2025-01-14,816605.7018537554
2025-01-15,812704.6350384615
2025-01-16,821531.2131485412
2025-01-17,815071.5270637746
2025-01-20,824110.9180560891
2025-01-21,813968.9108272013
2025-01-22,795713.8262112453
2025-01-23,785520.4565666128
2025-01-24,779022.0606959723
2025-01-27,756676.8064535641
2025-02-05,752778.7716637588
2025-02-06,764239.0491607564
2025-02-07,766075.5960630631
2025-02-10,774971.5297097237
2025-02-11,771826.7044483564
2025-02-12,783496.7695493561
2025-02-13,772258.2551963122
2025-02-14,766790.4274404877
2025-02-17,778499.7993036612
2025-02-18,762083.1111892164
2025-02-19,775425.6192950268
2025-02-20,764902.2228772058
2025-02-21,777678.736047332
2025-02-24,777339.9548632712
