,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,416643.5036282508
Total Return [%],-58.335649637174924
Benchmark Return [%],31.085095644606152
Max Gross Exposure [%],100.00000000000233
Total Fees Paid,0.0
Max Drawdown [%],64.05168365773626
Max Drawdown Duration,327 days 00:00:00
Total Trades,4046
Total Closed Trades,4026
Total Open Trades,20
Open Trade PnL,-3785.315066478841
Win Rate [%],51.465474416294086
Best Trade [%],84.92782659488203
Worst Trade [%],-32.68702474869677
Avg Winning Trade [%],6.310254671008889
Avg Losing Trade [%],-4.704693659711603
Avg Winning Trade Duration,3 days 00:52:49.111969111
Avg Losing Trade Duration,3 days 19:54:12.030848329
Profit Factor,0.6960849050475099
Expectancy,-146.1488880792267
Sharpe Ratio,-2.3750148151988655
Calmar Ratio,-0.9217999543954513
Omega Ratio,0.7149565077348214
Sortino Ratio,-2.907605588012716
