date,equity
2024-11-01,1000000.000000005
2024-11-04,1010503.4640264605
2024-11-05,1034974.4581716855
2024-11-06,1043259.3327059492
2024-11-07,1068390.260464608
2024-11-08,1073430.3315210412
2024-11-11,1092264.159195518
2024-11-12,1082477.3538671762
2024-11-13,1077518.4704723808
2024-11-14,1047798.4872163493
2024-11-15,1027643.4678645919
2024-11-18,1010868.9738733652
2024-11-19,1027586.4772712833
2024-11-20,1049090.1149370556
2024-11-21,1052909.6592064556
2024-11-22,1020771.1928117234
2024-11-25,1035424.0805173797
2024-11-26,1026923.7725791004
2024-11-27,1038863.9172530494
2024-11-28,1045576.370885206
2024-11-29,1060659.0285817613
2024-12-02,1085065.679142497
2024-12-03,1085566.0863662583
2024-12-04,1067927.1651996635
2024-12-05,1080013.1417383705
2024-12-06,1088805.5537993598
2024-12-09,1083308.995512695
2024-12-10,1093334.5897011352
2024-12-11,1116055.6687794544
2024-12-12,1131728.4370258094
2024-12-13,1117581.5406803724
2024-12-16,1109136.9056171288
2024-12-17,1054787.2379652448
2024-12-18,1057151.351965022
2024-12-19,1048330.6043622871
2024-12-20,1054722.335800504
2024-12-23,998179.0034070305
2024-12-24,1011033.0296161767
2024-12-25,990788.7177359883
2024-12-26,1002912.5614208317
2024-12-27,1011756.3198669563
2024-12-30,1000967.2636723509
2024-12-31,974135.3449182588
2025-01-02,958810.9715997508
2025-01-03,918127.336001196
2025-01-06,910463.4470774508
2025-01-07,924944.6149648404
2025-01-08,923840.385765808
2025-01-09,926915.3750070331
2025-01-10,894414.9993308118
2025-01-13,890185.8022727633
2025-01-14,936444.0967094334
2025-01-15,936185.0420026727
2025-01-16,947470.205851818
2025-01-17,941389.1935359901
2025-01-20,948128.6196238473
2025-01-21,943191.8914941207
2025-01-22,927661.1755288524
2025-01-23,923836.6943154108
2025-01-24,931523.6043089107
2025-01-27,919408.7881175502
2025-02-05,925909.640913596
2025-02-06,948378.1630781619
2025-02-07,965914.084071151
2025-02-10,985170.4882813392
2025-02-11,984195.6507217215
2025-02-12,993917.0883531689
2025-02-13,984576.4125228147
2025-02-14,984144.7417803771
2025-02-17,992713.7856966166
2025-02-18,960094.1153811103
2025-02-19,977812.1101980853
2025-02-20,986360.2604869417
2025-02-21,991691.8615497133
2025-02-24,996780.6242570408
2025-02-25,991813.7675837269
2025-02-26,1006232.6785143838
2025-02-27,1006592.139623995
2025-02-28,980481.6612250669
2025-03-03,981800.8406093722
2025-03-04,992111.0537316704
2025-03-05,992778.1360305217
2025-03-06,1010458.3009139262
2025-03-07,1004407.2046272944
2025-03-10,1010387.980110742
2025-03-11,1017702.4938261975
2025-03-12,1026568.1821825218
2025-03-13,1012957.0102273886
2025-03-14,1025403.1714557935
2025-03-17,1029988.2791949346
2025-03-18,1035030.051248495
2025-03-19,1031786.8785807684
2025-03-20,1032775.8948929621
2025-03-21,1019478.3409899177
2025-03-24,1002860.8803000805
2025-03-25,992446.9484712239
2025-03-26,1000435.983827887
2025-03-27,988908.6113009953
2025-03-28,977111.2855561773
2025-03-31,961209.0660963897
2025-04-01,976783.0896268765
2025-04-02,976377.3366824695
2025-04-03,977270.7464473286
2025-04-07,890110.5155401584
2025-04-08,890392.8765899389
2025-04-09,907002.7781267439
2025-04-10,931100.7057692371
2025-04-11,931108.7798516914
2025-04-14,956281.0653699323
2025-04-15,951655.9132939773
2025-04-16,937538.9362473944
2025-04-17,946863.1126731425
2025-04-18,945503.8826040924
2025-04-21,963331.7788144381
2025-04-22,967890.6414296867
2025-04-23,959965.5592753154
2025-04-24,957536.8530037956
2025-04-25,960931.8990362384
2025-04-28,943966.3111671517
2025-04-29,945355.0424826442
2025-04-30,945560.1287403142
2025-05-06,974527.0423796824
2025-05-07,982652.588401111
2025-05-08,987808.3917226967
2025-05-09,976810.2238862996
2025-05-12,983454.6295855842
2025-05-13,985594.4876929722
2025-05-14,992760.653135964
2025-05-15,988461.3230711288
2025-05-16,995922.8675418742
2025-05-19,1010636.0221869791
2025-05-20,1016808.1713471529
2025-05-21,1012049.1594866777
2025-05-22,997118.5889998111
2025-05-23,984302.9015041641
2025-05-26,996955.4069616429
2025-05-27,1009267.1868721412
2025-05-28,1008128.6735989322
2025-05-29,1017715.9975256815
2025-05-30,998447.5889257112
2025-06-03,1010599.5637264922
2025-06-04,1018904.9520777272
2025-06-05,1020299.0756956193
2025-06-06,1016916.7593705046
2025-06-09,1032945.060321439
2025-06-10,1025361.3717221986
2025-06-11,1028690.6407292783
2025-06-12,1031406.2290280986
2025-06-13,1007645.5314447072
2025-06-16,1016500.4143774003
2025-06-17,1014255.2944909699
2025-06-18,1002225.3160055063
2025-06-19,980023.8179588178
2025-06-20,970987.1264472821
2025-06-23,991549.5494860957
2025-06-24,1001277.1266419427
2025-06-25,1005963.3903228517
2025-06-26,1002756.8547957905
2025-06-27,1009619.9538143445
2025-06-30,1021439.3660622878
2025-07-01,1023530.7337957197
2025-07-02,1021119.0470518423
2025-07-03,1024684.4792961347
2025-07-04,1016929.7675889673
2025-07-07,1030616.8532913193
2025-07-08,1039220.0552015863
2025-07-09,1037302.3545715564
2025-07-10,1042586.0277341024
2025-07-11,1047026.5338972975
2025-07-14,1048429.0843537519
2025-07-15,1030259.736089848
2025-07-16,1033542.661115113
2025-07-17,1042520.9672557681
2025-07-18,1043652.1975937277
2025-07-21,1059644.0212468007
2025-07-22,1062818.86565612
2025-07-23,1050180.5909175165
2025-07-24,1067625.492305053
2025-07-25,1062586.2686567577
2025-07-28,1061425.0592494765
2025-07-29,1061843.7434469047
2025-07-30,1055179.8570055678
2025-07-31,1043372.0031785755
2025-08-01,1045815.2279641232
2025-08-04,1052215.9262161455
2025-08-05,1060935.027146658
2025-08-06,1062770.1600458224
2025-08-07,1061009.4082758809
2025-08-08,1065091.4085092905
2025-08-11,1075755.2080744335
2025-08-12,1075552.2483842873
2025-08-13,1083715.1533026053
2025-08-14,1064809.681870882
2025-08-15,1082612.184747984
2025-08-18,1095000.1498110583
2025-08-19,1102174.7891873897
2025-08-20,1110037.7348547508
2025-08-21,1104838.001339928
2025-08-22,1108159.137398368
2025-08-25,1115505.1387488649
2025-08-26,1117016.0389038497
2025-08-27,1091809.5292905553
2025-08-28,1099684.240229513
2025-08-29,1090062.1148580604
2025-09-01,1102228.817891507
2025-09-02,1085838.9900756367
2025-09-03,1061554.172312682
2025-09-04,1060888.044375837
2025-09-05,1080024.020395571
2025-09-08,1088597.3461550935
2025-09-09,1080919.923122225
2025-09-10,1086688.6364321846
2025-09-11,1097881.0620813123
2025-09-12,1099454.194771839
2025-09-15,1100455.3640502852
2025-09-16,1110479.1871332442
2025-09-17,1115745.6852241836
2025-09-18,1100555.870512766
2025-09-19,1091667.0539421649
2025-09-22,1089967.1405207778
2025-09-23,1077759.645812096
2025-09-24,1090417.2511493785
2025-09-25,1081413.8825486838
2025-09-26,1071961.142338801
2025-09-29,1079863.0630493711
2025-09-30,1081683.0798500914
2025-10-09,1089314.6950024534
2025-10-10,1093549.6356758827
2025-10-13,1086938.556206559
2025-10-14,1083609.5773673789
2025-10-15,1097815.4251358293
2025-10-16,1086400.4007556778
2025-10-17,1065192.1028144313
2025-10-20,1081105.0858726953
2025-10-21,1100581.4841148956
