,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.03947753643043136,-0.22986689799175244,-0.023708504841459636
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.2315919446280215,-0.18183921729200264,-0.03014271600153629
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.07618411635854432,-0.11449417619987072,-0.007662448497917136
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.07569130607421606,-0.12704841359639185,-0.01432324804253456
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.29118983333906046,-0.33925905053265876,-0.0571002456288468
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,0.02101997559077251,0.2521926108442881,0.018146934333079526
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,0.05879658182153486,0.12682696598252866,0.00773774819119992
20241231,,,
20250102,,,
20250103,,,
20250106,-0.26927637538474075,-0.3588887003764587,-0.05225793615764082
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.15760107064570977,-0.14866640839018436,-0.019240393221739996
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.1618780025079362,-0.11020938502232742,-0.011997442479095826
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.14854726408647748,-0.2963403358083897,-0.01577240034266461
20250205,0.030184566172676227,-0.09374270054089938,0.0011979961808133086
20250206,,,
20250207,,,
20250210,0.32669366318895654,0.25918827419280777,0.037576739530393505
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.043684936511579106,-0.009424097733360741,0.009374644305896553
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.1491044403683343,-0.16943229183250724,-0.01766337817208805
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,-0.20646738218410687,-0.26899813450511256,-0.029745484473560534
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,0.0006217858427929725,-0.10222504429068713,-0.007149980165367217
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.13183358908975135,0.12121943124416057,0.021313233977265127
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.14743379082444052,0.02445307515338331,-0.006322713167180409
20250325,,,
20250326,,,
