,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1022110.3810659513
Total Return [%],2.211038106595132
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.00000000000126
Total Fees Paid,0.0
Max Drawdown [%],15.507910456529691
Max Drawdown Duration,111 days 00:00:00
Total Trades,2386
Total Closed Trades,2366
Total Open Trades,20
Open Trade PnL,-22591.985770579457
Win Rate [%],53.42349957734574
Best Trade [%],19.696969696969695
Worst Trade [%],-21.92603402021388
Avg Winning Trade [%],2.327857577890342
Avg Losing Trade [%],-2.932641883365108
Avg Winning Trade Duration,6 days 07:44:48.607594936
Avg Losing Trade Duration,11 days 07:21:57.235023041
Profit Factor,1.0936914172666028
Expectancy,15.734023999116687
Sharpe Ratio,0.21829714072619985
Calmar Ratio,0.1449843144150452
Omega Ratio,1.038358310897949
Sortino Ratio,0.2991935093263169
