date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.000000005
2024-11-12,992228.6442199901
2024-11-13,991801.8930939949
2024-11-14,961795.7113411012
2024-11-15,946524.9076069132
2024-11-18,925344.5756547593
2024-11-19,933692.4077814827
2024-11-20,953829.6257193262
2024-11-21,955202.6838308069
2024-11-22,931670.0546049102
2024-11-25,941767.8861817397
2024-11-26,930406.593969529
2024-11-27,935243.3532484527
2024-11-28,941988.286574188
2024-11-29,951731.5895634461
2024-12-02,972937.0040655177
2024-12-03,980312.8585836955
2024-12-04,968018.3102286812
2024-12-05,980059.2006593988
2024-12-06,992971.1979299965
2024-12-09,993365.113986118
2024-12-10,995861.6633250026
2024-12-11,1009838.206024101
2024-12-12,1019888.6845974331
2024-12-13,1004009.4247188439
2024-12-16,1002672.8289429565
2024-12-17,957885.9870987925
2024-12-18,957268.9987432191
2024-12-19,944358.7526508624
2024-12-20,943721.9616135197
2024-12-23,900158.355720059
2024-12-24,917317.3016872864
2024-12-25,902984.5839505831
2024-12-26,910967.1406380528
2024-12-27,915199.5228716381
2024-12-30,906777.5284140905
2024-12-31,892292.3330901966
2025-01-02,878113.5130471863
2025-01-03,852125.4864031774
2025-01-06,847898.0769236364
2025-01-07,852459.2299662424
2025-01-08,854121.9730001878
2025-01-09,850400.3157909577
2025-01-10,825330.9924332614
2025-01-13,821235.9801147787
2025-01-14,856792.1994284306
2025-01-15,855635.3552525489
2025-01-16,859754.1162058254
2025-01-17,856634.9861253235
2025-01-20,862655.6077237526
2025-01-21,859888.6696794688
2025-01-22,851558.0625888797
2025-01-23,849231.2583225826
2025-01-24,854102.4467621325
2025-01-27,850718.8003763534
2025-02-05,848416.1903472947
2025-02-06,864279.097775754
2025-02-07,878079.530836109
2025-02-10,898619.6821490427
2025-02-11,899041.8270279352
2025-02-12,909315.0217897603
2025-02-13,907963.9231435073
2025-02-14,907588.3962472321
2025-02-17,922550.7400160048
2025-02-18,902702.0385811839
2025-02-19,916753.0884535308
