,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.12485848586991377,-0.1014169398844084,-0.02450848941298665
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.04899902611619719,-0.05443472680040836,-0.013640503179007245
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.030745270112703425,-0.09419504643512343,-0.010860908776413547
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.026181275350102822,-0.06310684917137449,-0.010302069233842043
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.0738094334976068,-0.11711309126859709,-0.02333961023697409
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.04769429339214168,-0.04478911765479247,-0.01301135041599147
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.11978578322179474,-0.18813193218113633,-0.022163253214322762
20241231,,,
20250102,,,
20250103,,,
20250106,0.03765320327158073,0.08316410319954838,0.004408117885460364
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.0045718425487466345,-0.009948062511737304,-5.5019611832095305e-05
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.12775840462921684,-0.19113060719348524,-0.01688291612308803
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,0.09343039456660125,0.10751443028023498,0.006420939548712636
20250205,0.10224543515691953,0.15240362025208914,0.0164837341590746
20250206,,,
20250207,,,
20250210,0.10973700182421718,0.13546744354514123,0.024178958167812875
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.014511451695607767,-0.007340098470650449,-0.0005035266080147902
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.1342529115630068,-0.21464127107939823,-0.020729919356866487
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.05532005444754883,0.020773579195011643,0.006990639380144256
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.07519392180253565,-0.11287338998943663,-0.013281608678013281
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.03259845433092452,-0.015377196048146224,-0.001309779348505966
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.11778416675468907,-0.16864390153216427,-0.021111972400705486
20250325,,,
