,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,935336.5053464654
Total Return [%],-6.466349465353466
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000252
Total Fees Paid,0.0
Max Drawdown [%],20.358725887106804
Max Drawdown Duration,329 days 00:00:00
Total Trades,42915
Total Closed Trades,42655
Total Open Trades,260
Open Trade PnL,-27444.87283619416
Win Rate [%],53.72640956511546
Best Trade [%],170.3263659891368
Worst Trade [%],-37.893341421491854
Avg Winning Trade [%],6.655248169451562
Avg Losing Trade [%],-5.318020208937849
Avg Winning Trade Duration,7 days 14:36:40.811624558
Avg Losing Trade Duration,10 days 18:50:22.240325865
Profit Factor,0.9612087897834177
Expectancy,-0.9847884722345945
Sharpe Ratio,-0.1354300701551725
Calmar Ratio,-0.3227506383084023
Omega Ratio,0.9798667788715875
Sortino Ratio,-0.17170321122743282
