date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.000000005
2024-11-12,991539.923517215
2024-11-13,986754.2799604955
2024-11-14,961388.3227012431
2024-11-15,944864.0626218485
2024-11-18,931389.4622534963
2024-11-19,947921.7218321115
2024-11-20,967858.9120015138
2024-11-21,971882.4330020036
2024-11-22,942689.0608529196
2024-11-25,956363.1137871209
2024-11-26,940778.7876140147
2024-11-27,950429.4125614546
2024-11-28,955856.2882208787
2024-11-29,968162.0781054891
2024-12-02,992584.9032406363
2024-12-03,995368.6898132379
2024-12-04,982848.0649019532
2024-12-05,994878.620551683
2024-12-06,1006963.0133377514
2024-12-09,1004478.6456415218
2024-12-10,1007259.3765692997
2024-12-11,1029705.6464546638
2024-12-12,1042837.6460547417
2024-12-13,1023973.8629133975
2024-12-16,1022829.6513333009
2024-12-17,976285.6355023226
2024-12-18,979232.8778241577
2024-12-19,972640.2646092891
2024-12-20,978566.8529874469
2024-12-23,931366.3645068244
2024-12-24,943781.389329184
2024-12-25,927204.5173500067
2024-12-26,937959.071773991
2024-12-27,946411.1610375948
2024-12-30,932332.3623792931
2024-12-31,909787.0312707173
2025-01-02,894619.7457984751
2025-01-03,862809.7274478409
2025-01-06,858441.1705743527
2025-01-07,873047.4670138835
2025-01-08,873675.9922961058
2025-01-09,874553.6227438181
2025-01-10,844552.781846558
2025-01-13,837539.9307746142
2025-01-14,876363.4790735968
2025-01-15,874558.4732350295
2025-01-16,883603.2324206065
2025-01-17,880943.1139182397
2025-01-20,887634.6840019277
2025-01-21,883658.6279723102
2025-01-22,872954.1502939968
2025-01-23,868230.6304793529
2025-01-24,872381.0653210316
2025-01-27,861533.4562903597
2025-02-05,863218.0059605043
2025-02-06,878549.1191384243
2025-02-07,891796.431326776
2025-02-10,909412.7309136415
2025-02-11,906247.6055954604
2025-02-12,917952.6001077126
2025-02-13,914470.2562415819
2025-02-14,917078.0304254906
2025-02-17,928529.4672681747
2025-02-18,905856.9091028295
2025-02-19,918998.3846625021
