date,equity
2024-11-01,1000000.0
2024-11-04,1013716.2868745468
2024-11-05,1054615.4529897168
2024-11-06,1064638.9476896748
2024-11-07,1099305.0103281306
2024-11-08,1096268.9245602957
2024-11-11,1094084.1090690116
2024-11-12,1052700.995363663
2024-11-13,1045503.7709186368
2024-11-14,1000812.1976364125
2024-11-15,982034.4709623392
2024-11-18,979443.7340620306
2024-11-19,982999.7013241978
2024-11-20,1031940.1104633862
2024-11-21,1036388.17087578
2024-11-22,1015809.6084514396
2024-11-25,1031793.294628439
2024-11-26,971922.8419706769
2024-11-27,976385.3789206512
2024-11-28,973379.5520769893
2024-11-29,997598.6051794558
2024-12-02,1059088.3770914741
2024-12-03,1056074.2026346212
2024-12-04,1032296.9549613821
2024-12-05,1075098.906022805
2024-12-06,1108270.349294247
2024-12-09,1113847.9571612114
2024-12-10,1123959.4539098684
2024-12-11,1178060.9544357671
2024-12-12,1190296.5933093803
2024-12-13,1155433.0060032492
2024-12-16,1168750.012076696
2024-12-17,1100704.7330262843
2024-12-18,1081911.4766579526
2024-12-19,1052924.650650109
2024-12-20,1058895.1183902505
2024-12-23,970664.844708625
2024-12-24,965836.3604294793
2024-12-25,930226.3844636828
2024-12-26,937326.0184503497
2024-12-27,945139.4276085775
2024-12-30,962609.1883133391
2024-12-31,937922.2177951697
2025-01-02,931804.2494013305
2025-01-03,889430.4386442858
2025-01-06,874824.8360055103
2025-01-07,879569.0547619396
2025-01-08,893412.6155993671
2025-01-09,910513.5011295814
2025-01-10,855057.8953088573
2025-01-13,829617.3829603074
2025-01-14,891201.121966509
2025-01-15,898846.6894769508
2025-01-16,916222.2456731673
2025-01-17,888939.2142846388
2025-01-20,896386.7895203044
2025-01-21,869969.2133270205
2025-01-22,852172.1812966728
2025-01-23,846647.4063004443
2025-01-24,854949.3507686955
2025-01-27,817830.0552772412
2025-02-05,838608.4685392451
2025-02-06,860889.612477046
2025-02-07,888165.462644181
2025-02-10,922204.5368313158
2025-02-11,937366.9212913841
2025-02-12,959412.9917134921
2025-02-13,959330.353469862
2025-02-14,938051.1989920138
2025-02-17,969212.9105944782
2025-02-18,947273.513187018
2025-02-19,972956.87247702
2025-02-20,974103.578717689
2025-02-21,998683.4553769886
2025-02-24,1004462.66365714
2025-02-25,999472.8401844035
2025-02-26,1024300.1942730447
2025-02-27,1011831.8347827096
2025-02-28,967670.8441325766
2025-03-03,974586.3423954244
2025-03-04,960606.7364461466
2025-03-05,976158.3053424568
2025-03-06,1003283.6882179675
2025-03-07,1001517.8488646431
2025-03-10,1012965.310664455
2025-03-11,1044006.6889083394
2025-03-12,1048220.278188191
2025-03-13,1026393.874599892
2025-03-14,1028207.4950455357
2025-03-17,1025531.2108744314
2025-03-18,1029402.6276014419
2025-03-19,1017091.7828857881
2025-03-20,1006215.9744869781
2025-03-21,979590.7311355767
2025-03-24,955734.321276133
2025-03-25,930670.1085682169
2025-03-26,950133.2928916853
2025-03-27,929718.3036083911
2025-03-28,894830.5555343576
2025-03-31,873778.51260931
2025-04-01,880526.1514598468
2025-04-02,880830.0264640239
2025-04-03,873809.165244875
2025-04-07,792415.5573640987
2025-04-08,832576.0563295397
2025-04-09,850646.7910422727
2025-04-10,871760.300156159
2025-04-11,874312.0442839426
2025-04-14,899146.6841494894
2025-04-15,881185.0762271916
2025-04-16,884251.9493075679
2025-04-17,885216.866496062
2025-04-18,862178.7987541907
2025-04-21,878778.3458242321
2025-04-22,885827.4440842593
2025-04-23,886717.2334330869
2025-04-24,878821.9610662493
2025-04-25,871587.4606245368
2025-04-28,843670.798160866
2025-04-29,822100.8975475683
2025-04-30,797732.9207901359
2025-05-06,823701.3358737602
2025-05-07,841768.8713203366
2025-05-08,849449.9154817782
2025-05-09,836955.8985109366
2025-05-12,834156.1427633604
2025-05-13,835629.3206326506
2025-05-14,845869.1240675467
2025-05-15,848047.6209726465
2025-05-16,853197.5408042265
2025-05-19,866750.2613951047
2025-05-20,844542.2746856919
2025-05-21,820914.0137443446
2025-05-22,810722.0878256876
2025-05-23,796000.7413338949
2025-05-26,805920.7256681349
2025-05-27,832219.8992939636
2025-05-28,823123.1657095077
2025-05-29,840637.0141646608
2025-05-30,818025.0385822556
2025-06-03,826097.9510464724
2025-06-04,822489.752326267
2025-06-05,805923.835615722
2025-06-06,801711.2283980614
2025-06-09,826884.9477239734
2025-06-10,828880.6315766897
2025-06-11,814939.1346162201
2025-06-12,808539.3415017213
2025-06-13,780954.188822847
2025-06-16,786182.3432822989
2025-06-17,798154.7857983282
2025-06-18,802857.8263839851
2025-06-19,781673.5086026336
2025-06-20,762861.6054666827
2025-06-23,798304.9458027558
2025-06-24,798787.7153882616
2025-06-25,794785.5955607388
2025-06-26,799937.1334409161
2025-06-27,797922.1644556728
2025-06-30,815183.5552661972
2025-07-01,804682.0510308526
2025-07-02,797865.1229497765
2025-07-03,794210.6171012004
2025-07-04,789313.3329924042
2025-07-07,796659.7672528294
2025-07-08,811917.6570313051
2025-07-09,820882.7230430843
2025-07-10,819970.8584619251
2025-07-11,812610.6489193934
2025-07-14,827114.6459852882
2025-07-15,803993.9944182634
2025-07-16,788487.2062936713
2025-07-17,797573.7956379169
2025-07-18,796027.7440550277
2025-07-21,804007.0030361321
2025-07-22,821165.6237270162
2025-07-23,802390.8408969167
2025-07-24,819637.5330807074
2025-07-25,812000.71889058
2025-07-28,810198.5682231033
2025-07-29,824476.8371274758
2025-07-30,829525.9720636681
2025-07-31,824135.5697458995
2025-08-01,832985.942164602
2025-08-04,827221.770097138
2025-08-05,839415.2126294458
2025-08-06,829052.758832191
2025-08-07,822274.1870054201
2025-08-08,829219.5757135643
2025-08-11,849381.7122821594
2025-08-12,842471.022247603
2025-08-13,844282.3578286616
2025-08-14,831674.8449664207
2025-08-15,845957.5334738601
2025-08-18,854576.9986542548
2025-08-19,861752.7220100617
2025-08-20,867758.0504455213
2025-08-21,861368.1674302118
2025-08-22,864455.1529035694
2025-08-25,871255.6363320253
2025-08-26,874641.6236144427
2025-08-27,855970.4117672034
2025-08-28,857157.0293861795
2025-08-29,851205.5814370256
2025-09-01,864865.8269250527
2025-09-02,871512.9259740483
2025-09-03,852164.0445486523
2025-09-04,853902.5999615188
2025-09-05,862591.3256467963
2025-09-08,873479.1343290607
2025-09-09,876619.3229940383
2025-09-10,895415.934923346
2025-09-11,906868.2068905125
2025-09-12,917830.6144826909
2025-09-15,928194.0515107526
2025-09-16,950856.2049973414
2025-09-17,963260.2854388361
2025-09-18,962097.3554511867
2025-09-19,913202.0546059734
2025-09-22,912942.0872392115
2025-09-23,893878.2984742321
2025-09-24,893996.6267507365
2025-09-25,883324.7674838386
2025-09-26,862307.5849261278
2025-09-29,885382.066344237
2025-09-30,885744.9185406116
2025-10-09,911292.0117965154
2025-10-10,906798.9990876956
2025-10-13,893611.6397981184
2025-10-14,889984.9137219548
2025-10-15,895462.4504887215
2025-10-16,877064.5329527551
2025-10-17,844941.17812808
2025-10-20,861009.0035205462
2025-10-21,866036.1675940312
2025-10-22,841991.3603267879
2025-10-23,857007.1757595357
2025-10-24,822653.4686213373
2025-10-27,836422.8548939292
2025-10-28,846970.173151315
2025-10-29,853804.9214402911
2025-10-30,830804.7044069265
2025-10-31,828103.416083061
2025-11-03,850826.0064462861
2025-11-04,858801.7651711276
2025-11-05,874933.109451646
2025-11-06,869819.2686913825
2025-11-07,874246.9975489223
2025-11-10,902864.4440138491
2025-11-11,907722.3850217384
2025-11-12,923990.7154037689
2025-11-13,958938.5140588228
2025-11-14,969778.5096705799
2025-11-17,990519.3776207216
2025-11-18,946653.5832972007
2025-11-19,898969.0009096976
2025-11-20,880225.4135803469
2025-11-21,826015.7588603172
2025-11-24,823731.0112674475
2025-11-25,854380.2073252511
2025-11-26,853102.6518027395
2025-11-27,834580.3836188258
2025-11-28,861308.9702800869
2025-12-01,866081.3203749482
2025-12-02,879956.8561404883
2025-12-03,874742.1771629134
2025-12-04,858489.3587916552
2025-12-05,886838.9554981979
2025-12-08,896866.3190518364
2025-12-09,884160.1656088795
2025-12-10,872947.0773177079
2025-12-11,846383.0102851142
2025-12-12,835806.4970969296
2025-12-15,844072.5239700208
2025-12-16,826629.129764828
2025-12-17,807339.0221412261
2025-12-18,804603.9729009302
2025-12-19,826012.5725243074
2025-12-22,832597.5476791111
2025-12-23,816893.979201915
2025-12-24,839331.3328854227
2025-12-25,844322.643644559
2025-12-26,866346.0405027156
2025-12-29,857388.2602050302
2025-12-30,845595.5782184699
2025-12-31,841919.4907368552
2026-01-05,838107.1174786998
2026-01-06,860459.4796342709
2026-01-07,857153.1814086711
2026-01-08,864286.1269747786
2026-01-09,880918.0793165867
2026-01-12,912986.9611639376
2026-01-13,886586.686762146
2026-01-14,901906.4638444275
2026-01-15,880167.8947884823
2026-01-16,866110.2314397532
2026-01-19,881491.0882529756
2026-01-20,877988.8171717111
2026-01-21,874743.9637752889
2026-01-22,893916.5700575801
2026-01-23,929072.4474702171
2026-01-26,936724.7234561857
2026-01-27,935207.7451741205
2026-01-28,942700.4178185666
2026-01-29,949113.3056354198
2026-01-30,931194.7651655057
2026-02-02,907725.3252594077
2026-02-03,931478.115764621
2026-02-04,956404.0643123417
2026-02-05,941420.7872531536
2026-02-06,935639.0914341987
2026-02-09,959897.8655545011
2026-02-10,956631.2763791665
2026-02-11,929818.0302051626
2026-02-12,921127.1235712954
2026-02-13,904873.5807696349
2026-02-24,928587.0329527267
2026-02-25,961977.9847423024
2026-02-26,960945.1044740526
2026-02-27,986307.6881599925
2026-03-02,975894.5482655554
2026-03-03,968230.9320105406
2026-03-04,963470.3760041354
2026-03-05,977863.3427131122
2026-03-06,996037.8517662588
2026-03-09,1001157.9295100388
2026-03-10,1007566.0381694306
2026-03-11,1023649.0828191448
2026-03-12,1036467.8175526774
2026-03-13,1018363.8053026171
2026-03-16,1035819.3970726739
2026-03-17,1038360.1548380348
2026-03-18,1037399.2441353439
2026-03-19,1028462.4542648771
2026-03-20,985089.9673032392
2026-03-23,949566.56159478
2026-03-24,988573.5646011701
2026-03-25,1020881.6629416016
2026-03-26,1013694.0540706853
2026-03-27,1039723.1854505398
2026-03-30,1014312.8766422279
2026-03-31,988471.5438460679
2026-04-01,962616.2811452971
2026-04-02,952881.8444715359
2026-04-03,919806.3880340736
2026-04-07,945689.5168290035
2026-04-08,945609.1366723346
2026-04-09,937973.4051273877
2026-04-10,918660.0912144365
2026-04-13,933397.7460006345
2026-04-14,941576.3617701109
2026-04-15,934906.6995864805
2026-04-16,953636.9129581031
2026-04-17,946098.1945200306
2026-04-20,961273.6765859744
2026-04-21,955329.3449458717
2026-04-22,955780.0180632325
2026-04-23,934261.4393283818
2026-04-24,918459.1552496512
