,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,-0.16735600657149247,-0.27229781581804463,-0.031120314894734186
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.04146370193719498,-0.25234348353747393,-0.026594509953006582
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.18741638058120397,-0.08673466102886515,-0.02159181026152745
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.0483454916433975,-0.12552878437294313,-0.008628047811173985
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.09521848538420209,-0.15407220192844243,-0.023428053089949975
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.26037720768429756,-0.3318050088569353,-0.05309647297958892
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,0.028209375561039914,0.20566007056915098,0.015916951695321518
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,0.04944853828323976,0.07326711386807105,0.0057236557625608975
20241231,,,
20250102,,,
20250103,,,
20250106,-0.24957158453402736,-0.35456076546975707,-0.04625284144285476
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.10138547842181884,-0.11972458410842453,-0.018543615451065275
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.13526078441380898,-0.04831153021204109,-0.001846265961163978
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.1188449203128606,-0.2781237581239186,-0.0114522224353475
20250205,0.05604787451217651,-0.023627772934436127,0.004038171916308751
20250206,,,
20250207,,,
20250210,0.35052214442117186,0.28588720744324847,0.04672105530268225
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.03131233636459909,-0.02297764496891892,0.004979441228331619
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.12933821144626936,-0.18539123303337796,-0.01579857347885604
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,-0.2809649329429367,-0.33909092085693304,-0.04585436042817757
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.009484156488345776,-0.12234217662477007,-0.011256094489096827
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.1375767526329694,0.1346943066317099,0.024421519004356018
20250318,,,
20250319,,,
20250320,,,
20250321,,,
