,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,639161.0967860317
Total Return [%],-36.08389032139683
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.00000000000236
Total Fees Paid,0.0
Max Drawdown [%],43.294701445176656
Max Drawdown Duration,328 days 00:00:00
Total Trades,3968
Total Closed Trades,3948
Total Open Trades,20
Open Trade PnL,1118.448867131865
Win Rate [%],51.21580547112462
Best Trade [%],61.41732283464575
Worst Trade [%],-26.610409875588598
Avg Winning Trade [%],5.198948321025705
Avg Losing Trade [%],-4.2796695729066405
Avg Winning Trade Duration,3 days 00:40:35.608308605
Avg Losing Trade Duration,3 days 22:55:44.881889763
Profit Factor,0.8044549302042276
Expectancy,-96.84961239456476
Sharpe Ratio,-1.0526219246730883
Calmar Ratio,-0.8444508482143144
Omega Ratio,0.8631064031283682
Sortino Ratio,-1.3598290720188593
