,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,0.01133994494476735,-0.11813528159924011,-0.0010835708606713873
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.24390354883886414,-0.24847351447590066,-0.03781412069974567
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.05724275545395561,-0.045901478747140734,-0.0003025216238775885
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.014364882971104647,0.054164675178179446,0.018771594707440147
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.3345549434939373,-0.3889374031097143,-0.0651303285980506
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.03651593544159042,0.1162134997416141,0.008478691192051656
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,0.009121987212200911,0.1041814220848691,-0.0028516295938188635
20241231,,,
20250102,,,
20250103,,,
20250106,-0.29430792070261447,-0.4534960101003221,-0.06190726426025234
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.22845531657428686,-0.22186518643051187,-0.026685422282288415
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.2701110701066705,-0.2917436972080005,-0.03316816414897739
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.05140523641689052,-0.0974039282764249,-0.0035765436024123715
20250205,-0.02861302124735023,-0.13162881658708508,-0.004218708466385744
20250206,,,
20250207,,,
20250210,0.24214820349182395,0.19460922940668735,0.027233339338447526
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.047253129769368955,-0.0006084686976751307,0.00883519831518451
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.2141899874211392,-0.24246242982257157,-0.02669012208867135
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.025646898522516927,-0.0657790594977048,-0.0036729346736607688
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.032779129130825015,-0.11509530603426023,-0.009434231713108277
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.013495316673527446,-0.043403330386666925,0.00013768185087912818
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.1626801924247957,-0.02175682678617389,-0.011042662280188974
20250325,,,
