date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0
2024-12-03,1000000.0
2024-12-04,1000000.0
2024-12-05,1000000.0
2024-12-06,1000000.0
2024-12-09,1000000.0
2024-12-10,1000000.0
2024-12-11,1000000.0
2024-12-12,1000000.0
2024-12-13,1000000.0
2024-12-16,1000000.000000005
2024-12-17,943935.7836366255
2024-12-18,941287.4319024736
2024-12-19,926192.5063006579
2024-12-20,931427.6071705862
2024-12-23,877178.0799824625
2024-12-24,886793.2162438572
2024-12-25,866667.7006885807
2024-12-26,878344.4643967391
2024-12-27,883540.8245666217
2024-12-30,869462.948253935
2024-12-31,847395.9938386088
2025-01-02,843510.7601377076
2025-01-03,803232.2360619348
2025-01-06,787581.868062616
2025-01-07,795256.5283030089
2025-01-08,799535.1009135746
2025-01-09,795584.4901043143
2025-01-10,766596.5047450021
2025-01-13,759300.0296351421
2025-01-14,796800.1326860625
2025-01-15,795667.2035509532
2025-01-16,803877.8533221999
2025-01-17,798666.4237933501
2025-01-20,802345.0753828363
2025-01-21,802050.0919641008
2025-01-22,791760.6815094126
2025-01-23,784958.0372684741
2025-01-24,788979.5767240337
2025-01-27,774353.919304387
2025-02-05,770781.628756061
2025-02-06,786239.9866505594
2025-02-07,796355.100947663
2025-02-10,802777.7895289811
2025-02-11,806333.5666431506
2025-02-12,815681.9688416872
2025-02-13,808048.662299176
2025-02-14,808962.7589958224
2025-02-17,821946.0243591814
2025-02-18,801408.325291952
2025-02-19,821635.2758872308
2025-02-20,827921.8982611008
2025-02-21,836671.6155024465
2025-02-24,839767.6453908328
2025-02-25,840285.0579343349
