,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,1435427.2164568112
Total Return [%],43.54272164568113
Benchmark Return [%],31.085095644606152
Max Gross Exposure [%],100.00000000000111
Total Fees Paid,0.0
Max Drawdown [%],14.94272025596317
Max Drawdown Duration,89 days 00:00:00
Total Trades,2990
Total Closed Trades,2970
Total Open Trades,20
Open Trade PnL,-55138.275134266936
Win Rate [%],54.680134680134685
Best Trade [%],44.569288389513105
Worst Trade [%],-27.532714401795545
Avg Winning Trade [%],4.169997826234206
Avg Losing Trade [%],-4.25073970807517
Avg Winning Trade Duration,6 days 05:12:07.093596059
Avg Losing Trade Duration,10 days 21:54:07.324792765
Profit Factor,1.599027995611274
Expectancy,161.22557564648537
Sharpe Ratio,1.5194395747100646
Calmar Ratio,2.982109803205591
Omega Ratio,1.2632329620891325
Sortino Ratio,2.18293634934378
